,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2009-03-31,3550.568,3663.048,3513.587,3550.567,RB8888.XSGE,True,2009,3,14,-117,-117,2009-02,26.5,25.4,3.3,12.1,14.7,4.5,21.5,11.1,32.8,15.7,-21.4,-6.6,22.9,-1.7,-4.47,-3.9,2009.0,2.0,0.001108555337781203,,,,,,0.5,1,0.001108555337781203,0.001108555337781203,0.001108555337781203
1,1,2009-04-30,3562.545,3650.712,3412.569,3554.503,RB8888.XSGE,True,2009,4,18,-116,-116,2009-03,28.6,27.3,5.3,9.8,11.4,6.8,14.4,11.3,34.0,21.5,-16.4,-18.3,10.8,3.7,-6.0,-4.6,2009.0,3.0,0.016135307805338783,0.001108555337781203,,,,,0.0040622572,0,0.0,0.001108555337781203,0.017243863143119986
2,2,2009-05-27,3574.486,3679.336,3571.634,3611.856,RB8888.XSGE,True,2009,5,22,-115,-115,2009-04,30.5,29.0,5.8,7.5,7.1,6.4,13.6,11.8,48.5,30.3,-20.5,-21.0,17.9,7.6,-6.6,-5.1,2009.0,4.0,0.059632499191551336,0.016135307805338783,0.001108555337781203,,,,0.015963035,0,0.0,0.001108555337781203,0.07687636233467132
3,3,2009-06-30,3631.639,3942.015,3623.637,3827.24,RB8888.XSGE,True,2009,6,27,-114,-114,2009-05,32.9,29.9,6.2,7.0,9.3,7.2,14.8,12.4,2.6,23.9,-21.1,-22.7,29.0,12.0,-7.2,-5.5,2009.0,5.0,0.20782051818020286,0.059632499191551336,0.016135307805338783,0.001108555337781203,,,0.045886718,1,0.20782051818020286,0.20892907351798407,0.2846968805148742
4,4,2009-07-31,3827.115,4622.637,3822.084,4622.619,RB8888.XSGE,True,2009,7,31,-113,-113,2009-06,33.6,29.3,6.9,10.4,8.3,7.3,14.0,12.4,2.3,19.4,-19.1,-8.5,38.8,16.4,-7.8,-5.9,2009.0,6.0,-0.10690281851045902,0.20782051818020286,0.059632499191551336,0.016135307805338783,0.001108555337781203,,0.19294913,1,-0.10690281851045902,0.10202625500752505,0.17779406200441517
5,5,2009-08-31,4762.674,4975.904,4111.028,4128.448,RB8888.XSGE,True,2009,8,36,-112,-112,2009-07,32.9,28.1,6.6,9.1,11.3,7.7,12.1,12.1,3.0,16.4,-18.6,-10.6,51.6,20.7,-8.2,-6.2,2009.0,7.0,-0.10280909436185226,-0.10690281851045902,0.20782051818020286,0.059632499191551336,0.016135307805338783,0.001108555337781203,0.016305912,0,-0.0,0.10202625500752505,0.0749849676425629
6,6,2009-09-30,4110.848,4131.099,3636.832,3704.006,RB8888.XSGE,True,2009,9,40,-111,-111,2009-08,33.0,27.3,7.0,8.5,12.0,8.4,10.4,11.8,1.2,13.7,-17.7,-9.2,90.0,27.1,-7.86,-6.4,2009.0,8.0,0.046622224694020664,-0.10280909436185226,-0.10690281851045902,0.20782051818020286,0.059632499191551336,0.016135307805338783,0.05978335,1,0.046622224694020664,0.1486484797015457,0.12160719233658357
7,7,2009-10-30,3738.321,4006.061,3595.335,3876.695,RB8888.XSGE,True,2009,10,44,-110,-110,2009-09,33.3,27.7,7.7,13.0,13.7,8.9,11.6,11.6,33.4,17.1,-20.1,2.8,78.7,31.7,-6.99,-6.5,2009.0,9.0,0.07199276703480662,0.046622224694020664,-0.10280909436185226,-0.10690281851045902,0.20782051818020286,0.059632499191551336,0.20718208,1,0.07199276703480662,0.22064124673635233,0.19359995937139018
8,8,2009-11-30,3851.284,4281.534,3836.86,4155.789,RB8888.XSGE,True,2009,11,49,-109,-109,2009-10,33.1,27.5,8.6,14.0,15.5,9.4,11.8,11.6,18.6,17.3,-18.9,-7.9,78.6,37.5,-5.85,-6.4,2009.0,10.0,0.06888126418352813,0.07199276703480662,0.046622224694020664,-0.10280909436185226,-0.10690281851045902,0.20782051818020286,-0.076980405,-1,-0.06888126418352813,0.1517599825528242,0.2624812235549183
9,9,2009-12-31,4190.709,4475.366,4125.319,4442.045,RB8888.XSGE,True,2009,12,53,-108,-108,2009-11,32.1,26.8,9.6,15.5,17.6,10.3,13.7,11.8,40.4,19.8,-15.9,24.4,100.8,43.2,-2.08,-6.0,2009.0,11.0,-0.027062760507829187,0.06888126418352813,0.07199276703480662,0.046622224694020664,-0.10280909436185226,-0.10690281851045902,-0.102463216,-1,0.027062760507829187,0.17882274306065338,0.23541846304708913
10,10,2010-01-29,4453.873,4599.535,4274.595,4321.831,RB8888.XSGE,True,2010,1,4,-107,-107,2009-12,30.4,26.6,10.01,13.58,18.1,10.97,20.27,12.96,3.3,18.4,-13.6,43.1,130.5,47.8,1.7,-5.4,2009.0,12.0,0.0015854391344778396,-0.027062760507829187,0.06888126418352813,0.07199276703480662,0.046622224694020664,-0.10280909436185226,-0.026428722,-1,-0.0015854391344778396,0.17723730392617554,0.23700390218156697
11,11,2010-02-26,4351.26,4444.118,4113.04,4328.683,RB8888.XSGE,True,2010,2,8,-106,-106,2010-01,30.4,26.6,10.01,13.58,18.1,10.97,20.27,12.96,24.43,24.43,39.62,39.62,144.3,144.3,4.32,4.3,2010.0,1.0,0.08766130483567403,0.0015854391344778396,-0.027062760507829187,0.06888126418352813,0.07199276703480662,0.046622224694020664,0.046997417,1,0.08766130483567403,0.26489860876184956,0.324665207017241
12,12,2010-03-31,4367.252,4780.658,4300.311,4708.141,RB8888.XSGE,True,2010,3,13,-105,-105,2010-02,26.6,23.6,19.6,10.5,13.8,22.3,11.0,19.6,13.9,18.8,33.8,15.2,46.7,89.7,5.39,4.9,2010.0,2.0,-0.017268811618003643,0.08766130483567403,0.0015854391344778396,-0.027062760507829187,0.06888126418352813,0.07199276703480662,0.07194453,1,-0.017268811618003643,0.24762979714384592,0.30739639539923735
13,13,2010-04-30,4716.897,4871.231,4569.675,4626.837,RB8888.XSGE,True,2010,4,17,-104,-104,2010-03,26.4,25.8,18.9,17.6,22.3,22.3,19.6,19.2,12.1,15.2,23.5,18.2,51.5,73.2,5.91,5.21,2010.0,3.0,-0.08837203471831856,-0.017268811618003643,0.08766130483567403,0.0015854391344778396,-0.027062760507829187,0.06888126418352813,-0.0076983497,0,-0.0,0.24762979714384592,0.2190243606809188
