,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2012-12-31,2371.975,2410.947,2277.666,2280.575,RM8888.XZCE,True,2012,12,1,-72,-72,2012-11,20.7,22.75,12.2,13.6,9.1,8.2,6.3,8.7,-10.3,1.5,-15.7,-6.8,3.9,6.5,-2.2,-1.7,2012.0,11.0,0.067447902393037,,,,,,0.5,1,0.067447902393037,0.067447902393037,0.067447902393037
1,1,2013-01-31,2257.052,2523.72,2249.434,2434.395,RM8888.XZCE,True,2013,1,5,-71,-71,2012-12,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,3.8,-2.2,-13.4,-1.4,5.3,6.3,-1.94,-1.72,2012.0,12.0,0.012017770328972777,0.067447902393037,,,,,0.070008844,1,0.012017770328972777,0.07946567272200977,0.07946567272200977
2,2,2013-02-28,2423.335,2615.736,2375.846,2463.651,RM8888.XZCE,True,2013,2,9,-70,-70,2013-01,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,57.9,57.9,27.9,27.9,47.5,47.5,-1.64,-1.64,2013.0,1.0,-0.04063481394077317,0.012017770328972777,0.067447902393037,,,,0.0146370465,0,-0.0,0.07946567272200977,0.0388308587812366
3,3,2013-03-29,2469.122,2498.119,2341.001,2363.541,RM8888.XZCE,True,2013,3,13,-69,-69,2013-02,21.2,17.0,13.2,12.2,9.6,9.2,10.4,6.5,25.0,39.4,3.5,-15.9,-16.0,12.4,-1.63,-1.63,2013.0,2.0,-0.04430978772951266,-0.04063481394077317,0.012017770328972777,0.067447902393037,,,-0.037879635,-1,0.04430978772951266,0.12377546045152243,-0.005478928948276063
4,4,2013-04-26,2357.412,2388.517,2246.564,2258.813,RM8888.XZCE,True,2013,4,17,-68,-68,2013-03,20.9,18.7,13.4,12.9,7.8,8.4,6.6,7.1,12.5,24.5,-9.0,-12.3,12.4,13.5,-1.92,-1.73,2013.0,3.0,0.02900859876404116,-0.04430978772951266,-0.04063481394077317,0.012017770328972777,0.067447902393037,,-0.042638175,-1,-0.02900859876404116,0.09476686168748127,0.023529669815765097
5,5,2013-05-31,2249.085,2333.462,2238.653,2324.338,RM8888.XZCE,True,2013,5,22,-67,-67,2013-04,20.6,18.4,12.9,12.3,10.5,9.1,7.3,6.3,0.9,9.3,-4.0,-1.5,18.3,15.4,-2.62,-1.95,2013.0,4.0,-0.011552536679261038,0.02900859876404116,-0.04430978772951266,-0.04063481394077317,0.012017770328972777,0.067447902393037,0.012218534,0,-0.0,0.09476686168748127,0.011977133136504059
6,6,2013-06-28,2330.902,2442.549,2261.566,2297.486,RM8888.XZCE,True,2013,6,26,-66,-66,2013-05,20.4,17.8,13.0,12.9,9.4,9.0,8.7,7.1,5.61,8.59,-4.88,-1.77,15.77,15.35,-2.87,-2.13,2013.0,5.0,-0.0006816145996101364,-0.011552536679261038,0.02900859876404116,-0.04430978772951266,-0.04063481394077317,0.012017770328972777,-0.0403481,-1,0.0006816145996101364,0.09544847628709141,0.011295518536893923
7,7,2013-07-31,2269.31,2377.666,2251.844,2295.92,RM8888.XZCE,True,2013,7,31,-65,-65,2013-06,20.1,17.1,12.7,11.5,9.9,9.2,7.6,7.2,6.69,7.37,-12.55,-9.07,13.35,15.11,-2.7,-2.23,2013.0,6.0,0.08721296909299969,-0.0006816145996101364,-0.011552536679261038,0.02900859876404116,-0.04430978772951266,-0.04063481394077317,-0.011378036,0,0.0,0.09544847628709141,0.09850848762989362
8,8,2013-08-30,2290.29,2590.707,2268.087,2496.154,RM8888.XZCE,True,2013,8,35,-64,-64,2013-07,20.1,17.08,12.5,11.1,9.2,9.2,8.5,7.4,3.09,6.51,-5.37,-0.75,15.44,15.15,-2.27,-2.23,2013.0,7.0,0.011619876017264996,0.08721296909299969,-0.0006816145996101364,-0.011552536679261038,0.02900859876404116,-0.04430978772951266,0.0019132723,0,0.0,0.09544847628709141,0.11012836364715861
9,9,2013-09-30,2512.18,2577.008,2415.039,2525.159,RM8888.XZCE,True,2013,9,40,-63,-63,2013-08,20.3,17.9,12.4,11.6,8.0,9.0,7.6,7.4,7.58,7.09,-5.45,0.13,14.58,15.11,-1.62,-2.16,2013.0,8.0,-0.05782249751401791,0.011619876017264996,0.08721296909299969,-0.0006816145996101364,-0.011552536679261038,0.02900859876404116,0.011857605,0,-0.0,0.09544847628709141,0.0523058661331407
