,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2007-06-29,10339.327,10468.561,8355.576,8586.477,RO8888.XZCE,True,2007,6,26,-138,-138,2007-05,25.9,35.5,24.4,23.8,20.6,21.8,22.9,22.7,37.1,37.3,9.3,11.9,25.7,22.0,2.8,2.8,2007,5,0.07085536943731396,,,,,,0.5,1,0.07085536943731396,0.07085536943731396,0.07085536943731396
1,1,2007-07-31,8712.543,9277.478,8588.9,9194.875,RO8888.XZCE,True,2007,7,31,-137,-137,2007-06,26.7,34.7,24.7,26.7,25.5,22.8,25.2,23.7,21.6,33.6,10.0,13.6,27.6,22.9,2.49,2.8,2007,6,-0.0025178156309900723,0.07085536943731396,,,,,0.07339614,1,-0.0025178156309900723,0.06833755380632389,0.06833755380632389
2,2,2007-08-31,9250.669,9314.196,8935.711,9171.724,RO8888.XZCE,True,2007,8,35,-136,-136,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007,7,0.02297801373002506,-0.0025178156309900723,0.07085536943731396,,,,0.071031965,1,0.02297801373002506,0.09131556753634895,0.09131556753634895
3,3,2007-09-28,9160.566,9457.97,9092.063,9382.472,RO8888.XZCE,True,2007,9,39,-135,-135,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007,8,0.04764074968728926,0.02297801373002506,-0.0025178156309900723,0.07085536943731396,,,0.023455426,1,0.04764074968728926,0.13895631722363821,0.13895631722363821
4,4,2007-10-31,9291.284,9862.068,9291.284,9829.46,RO8888.XZCE,True,2007,10,44,-134,-134,2007-09,26.4,35.6,24.0,20.3,23.2,22.8,24.5,22.8,2.4,22.2,11.7,19.9,19.6,23.6,2.7,2.7,2007,9,0.07010619098098991,0.04764074968728926,0.02297801373002506,-0.0025178156309900723,0.07085536943731396,,0.024177914,1,0.07010619098098991,0.20906250820462813,0.20906250820462813
5,5,2007-11-30,9850.612,10774.618,9817.127,10518.566,RO8888.XZCE,True,2007,11,48,-133,-133,2007-10,26.9,36.5,23.8,21.0,23.4,23.0,21.6,22.7,4.6,20.1,11.7,10.6,24.3,23.7,3.2,2.8,2007,10,0.040481278531693254,0.07010619098098991,0.04764074968728926,0.02297801373002506,-0.0025178156309900723,0.07085536943731396,0.024182508,1,0.040481278531693254,0.24954378673632138,0.24954378673632138
6,6,2007-12-28,10466.627,11035.31,10378.836,10944.371,RO8888.XZCE,True,2007,12,52,-132,-132,2007-11,26.8,37.2,23.6,19.1,24.4,23.3,17.9,21.3,9.3,19.6,11.4,6.5,21.7,23.5,4.55,2.9,2007,11,0.024280518268249507,0.040481278531693254,0.07010619098098991,0.04764074968728926,0.02297801373002506,-0.0025178156309900723,0.023395041,1,0.024280518268249507,0.2738243050045709,0.2738243050045709
7,7,2008-01-31,10987.601,11417.699,10582.813,11210.106,RO8888.XZCE,True,2008,1,5,-131,-131,2007-12,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,18.2,19.8,11.7,7.4,23.8,22.9,5.43,3.1,2007,12,0.3157308235979215,0.024280518268249507,0.040481278531693254,0.07010619098098991,0.04764074968728926,0.02297801373002506,0.040538963,1,0.3157308235979215,0.5895551286024924,0.5895551286024924
8,8,2008-02-29,11255.442,14838.076,11164.551,14749.482,RO8888.XZCE,True,2008,2,9,-130,-130,2008-01,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,-33.9,-33.9,26.75,26.75,9.78,9.78,6.1,6.1,2008,1,-0.15833071290232437,0.3157308235979215,0.024280518268249507,0.040481278531693254,0.07010619098098991,0.04764074968728926,0.31377384,1,-0.15833071290232437,0.431224415700168,0.431224415700168
9,9,2008-03-31,14884.652,15931.739,11714.659,12414.186,RO8888.XZCE,True,2008,3,14,-129,-129,2008-02,24.3,35.8,19.9,20.6,22.9,21.9,20.2,20.3,-1.1,-18.9,22.5,18.4,16.0,12.5,6.62,6.4,2008,2,-0.07309774478971076,-0.15833071290232437,0.3157308235979215,0.024280518268249507,0.040481278531693254,0.07010619098098991,0.2702118,1,-0.07309774478971076,0.35812667091045725,0.35812667091045725
10,10,2008-04-30,11749.795,12676.122,11384.234,11506.737,RO8888.XZCE,True,2008,4,18,-128,-128,2008-03,25.9,31.9,19.6,18.5,21.8,22.5,25.8,22.5,1.5,-9.8,18.8,11.9,21.3,15.8,7.95,6.9,2008,3,0.018257652017248827,-0.07309774478971076,-0.15833071290232437,0.3157308235979215,0.024280518268249507,0.040481278531693254,0.20867288,1,0.018257652017248827,0.37638432292770607,0.37638432292770607
11,11,2008-05-30,11438.013,12205.832,11332.286,11716.823,RO8888.XZCE,True,2008,5,22,-127,-127,2008-04,25.7,31.2,18.7,15.7,21.4,22.0,20.6,22.4,-16.6,-11.7,12.9,7.7,22.2,17.4,8.12,7.2,2008,4,0.08464009399134897,0.018257652017248827,-0.07309774478971076,-0.15833071290232437,0.3157308235979215,0.024280518268249507,-0.05011485,-1,-0.08464009399134897,0.2917442289363571,0.46102441691905505
12,12,2008-06-30,11901.501,12947.722,11625.94,12708.536,RO8888.XZCE,True,2008,6,27,-126,-126,2008-05,25.6,30.5,18.6,17.7,21.7,22.1,21.8,22.2,1.5,-0.2,16.2,12.5,21.7,18.1,8.22,7.4,2008,5,-0.14459305147343493,0.08464009399134897,0.018257652017248827,-0.07309774478971076,-0.15833071290232437,0.3157308235979215,-0.05086325,-1,0.14459305147343493,0.436337280409792,0.3164313654456201
