,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2019-08-30,3598.253,3729.0,3591.868,3611.357,RR8888.XDCE,True,2019,8,35,8,8,2019-07,5.7,3.3,7.3,4.2,0.7,4.5,4.0,7.7,-11.4,-18.9,-11.7,-17.4,-11.5,-12.8,-0.3,0.2,2019.0,7.0,0.002438418577836554,,,,,,0.5,1,0.002438418577836554,0.002438418577836554,0.002438418577836554
1,1,2019-09-30,3617.516,3697.011,3593.867,3620.163,RR8888.XDCE,True,2019,9,40,9,9,2019-08,5.5,2.6,6.4,0.9,0.0,3.9,3.3,7.1,-15.0,-20.5,-16.7,-21.3,-0.6,-12.5,-0.8,0.1,2019.0,8.0,-0.00466829808492053,0.002438418577836554,,,,,0.0053842478,0,-0.0,0.002438418577836554,-0.002229879507083976
2,2,2019-10-31,3617.375,3638.507,3587.196,3603.263,RR8888.XDCE,True,2019,10,44,10,10,2019-09,5.4,2.5,6.0,2.6,3.5,3.9,7.0,7.1,-16.5,-1.8,-16.2,-17.8,-6.9,-12.0,-1.2,0.0,2019.0,9.0,-0.01539160477600443,-0.00466829808492053,0.002438418577836554,,,,0.002105567,0,-0.0,0.002438418577836554,-0.017621484283088407
3,3,2019-11-29,3599.861,3668.615,3535.709,3547.803,RR8888.XDCE,True,2019,11,48,11,11,2019-10,5.2,2.6,5.7,3.1,3.1,3.9,5.0,6.9,-2.8,-2.8,-16.9,-13.5,-2.1,-11.1,-1.6,-0.2,2019.0,10.0,-0.062126899379700506,-0.01539160477600443,-0.00466829808492053,0.002438418577836554,,,-0.0135982735,0,-0.0,0.002438418577836554,-0.07974838366278891
4,4,2019-12-31,3544.534,3547.481,3262.991,3327.389,RR8888.XDCE,True,2019,12,1,12,12,2019-11,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,2.4,-2.5,-17.7,-13.2,3.7,-9.6,-1.4,-0.3,2019.0,11.0,-0.00041774496459545674,-0.062126899379700506,-0.01539160477600443,-0.00466829808492053,0.002438418577836554,,-0.059576783,-1,0.00041774496459545674,0.002856163542432011,-0.08016612862738437
5,5,2020-01-23,3340.692,3371.279,3311.749,3325.999,RR8888.XDCE,True,2020,1,4,13,13,2019-12,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2019.0,12.0,0.025001210162721055,-0.00041774496459545674,-0.062126899379700506,-0.01539160477600443,-0.00466829808492053,0.002438418577836554,-0.0043901415,0,0.0,0.002856163542432011,-0.055164918464663315
6,6,2020-02-28,3325.496,3519.473,3282.086,3409.153,RR8888.XDCE,True,2020,2,9,14,14,2020-01,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,0.1,0.1,2020.0,1.0,0.04926590270369213,0.025001210162721055,-0.00041774496459545674,-0.062126899379700506,-0.01539160477600443,-0.00466829808492053,-0.01481426,0,0.0,0.002856163542432011,-0.005899015760971182
7,7,2020-03-31,3410.888,3636.455,3313.184,3577.108,RR8888.XDCE,True,2020,3,14,15,15,2020-02,-24.5,-31.5,-26.9,6.3,4.9,-28.2,6.5,-24.4,-1.1,-31.5,-44.6,-14.3,8.1,-45.8,-0.4,-0.2,2020.0,2.0,-0.042287233150354986,0.04926590270369213,0.025001210162721055,-0.00041774496459545674,-0.062126899379700506,-0.01539160477600443,-0.017684994,0,-0.0,0.002856163542432011,-0.04818624891132617
8,8,2020-04-30,3583.956,3597.277,3414.702,3425.842,RR8888.XDCE,True,2020,4,18,16,16,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020.0,3.0,0.00625335319025222,-0.042287233150354986,0.04926590270369213,0.025001210162721055,-0.00041774496459545674,-0.062126899379700506,-0.059863284,-1,-0.00625335319025222,-0.003397189647820209,-0.04193289572107395
9,9,2020-05-29,3436.127,3485.18,3358.562,3447.265,RR8888.XDCE,True,2020,5,22,17,17,2020-04,-10.3,-18.8,-7.3,8.9,7.5,-9.0,14.3,-4.2,-5.8,-16.4,-19.9,11.4,5.1,-32.3,-3.1,-1.2,2020.0,4.0,-0.007733086954440638,0.00625335319025222,-0.042287233150354986,0.04926590270369213,0.025001210162721055,-0.00041774496459545674,0.005458812,0,-0.0,-0.003397189647820209,-0.049665982675514586
