,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2012-12-31,5319.443,5385.934,5155.62,5272.965,RS8888.XZCE,True,2012,12,1,-72,-72,2012-11,20.7,22.75,12.2,13.6,9.1,8.2,6.3,8.7,-10.3,1.5,-15.7,-6.8,3.9,6.5,-2.2,-1.7,2012.0,11.0,0.0283057065616783,,,,,,0.5,1,0.0283057065616783,0.0283057065616783,0.0283057065616783
1,1,2013-01-31,5273.608,5547.165,5256.543,5422.22,RS8888.XZCE,True,2013,1,5,-71,-71,2012-12,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,3.8,-2.2,-13.4,-1.4,5.3,6.3,-1.94,-1.72,2012.0,12.0,-0.022065500846516817,0.0283057065616783,,,,,0.031098386,1,-0.022065500846516817,0.006240205715161484,0.006240205715161484
2,2,2013-02-28,5421.739,5514.389,5258.783,5302.576,RS8888.XZCE,True,2013,2,9,-70,-70,2013-01,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,57.9,57.9,27.9,27.9,47.5,47.5,-1.64,-1.64,2013.0,1.0,-0.008067588281620242,-0.022065500846516817,0.0283057065616783,,,,0.02841889,1,-0.008067588281620242,-0.0018273825664587573,-0.0018273825664587573
3,3,2013-03-29,5307.653,5345.078,5250.583,5259.797,RS8888.XZCE,True,2013,3,13,-69,-69,2013-02,21.2,17.0,13.2,12.2,9.6,9.2,10.4,6.5,25.0,39.4,3.5,-15.9,-16.0,12.4,-1.63,-1.63,2013.0,2.0,-0.006379523772495288,-0.008067588281620242,-0.022065500846516817,0.0283057065616783,,,-0.0076821484,0,-0.0,-0.0018273825664587573,-0.008206906338954045
4,4,2013-04-26,5258.055,5326.946,5204.428,5226.242,RS8888.XZCE,True,2013,4,17,-68,-68,2013-03,20.9,18.7,13.4,12.9,7.8,8.4,6.6,7.1,12.5,24.5,-9.0,-12.3,12.4,13.5,-1.92,-1.73,2013.0,3.0,-0.008183700639962765,-0.006379523772495288,-0.008067588281620242,-0.022065500846516817,0.0283057065616783,,-0.0061569186,0,-0.0,-0.0018273825664587573,-0.01639060697891681
5,5,2013-05-31,5218.384,5273.334,5169.679,5183.472,RS8888.XZCE,True,2013,5,22,-67,-67,2013-04,20.6,18.4,12.9,12.3,10.5,9.1,7.3,6.3,0.9,9.3,-4.0,-1.5,18.3,15.4,-2.62,-1.95,2013.0,4.0,-0.0004300206502513282,-0.008183700639962765,-0.006379523772495288,-0.008067588281620242,-0.022065500846516817,0.0283057065616783,-0.007860104,0,-0.0,-0.0018273825664587573,-0.01682062762916814
6,6,2013-06-28,5183.3,5224.229,5100.011,5181.243,RS8888.XZCE,True,2013,6,26,-66,-66,2013-05,20.4,17.8,13.0,12.9,9.4,9.0,8.7,7.1,5.61,8.59,-4.88,-1.77,15.77,15.35,-2.87,-2.13,2013.0,5.0,-0.008013714083666912,-0.0004300206502513282,-0.008183700639962765,-0.006379523772495288,-0.008067588281620242,-0.022065500846516817,-0.0010476426,0,-0.0,-0.0018273825664587573,-0.02483434171283505
7,7,2013-07-31,5179.251,5202.656,5102.315,5139.722,RS8888.XZCE,True,2013,7,31,-65,-65,2013-06,20.1,17.1,12.7,11.5,9.9,9.2,7.6,7.2,6.69,7.37,-12.55,-9.07,13.35,15.11,-2.7,-2.23,2013.0,6.0,-0.0012263309182869442,-0.008013714083666912,-0.0004300206502513282,-0.008183700639962765,-0.006379523772495288,-0.008067588281620242,-0.006624693,0,-0.0,-0.0018273825664587573,-0.026060672631121995
8,8,2013-08-30,5126.73,5312.467,4977.92,5133.419,RS8888.XZCE,True,2013,8,35,-64,-64,2013-07,20.1,17.08,12.5,11.1,9.2,9.2,8.5,7.4,3.09,6.51,-5.37,-0.75,15.44,15.15,-2.27,-2.23,2013.0,7.0,-0.006798003435916633,-0.0012263309182869442,-0.008013714083666912,-0.0004300206502513282,-0.008183700639962765,-0.006379523772495288,-0.0073301,0,-0.0,-0.0018273825664587573,-0.03285867606703863
9,9,2013-09-30,5118.492,5150.696,5025.913,5098.522,RS8888.XZCE,True,2013,9,40,-63,-63,2013-08,20.3,17.9,12.4,11.6,8.0,9.0,7.6,7.4,7.58,7.09,-5.45,0.13,14.58,15.11,-1.62,-2.16,2013.0,8.0,-0.01949172721035619,-0.006798003435916633,-0.0012263309182869442,-0.008013714083666912,-0.0004300206502513282,-0.008183700639962765,-0.0067984518,0,-0.0,-0.0018273825664587573,-0.05235040327739482
