,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2019-12-31,1566.834,1675.609,1559.244,1640.288,SA8888.XZCE,True,2019,12,1,12,12,2019-11,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,2.4,-2.5,-17.7,-13.2,3.7,-9.6,-1.4,-0.3,2019.0,11.0,-0.01222895003804203,,,,,,0.5,1,-0.01222895003804203,-0.01222895003804203,-0.01222895003804203
1,1,2020-01-23,1641.381,1694.959,1597.713,1620.229,SA8888.XZCE,True,2020,1,4,13,13,2019-12,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2019.0,12.0,-0.025497013076546726,-0.01222895003804203,,,,,-0.009196283,0,-0.0,-0.01222895003804203,-0.037725963114588756
2,2,2020-02-28,1521.927,1644.847,1515.009,1578.918,SA8888.XZCE,True,2020,2,9,14,14,2020-01,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,0.1,0.1,2020.0,1.0,-0.11450689649494139,-0.025497013076546726,-0.01222895003804203,,,,-0.012433568,0,-0.0,-0.01222895003804203,-0.15223285960953015
3,3,2020-03-31,1577.097,1611.131,1370.033,1398.121,SA8888.XZCE,True,2020,3,14,15,15,2020-02,-24.5,-31.5,-26.9,6.3,4.9,-28.2,6.5,-24.4,-1.1,-31.5,-44.6,-14.3,8.1,-45.8,-0.4,-0.2,2020.0,2.0,0.006241233770181376,-0.11450689649494139,-0.025497013076546726,-0.01222895003804203,,,-0.11122255,-1,-0.006241233770181376,-0.018470183808223406,-0.14599162583934877
4,4,2020-04-30,1394.891,1481.858,1359.761,1406.847,SA8888.XZCE,True,2020,4,18,16,16,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020.0,3.0,0.050149731989335145,0.006241233770181376,-0.11450689649494139,-0.025497013076546726,-0.01222895003804203,,-0.024863256,-1,-0.050149731989335145,-0.06861991579755855,-0.09584189385001363
5,5,2020-05-29,1412.48,1487.959,1384.616,1477.4,SA8888.XZCE,True,2020,5,22,17,17,2020-04,-10.3,-18.8,-7.3,8.9,7.5,-9.0,14.3,-4.2,-5.8,-16.4,-19.9,11.4,5.1,-32.3,-3.1,-1.2,2020.0,4.0,-0.053341681332069846,0.050149731989335145,0.006241233770181376,-0.11450689649494139,-0.025497013076546726,-0.01222895003804203,-0.0638263,-1,0.053341681332069846,-0.015278234465488705,-0.14918357518208347
6,6,2020-06-30,1479.718,1491.145,1387.31,1398.593,SA8888.XZCE,True,2020,6,27,18,18,2020-05,-6.3,-14.8,-4.7,3.6,7.3,-4.9,16.4,1.0,-9.8,-18.9,-14.8,17.1,19.0,-23.6,-3.7,-1.7,2020.0,5.0,-0.035983306079752975,-0.053341681332069846,0.050149731989335145,0.006241233770181376,-0.11450689649494139,-0.025497013076546726,-0.052914727,-1,0.035983306079752975,0.02070507161426427,-0.18516688126183645
7,7,2020-07-31,1396.111,1425.314,1303.307,1348.267,SA8888.XZCE,True,2020,7,31,19,19,2020-06,-3.1,-11.7,-3.1,2.6,7.4,-2.3,9.6,2.9,-18.2,-25.6,-7.7,15.4,20.4,-16.5,-3.0,-1.9,2020.0,6.0,0.288185500349708,-0.035983306079752975,-0.053341681332069846,0.050149731989335145,0.006241233770181376,-0.11450689649494139,-0.056711584,-1,-0.288185500349708,-0.26748042873544375,0.10301861908787158
8,8,2020-08-31,1353.265,1737.584,1343.931,1736.818,SA8888.XZCE,True,2020,8,36,20,20,2020-07,-1.6,-10.2,-1.2,7.8,9.6,-0.3,10.2,4.1,-17.3,-24.8,-9.1,14.7,26.8,-9.7,-2.4,-2.0,2020.0,7.0,-0.00617508570270453,0.288185500349708,-0.035983306079752975,-0.053341681332069846,0.050149731989335145,0.006241233770181376,-0.009067915,0,-0.0,-0.26748042873544375,0.09684353338516705
9,9,2020-09-30,1743.135,1826.051,1665.824,1726.093,SA8888.XZCE,True,2020,9,40,21,21,2020-08,-0.3,-8.1,0.2,9.9,10.9,1.2,8.0,4.6,-17.4,-23.3,-6.7,11.8,7.6,-9.0,-2.0,-2.0,2020.0,8.0,-0.09258075897416884,-0.00617508570270453,0.288185500349708,-0.035983306079752975,-0.053341681332069846,0.050149731989335145,-0.035552092,-1,0.09258075897416884,-0.1748996697612749,0.004262774410998205
