,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2018-03-30,436.64,445.435,400.748,419.106,SC8888.XINE,True,2018,3,13,-9,-9,2018-02,7.9,4.3,5.5,,,9.1,,10.3,,4.6,6.1,,,-5.0,3.7,4.0,2018.0,2.0,0.058951673323693665,,,,,,0.5,1,0.058951673323693665,0.058951673323693665,0.058951673323693665
1,1,2018-04-27,419.053,448.624,397.155,443.813,SC8888.XINE,True,2018,4,17,-8,-8,2018-03,7.5,3.8,4.5,2.8,6.8,8.2,11.4,10.7,-14.4,-3.1,3.1,-2.0,0.9,-2.6,3.1,3.7,2018.0,3.0,0.06395937027531873,0.058951673323693665,,,,,0.061562907,1,0.06395937027531873,0.12291104359901239,0.12291104359901239
2,2,2018-05-31,439.385,493.349,435.809,472.199,SC8888.XINE,True,2018,5,22,-7,-7,2018-04,7.0,4.8,4.7,5.4,9.7,8.6,13.2,11.4,-6.4,-4.2,6.3,12.0,10.8,0.4,3.4,3.6,2018.0,4.0,0.04736774114303488,0.06395937027531873,0.058951673323693665,,,,0.06350999,1,0.04736774114303488,0.17027878474204727,0.17027878474204727
3,3,2018-06-29,470.306,497.68,453.594,494.566,SC8888.XINE,True,2018,6,26,-6,-6,2018-05,6.1,5.2,4.2,2.5,6.6,8.2,9.6,11.0,-14.8,-9.5,5.5,6.1,9.5,2.0,4.1,3.7,2018.0,5.0,0.03690104050824372,0.04736774114303488,0.06395937027531873,0.058951673323693665,,,0.06351756,1,0.03690104050824372,0.207179825250291,0.207179825250291
4,4,2018-07-31,497.838,515.05,478.28,512.816,SC8888.XINE,True,2018,7,31,-5,-5,2018-06,6.0,6.8,3.7,1.4,6.8,7.9,11.5,11.1,-4.8,-8.2,6.1,-2.1,5.3,3.5,4.7,3.9,2018.0,6.0,0.017751006208854614,0.03690104050824372,0.04736774114303488,0.06395937027531873,0.058951673323693665,,0.03854514,1,0.017751006208854614,0.2249308314591456,0.2249308314591456
5,5,2018-08-31,512.203,545.345,480.113,521.919,SC8888.XINE,True,2018,8,35,-4,-4,2018-07,5.5,7.3,3.6,2.5,6.9,7.8,11.2,11.1,-8.6,-2.7,7.1,2.4,-0.5,3.2,4.6,4.0,2018.0,7.0,0.07966945062356423,0.017751006208854614,0.03690104050824372,0.04736774114303488,0.06395937027531873,0.058951673323693665,0.01956011,0,0.0,0.2249308314591456,0.30460028208270984
6,6,2018-09-28,522.21,564.495,510.809,563.5,SC8888.XINE,True,2018,9,39,-3,-3,2018-08,5.3,7.5,3.7,4.4,5.9,7.6,9.8,10.9,-10.3,-6.7,5.0,-2.3,-4.4,2.2,4.1,4.0,2018.0,8.0,-0.048669032830523484,0.07966945062356423,0.017751006208854614,0.03690104050824372,0.04736774114303488,0.06395937027531873,0.06392714,1,-0.048669032830523484,0.17626179862862212,0.25593124925218635
7,7,2018-10-31,572.443,598.404,525.46,536.075,SC8888.XINE,True,2018,10,44,-2,-2,2018-09,5.4,8.7,3.7,3.7,6.1,7.4,9.7,10.8,-16.2,-8.2,4.6,0.0,-10.6,0.6,3.6,4.0,2018.0,9.0,-0.21592127967168784,-0.048669032830523484,0.07966945062356423,0.017751006208854614,0.03690104050824372,0.04736774114303488,0.05329575,1,-0.21592127967168784,-0.039659481043065714,0.04000996958049852
8,8,2018-11-30,534.718,535.325,409.45,420.325,SC8888.XINE,True,2018,11,48,-1,-1,2018-10,5.7,9.1,3.7,3.1,6.8,7.4,8.1,10.5,-13.1,-8.7,0.7,-9.8,-9.2,-0.4,3.3,3.9,2018.0,10.0,-0.10421221673704872,-0.21592127967168784,-0.048669032830523484,0.07966945062356423,0.017751006208854614,0.03690104050824372,-0.1346647,-1,0.10421221673704872,0.06455273569398301,-0.06420224715655021
9,9,2018-12-28,416.023,441.124,353.514,376.522,SC8888.XINE,True,2018,12,52,0,0,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,0.14422264834458542,-0.10421221673704872,-0.21592127967168784,-0.048669032830523484,0.07966945062356423,0.017751006208854614,0.017169239,0,0.0,0.06455273569398301,0.08002040118803522
