,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2014-08-29,5892.676,5955.679,5517.966,5800.915,SF8888.XZCE,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.0395094566977795,,,,,,0.5,1,-0.0395094566977795,-0.0395094566977795,-0.0395094566977795
1,1,2014-09-30,5804.374,5829.153,5443.624,5571.724,SF8888.XZCE,True,2014,9,40,-51,-51,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.02575845465425064,-0.0395094566977795,,,,,-0.03631527,-1,0.02575845465425064,-0.01375100204352886,-0.06526791135203014
2,2,2014-10-31,5568.354,5696.107,5368.81,5428.205,SF8888.XZCE,True,2014,10,44,-50,-50,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,0.018524539880126145,-0.02575845465425064,-0.0395094566977795,,,,-0.025902327,-1,-0.018524539880126145,-0.032275541923655005,-0.046743371471903994
3,3,2014-11-28,5420.415,5540.16,5334.625,5528.76,SF8888.XZCE,True,2014,11,48,-49,-49,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,-0.01887150102373769,0.018524539880126145,-0.02575845465425064,-0.0395094566977795,,,0.006105136,0,-0.0,-0.032275541923655005,-0.06561487249564169
4,4,2014-12-31,5524.234,5575.226,5380.152,5424.424,SF8888.XZCE,True,2014,12,1,-48,-48,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,-0.05685838717622371,-0.01887150102373769,0.018524539880126145,-0.02575845465425064,-0.0395094566977795,,-0.01863622,0,-0.0,-0.032275541923655005,-0.1224732596718654
5,5,2015-01-30,5361.224,5479.0,5004.0,5116.0,SF8888.XZCE,True,2015,1,5,-47,-47,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,0.0023455824863174435,-0.05685838717622371,-0.01887150102373769,0.018524539880126145,-0.02575845465425064,-0.0395094566977795,-0.017501859,0,0.0,-0.032275541923655005,-0.12012767718554795
6,6,2015-02-27,5240.0,5240.0,5070.0,5128.0,SF8888.XZCE,True,2015,2,9,-46,-46,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015.0,1.0,-0.04446177847113886,0.0023455824863174435,-0.05685838717622371,-0.01887150102373769,0.018524539880126145,-0.02575845465425064,0.017874403,0,-0.0,-0.032275541923655005,-0.1645894556566868
7,7,2015-03-31,5084.0,5196.0,4862.0,4900.0,SF8888.XZCE,True,2015,3,14,-45,-45,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,-0.002367346938775605,-0.04446177847113886,0.0023455824863174435,-0.05685838717622371,-0.01887150102373769,0.018524539880126145,-0.00631459,0,-0.0,-0.032275541923655005,-0.16695680259546242
8,8,2015-04-30,4900.0,5105.4,4464.0,4888.4,SF8888.XZCE,True,2015,4,18,-44,-44,2015-03,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,-9.52,-16.11,-1.6,-7.0,3.5,4.7,-4.56,-4.56,2015.0,3.0,0.0064642827919156876,-0.002367346938775605,-0.04446177847113886,0.0023455824863174435,-0.05685838717622371,-0.01887150102373769,-0.043111928,-1,-0.0064642827919156876,-0.03873982471557069,-0.16049251980354673
9,9,2015-05-29,4904.0,5134.0,4750.0,4920.0,SF8888.XZCE,True,2015,5,22,-43,-43,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,0.0060975609756097615,0.0064642827919156876,-0.002367346938775605,-0.04446177847113886,0.0023455824863174435,-0.05685838717622371,-0.043716572,-1,-0.0060975609756097615,-0.044837385691180454,-0.15439495882793697
