,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2022-12-30,18105.272,18468.949,16825.897,17849.196,SI8888.GFEX,True,2022,12,52,48,48,2022-11,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022.0,11.0,-0.0006149296584562203,,,,,,0.5,1,-0.0006149296584562203,-0.0006149296584562203,-0.0006149296584562203
1,1,2023-01-31,17822.138,18648.543,17250.094,17838.22,SI8888.GFEX,True,2023,1,5,49,49,2022-12,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.7,4.1,2022.0,12.0,-0.01949695653490091,-0.0006149296584562203,,,,,0.0023489748,0,-0.0,-0.0006149296584562203,-0.02011188619335713
2,2,2023-02-28,17885.147,18077.681,17237.846,17490.429,SI8888.GFEX,True,2023,2,9,50,50,2023-01,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.8,-0.8,2023.0,1.0,-0.11365347299371564,-0.01949695653490091,-0.0006149296584562203,,,,-0.00070474116,0,-0.0,-0.0006149296584562203,-0.13376535918707277
3,3,2023-03-31,17470.65,17607.694,15330.491,15502.581,SI8888.GFEX,True,2023,3,13,51,51,2023-02,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023.0,2.0,-0.020258949138856397,-0.11365347299371564,-0.01949695653490091,-0.0006149296584562203,,,-0.11031766,-1,0.020258949138856397,0.019644019480400177,-0.15402430832592917
4,4,2023-04-28,15563.557,15655.805,14704.592,15188.515,SI8888.GFEX,True,2023,4,17,52,52,2023-03,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023.0,3.0,-0.1556396395565992,-0.020258949138856397,-0.11365347299371564,-0.01949695653490091,-0.0006149296584562203,,-0.019644778,0,-0.0,0.019644019480400177,-0.3096639478825284
5,5,2023-05-31,15131.179,15347.967,12525.528,12824.58,SI8888.GFEX,True,2023,5,22,53,53,2023-04,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023.0,4.0,0.03640392122003222,-0.1556396395565992,-0.020258949138856397,-0.11365347299371564,-0.01949695653490091,-0.0006149296584562203,-0.020226926,-1,-0.03640392122003222,-0.016759901739632044,-0.27326002666249616
6,6,2023-06-30,12947.298,13858.846,12290.728,13291.445,SI8888.GFEX,True,2023,6,26,54,54,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0,0.03465763128087285,0.03640392122003222,-0.1556396395565992,-0.020258949138856397,-0.11365347299371564,-0.01949695653490091,-0.067295976,-1,-0.03465763128087285,-0.05141753302050489,-0.2386023953816233
7,7,2023-07-31,13370.732,14221.961,13080.074,13752.095,SI8888.GFEX,True,2023,7,31,55,55,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0,-0.011791512493187328,0.03465763128087285,0.03640392122003222,-0.1556396395565992,-0.020258949138856397,-0.11365347299371564,0.028029904,1,-0.011791512493187328,-0.06320904551369222,-0.25039390787481064
8,8,2023-08-31,13817.628,13981.983,13129.441,13589.937,SI8888.GFEX,True,2023,8,35,56,56,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,0.03899738460892044,-0.011791512493187328,0.03465763128087285,0.03640392122003222,-0.1556396395565992,-0.020258949138856397,0.014484858,0,0.0,-0.06320904551369222,-0.2113965232658902
9,9,2023-09-28,13659.091,15164.856,13643.528,14119.909,SI8888.GFEX,True,2023,9,39,57,57,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,0.006328086108770226,0.03899738460892044,-0.011791512493187328,0.03465763128087285,0.03640392122003222,-0.1556396395565992,-0.1395717,-1,-0.006328086108770226,-0.06953713162246244,-0.20506843715711998
