,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2014-08-29,6567.849,6694.355,6354.236,6364.018,SM8888.XZCE,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.04461473867610055,,,,,,0.5,1,-0.04461473867610055,-0.04461473867610055,-0.04461473867610055
1,1,2014-09-30,6361.916,6379.781,5942.03,6080.089,SM8888.XZCE,True,2014,9,40,-51,-51,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,0.01031481611535634,-0.04461473867610055,,,,,-0.041390333,-1,-0.01031481611535634,-0.05492955479145689,-0.03429992256074421
2,2,2014-10-31,6117.04,6312.472,6070.707,6142.804,SM8888.XZCE,True,2014,10,44,-50,-50,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,0.007230411388675195,0.01031481611535634,-0.04461473867610055,,,,0.010464816,0,0.0,-0.05492955479145689,-0.027069511172069016
3,3,2014-11-28,6070.176,6241.585,6070.176,6187.219,SM8888.XZCE,True,2014,11,48,-49,-49,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,-0.010173552932262409,0.007230411388675195,0.01031481611535634,-0.04461473867610055,,,0.0076970113,0,-0.0,-0.05492955479145689,-0.037243064104331425
4,4,2014-12-31,6093.599,6233.927,6002.162,6124.273,SM8888.XZCE,True,2014,12,1,-48,-48,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,-0.08593232208949542,-0.010173552932262409,0.007230411388675195,0.01031481611535634,-0.04461473867610055,,0.0075096814,0,-0.0,-0.05492955479145689,-0.12317538619382684
5,5,2015-01-30,6045.166,6152.987,5458.0,5598.0,SM8888.XZCE,True,2015,1,5,-47,-47,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,0.00035727045373357136,-0.08593232208949542,-0.010173552932262409,0.007230411388675195,0.01031481611535634,-0.04461473867610055,-0.08334988,-1,-0.00035727045373357136,-0.05528682524519046,-0.12281811574009327
6,6,2015-02-27,5800.0,5800.0,5518.0,5600.0,SM8888.XZCE,True,2015,2,9,-46,-46,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015.0,1.0,-0.0267857142857143,0.00035727045373357136,-0.08593232208949542,-0.010173552932262409,0.007230411388675195,0.01031481611535634,0.0071546454,0,-0.0,-0.05528682524519046,-0.14960383002580757
7,7,2015-03-31,5510.0,5660.0,5404.0,5450.0,SM8888.XZCE,True,2015,3,14,-45,-45,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,-0.021651376146789025,-0.0267857142857143,0.00035727045373357136,-0.08593232208949542,-0.010173552932262409,0.007230411388675195,-0.02677237,-1,0.021651376146789025,-0.03363544909840144,-0.1712552061725966
8,8,2015-04-30,5414.0,5596.0,5076.0,5332.0,SM8888.XZCE,True,2015,4,18,-44,-44,2015-03,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,-9.52,-16.11,-1.6,-7.0,3.5,4.7,-4.56,-4.56,2015.0,3.0,0.02681920480120037,-0.021651376146789025,-0.0267857142857143,0.00035727045373357136,-0.08593232208949542,-0.010173552932262409,-0.021537378,-1,-0.02681920480120037,-0.06045465389960181,-0.14443600137139623
9,9,2015-05-29,5698.831,5966.0,5460.0,5475.0,SM8888.XZCE,True,2015,5,22,-43,-43,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,-0.062191780821917786,0.02681920480120037,-0.021651376146789025,-0.0267857142857143,0.00035727045373357136,-0.08593232208949542,-0.007016881,0,-0.0,-0.06045465389960181,-0.206627782193314
