,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2018-11-30,5832.503,5834.444,5108.072,5141.223,SP8888.XSGE,True,2018,11,48,-1,-1,2018-10,5.7,9.1,3.7,3.1,6.8,7.4,8.1,10.5,-13.1,-8.7,0.7,-9.8,-9.2,-0.4,3.3,3.9,2018.0,10.0,-0.022203082807339736,,,,,,0.5,1,-0.022203082807339736,-0.022203082807339736,-0.022203082807339736
1,1,2018-12-28,5150.635,5257.15,4901.221,5027.072,SP8888.XSGE,True,2018,12,52,0,0,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,0.0765706160564239,-0.022203082807339736,,,,,-0.019111361,0,0.0,-0.022203082807339736,0.054367533249084166
2,2,2019-01-31,5020.865,5519.251,4988.954,5411.998,SP8888.XSGE,True,2019,1,5,1,1,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,0.02358445069639714,0.0765706160564239,-0.022203082807339736,,,,0.07685441,1,0.02358445069639714,0.0013813678890574055,0.0779519839454813
3,3,2019-02-28,5404.063,5681.622,5340.919,5539.637,SP8888.XSGE,True,2019,2,9,2,2,2019-01,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.1,0.1,2019.0,1.0,-0.04069309956591005,0.02358445069639714,0.0765706160564239,-0.022203082807339736,,,0.07611184,1,-0.04069309956591005,-0.039311731676852646,0.037258884379571255
4,4,2019-03-29,5539.429,5626.654,5209.975,5314.212,SP8888.XSGE,True,2019,3,13,3,3,2019-02,6.1,5.9,8.5,4.0,6.5,4.4,11.7,10.0,0.3,0.9,0.0,-17.4,-14.9,-15.1,0.1,0.1,2019.0,2.0,-0.016674344192516344,-0.04069309956591005,0.02358445069639714,0.0765706160564239,-0.022203082807339736,,0.07615409,1,-0.016674344192516344,-0.05598607586936899,0.02058454018705491
5,5,2019-04-30,5322.24,5509.414,5216.18,5225.601,SP8888.XSGE,True,2019,4,18,4,4,2019-03,6.3,4.6,11.0,14.6,14.1,8.4,16.4,12.6,10.8,3.7,-6.9,-5.7,-2.6,-10.4,0.4,0.2,2019.0,3.0,-0.0726685791739553,-0.016674344192516344,-0.04069309956591005,0.02358445069639714,0.0765706160564239,-0.022203082807339736,0.07617576,1,-0.0726685791739553,-0.1286546550433243,-0.052084038986900394
6,6,2019-05-31,5191.735,5235.339,4829.572,4845.864,SP8888.XSGE,True,2019,5,22,5,5,2019-04,6.1,2.5,8.9,3.3,2.0,6.7,2.8,10.1,-1.9,-40.8,-7.1,-25.0,-15.8,-11.8,0.9,0.3,2019.0,4.0,-0.03843504481347382,-0.0726685791739553,-0.016674344192516344,-0.04069309956591005,0.02358445069639714,0.0765706160564239,-0.039561704,-1,0.03843504481347382,-0.09021961022985048,-0.09051908380037421
7,7,2019-06-28,4846.764,4848.682,4466.072,4659.613,SP8888.XSGE,True,2019,6,26,6,6,2019-05,5.6,2.7,8.4,6.5,2.5,5.7,4.9,9.0,-3.1,-30.1,-9.0,-17.4,-21.5,-14.1,0.6,0.4,2019.0,5.0,-0.014003308858482444,-0.03843504481347382,-0.0726685791739553,-0.016674344192516344,-0.04069309956591005,0.02358445069639714,-0.07042442,-1,0.014003308858482444,-0.07621630137136803,-0.10452239265885666
8,8,2019-07-31,4665.634,4888.823,4477.956,4594.363,SP8888.XSGE,True,2019,7,31,7,7,2019-06,5.8,3.0,7.9,5.7,2.6,5.1,5.3,8.3,-2.9,-23.7,-10.5,-14.0,-15.2,-14.2,0.0,0.3,2019.0,6.0,0.021517672852580327,-0.014003308858482444,-0.03843504481347382,-0.0726685791739553,-0.016674344192516344,-0.04069309956591005,-0.019873358,0,0.0,-0.07621630137136803,-0.08300471980627633
9,9,2019-08-30,4591.784,4803.481,4451.481,4693.223,SP8888.XSGE,True,2019,8,35,8,8,2019-07,5.7,3.3,7.3,4.2,0.7,4.5,4.0,7.7,-11.4,-18.9,-11.7,-17.4,-11.5,-12.8,-0.3,0.2,2019.0,7.0,-0.008140674329772946,0.021517672852580327,-0.014003308858482444,-0.03843504481347382,-0.0726685791739553,-0.016674344192516344,0.020893045,1,-0.008140674329772946,-0.08435697570114098,-0.09114539413604927
