,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2006-01-27,4654.608,6046.624,4615.423,6014.207,SR8888.XZCE,True,2006,1,4,-155,-155,2005-12,27.2,39.2,,,,,,,35.1,9.6,12.8,-1.2,33.0,13.0,3.2,4.9,2005.0,12.0,-0.13624289952108404,,,,,,0.5,1,-0.13624289952108404,-0.13624289952108404,-0.13624289952108404
1,1,2006-02-28,6228.33,6237.481,5194.775,5194.814,SR8888.XZCE,True,2006,2,9,-154,-154,2006-01,27.2,39.2,,,,,,,-6.6,-6.6,4.5,4.5,26.1,26.1,3.05,3.05,2006.0,1.0,-0.022081252572277,-0.13624289952108404,,,,,-0.132476,-1,0.022081252572277,-0.11416164694880704,-0.15832415209336104
2,2,2006-03-31,5235.711,5282.487,4897.781,5080.106,SR8888.XZCE,True,2006,3,13,-153,-153,2006-02,26.6,35.4,21.8,27.0,27.3,21.2,31.8,25.3,-38.8,-27.1,7.2,10.7,57.9,40.6,3.01,3.0,2006.0,2.0,-0.06616594220671779,-0.022081252572277,-0.13624289952108404,,,,-0.02163945,-1,0.06616594220671779,-0.04799570474208925,-0.22449009430007882
3,3,2006-04-28,5025.661,5047.114,4431.911,4743.976,SR8888.XZCE,True,2006,4,17,-152,-152,2006-03,29.8,36.3,21.5,22.0,23.9,21.7,25.7,24.9,-12.2,-4.2,13.6,21.8,29.5,36.3,2.49,2.9,2006.0,3.0,-0.0020704151960294626,-0.06616594220671779,-0.022081252572277,-0.13624289952108404,,,-0.065542676,-1,0.0020704151960294626,-0.04592528954605979,-0.2265605094961083
4,4,2006-05-31,4766.449,5144.713,4608.943,4734.154,SR8888.XZCE,True,2006,5,22,-151,-151,2006-04,29.6,37.6,17.9,16.4,20.6,20.2,21.4,24.1,-2.8,-3.4,12.7,13.0,21.4,31.8,1.87,2.6,2006.0,4.0,-0.09680779290238573,-0.0020704151960294626,-0.06616594220671779,-0.022081252572277,-0.13624289952108404,,-0.046087183,-1,0.09680779290238573,0.05088250335632594,-0.323368302398494
5,5,2006-06-30,4617.129,4653.136,3998.275,4275.851,SR8888.XZCE,True,2006,6,26,-150,-150,2006-05,30.3,37.1,18.6,18.2,21.5,20.8,23.2,23.8,-1.6,-3.7,12.2,10.1,28.4,30.6,2.43,2.6,2006.0,5.0,-0.07078801389477785,-0.09680779290238573,-0.0020704151960294626,-0.06616594220671779,-0.022081252572277,-0.13624289952108404,-0.0026927106,0,-0.0,0.05088250335632594,-0.39415631629327186
6,6,2006-07-31,4293.415,4310.576,3829.966,3973.172,SR8888.XZCE,True,2006,7,31,-149,-149,2006-06,31.3,38.6,19.2,24.5,21.9,21.8,22.3,23.9,20.4,1.3,10.8,7.3,15.4,27.8,3.52,2.7,2006.0,6.0,-0.169101664866258,-0.07078801389477785,-0.09680779290238573,-0.0020704151960294626,-0.06616594220671779,-0.022081252572277,-0.026651809,-1,0.169101664866258,0.21998416822258393,-0.5632579811595299
7,7,2006-08-31,3966.783,3972.095,3235.561,3301.302,SR8888.XZCE,True,2006,8,35,-148,-148,2006-07,30.5,38.1,21.3,24.3,22.2,20.8,21.9,23.7,5.6,2.0,11.6,15.1,10.4,25.3,3.58,2.9,2006.0,7.0,0.020017859620234724,-0.169101664866258,-0.07078801389477785,-0.09680779290238573,-0.0020704151960294626,-0.06616594220671779,-0.070630305,-1,-0.020017859620234724,0.1999663086023492,-0.5432401215392951
8,8,2006-09-29,3327.377,3605.727,3316.461,3367.387,SR8888.XZCE,True,2006,9,39,-147,-147,2006-08,29.1,36.0,21.4,22.7,23.7,21.8,20.9,23.7,16.2,4.0,12.3,17.9,13.3,24.1,3.4,2.9,2006.0,8.0,0.10990242582750365,0.020017859620234724,-0.169101664866258,-0.07078801389477785,-0.09680779290238573,-0.0020704151960294626,-0.14143169,-1,-0.10990242582750365,0.09006388277484556,-0.4333376957117915
9,9,2006-10-31,3368.69,3908.328,3364.687,3737.471,SR8888.XZCE,True,2006,10,44,-146,-146,2006-09,28.2,33.8,21.2,21.4,24.4,22.2,16.4,22.5,16.9,6.3,13.0,16.2,23.2,24.0,3.5,3.0,2006.0,9.0,0.06396063006241381,0.10990242582750365,0.020017859620234724,-0.169101664866258,-0.07078801389477785,-0.09680779290238573,0.10570105,1,0.06396063006241381,0.15402451283725938,-0.36937706564937767
10,10,2006-11-30,3768.973,4017.154,3748.043,3976.522,SR8888.XZCE,True,2006,11,48,-145,-145,2006-10,26.8,30.5,21.1,19.1,22.4,22.2,16.8,22.1,22.2,8.1,13.8,22.5,35.6,25.1,2.9,3.0,2006.0,10.0,-0.04488897584371465,0.06396063006241381,0.10990242582750365,0.020017859620234724,-0.169101664866258,-0.07078801389477785,-0.12723486,-1,0.04488897584371465,0.19891348868097403,-0.4142660414930923
11,11,2006-12-29,3957.746,3958.367,3704.695,3798.02,SR8888.XZCE,True,2006,12,52,-144,-144,2006-11,26.6,30.1,21.3,19.3,20.6,22.2,18.8,22.0,28.7,10.5,13.9,16.5,27.8,26.1,2.78,3.0,2006.0,11.0,-0.011035750206686568,-0.04488897584371465,0.06396063006241381,0.10990242582750365,0.020017859620234724,-0.169101664866258,-0.041149586,-1,0.011035750206686568,0.2099492388876606,-0.4253017916997789
12,12,2007-01-31,3742.103,3761.764,3626.862,3756.106,SR8888.XZCE,True,2007,1,5,-143,-143,2006-12,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,23.5,11.3,14.7,19.2,19.0,26.0,3.1,3.0,2006.0,12.0,0.027508275858029396,-0.011035750206686568,-0.04488897584371465,0.06396063006241381,0.10990242582750365,0.020017859620234724,0.022205649,1,0.027508275858029396,0.23745751474569,-0.3977935158417495
13,13,2007-02-28,3744.876,3866.623,3684.7,3859.43,SR8888.XZCE,True,2007,2,9,-142,-142,2007-01,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,54.9,54.9,32.1,32.1,39.6,39.6,3.3,3.3,2007.0,1.0,0.007879660986207737,0.027508275858029396,-0.011035750206686568,-0.04488897584371465,0.06396063006241381,0.10990242582750365,0.06387631,1,0.007879660986207737,0.24533717573189773,-0.38991385485554175
