,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2019-09-30,15539.584,15896.852,15255.336,15665.504,SS8888.XSGE,True,2019,9,40,9,9,2019-08,5.5,2.6,6.4,0.9,0.0,3.9,3.3,7.1,-15.0,-20.5,-16.7,-21.3,-0.6,-12.5,-0.8,0.1,2019.0,8.0,-0.04466246346111824,,,,,,0.5,1,-0.04466246346111824,-0.04466246346111824,-0.04466246346111824
1,1,2019-10-31,15612.023,15851.22,14671.882,14965.844,SS8888.XSGE,True,2019,10,44,10,10,2019-09,5.4,2.5,6.0,2.6,3.5,3.9,7.0,7.1,-16.5,-1.8,-16.2,-17.8,-6.9,-12.0,-1.2,0.0,2019.0,9.0,-0.0647442937397984,-0.04466246346111824,,,,,-0.041437775,-1,0.0647442937397984,0.020081830278680157,-0.10940675720091664
2,2,2019-11-29,14972.415,14986.461,13991.872,13996.891,SS8888.XSGE,True,2019,11,48,11,11,2019-10,5.2,2.6,5.7,3.1,3.1,3.9,5.0,6.9,-2.8,-2.8,-16.9,-13.5,-2.1,-11.1,-1.6,-0.2,2019.0,10.0,0.034449150171991905,-0.0647442937397984,-0.04466246346111824,,,,-0.06236259,-1,-0.034449150171991905,-0.014367319893311747,-0.07495760702892473
3,3,2019-12-31,13967.312,14699.19,13760.43,14479.072,SS8888.XSGE,True,2019,12,1,12,12,2019-11,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,2.4,-2.5,-17.7,-13.2,3.7,-9.6,-1.4,-0.3,2019.0,11.0,-0.053043661914244145,0.034449150171991905,-0.0647442937397984,-0.04466246346111824,,,-0.062490396,-1,0.053043661914244145,0.0386763420209324,-0.12800126894316888
4,4,2020-01-23,14392.681,14421.919,13686.717,13711.049,SS8888.XSGE,True,2020,1,4,13,13,2019-12,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2019.0,12.0,-0.08998764427141936,-0.053043661914244145,0.034449150171991905,-0.0647442937397984,-0.04466246346111824,,-0.052649647,-1,0.08998764427141936,0.12866398629235176,-0.21798891321458824
5,5,2020-02-28,13475.292,13646.119,12400.662,12477.224,SS8888.XSGE,True,2020,2,9,14,14,2020-01,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,0.1,0.1,2020.0,1.0,-0.039699215145933,-0.08998764427141936,-0.053043661914244145,0.034449150171991905,-0.0647442937397984,-0.04466246346111824,0.033942126,1,-0.039699215145933,0.08896477114641876,-0.25768812836052124
6,6,2020-03-31,12524.67,12837.632,11696.354,11981.888,SS8888.XSGE,True,2020,3,14,15,15,2020-02,-24.5,-31.5,-26.9,6.3,4.9,-28.2,6.5,-24.4,-1.1,-31.5,-44.6,-14.3,8.1,-45.8,-0.4,-0.2,2020.0,2.0,0.0752136057355901,-0.039699215145933,-0.08998764427141936,-0.053043661914244145,0.034449150171991905,-0.0647442937397984,-0.052717105,-1,-0.0752136057355901,0.013751165410828659,-0.18247452262493113
7,7,2020-04-30,12008.654,13429.807,11820.723,12883.089,SS8888.XSGE,True,2020,4,18,16,16,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020.0,3.0,0.007458226827432579,0.0752136057355901,-0.039699215145933,-0.08998764427141936,-0.053043661914244145,0.034449150171991905,0.02123551,1,0.007458226827432579,0.021209392238261238,-0.17501629579749856
8,8,2020-05-29,12852.43,13725.382,12810.193,12979.174,SS8888.XSGE,True,2020,5,22,17,17,2020-04,-10.3,-18.8,-7.3,8.9,7.5,-9.0,14.3,-4.2,-5.8,-16.4,-19.9,11.4,5.1,-32.3,-3.1,-1.2,2020.0,4.0,0.00483775007562115,0.007458226827432579,0.0752136057355901,-0.039699215145933,-0.08998764427141936,-0.053043661914244145,-0.029081142,-1,-0.00483775007562115,0.016371642162640088,-0.1701785457218774
9,9,2020-06-30,13001.171,13354.209,12570.542,13041.964,SS8888.XSGE,True,2020,6,27,18,18,2020-05,-6.3,-14.8,-4.7,3.6,7.3,-4.9,16.4,1.0,-9.8,-18.9,-14.8,17.1,19.0,-23.6,-3.7,-1.7,2020.0,5.0,0.07399844072564532,0.00483775007562115,0.007458226827432579,0.0752136057355901,-0.039699215145933,-0.08998764427141936,0.0050171176,0,0.0,0.016371642162640088,-0.09618010499623209
