,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2015-03-31,96.929,98.002,95.574,95.662,T8888.CCFX,True,2015,3,14,-45,-45,2015-02,13.9,10.6,9.7,,,4.8,,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,0.024001170788818804,,,,,,0.5,1,0.024001170788818804,0.024001170788818804,0.024001170788818804
1,1,2015-04-30,95.669,98.103,95.134,97.958,T8888.CCFX,True,2015,4,18,-44,-44,2015-03,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,-9.52,-16.11,-1.6,-7.0,3.5,4.7,-4.56,-4.56,2015.0,3.0,-0.030870373017007346,0.024001170788818804,,,,,0.026819335,1,-0.030870373017007346,-0.006869202228188542,-0.006869202228188542
2,2,2015-05-29,97.912,97.912,94.827,94.934,T8888.CCFX,True,2015,5,22,-43,-43,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,-0.0015168432805948706,-0.030870373017007346,0.024001170788818804,,,,0.024113277,1,-0.0015168432805948706,-0.008386045508783413,-0.008386045508783413
3,3,2015-06-30,94.947,95.701,93.911,94.79,T8888.CCFX,True,2015,6,27,-42,-42,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015.0,5.0,0.009568519886063998,-0.0015168432805948706,-0.030870373017007346,0.024001170788818804,,,-0.028559528,-1,-0.009568519886063998,-0.01795456539484741,0.0011824743772805846
4,4,2015-07-31,94.847,97.049,94.403,95.697,T8888.CCFX,True,2015,7,31,-41,-41,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,0.011055727974753626,0.009568519886063998,-0.0015168432805948706,-0.030870373017007346,0.024001170788818804,,0.00047631003,0,0.0,-0.01795456539484741,0.012238202352034211
5,5,2015-08-31,95.571,96.843,94.968,96.755,T8888.CCFX,True,2015,8,36,-40,-40,2015-07,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,-4.2,-12.0,-5.7,-13.0,-11.2,0.2,-5.37,-4.72,2015.0,7.0,0.005725802284119785,0.011055727974753626,0.009568519886063998,-0.0015168432805948706,-0.030870373017007346,0.024001170788818804,0.010860723,0,0.0,-0.01795456539484741,0.017964004636153996
6,6,2015-09-30,96.813,97.325,96.144,97.309,T8888.CCFX,True,2015,9,40,-39,-39,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,0.015753938484621255,0.005725802284119785,0.011055727974753626,0.009568519886063998,-0.0015168432805948706,-0.030870373017007346,0.0060458127,0,0.0,-0.01795456539484741,0.03371794312077525
7,7,2015-10-30,97.231,99.922,97.069,98.842,T8888.CCFX,True,2015,10,44,-38,-38,2015-09,10.3,8.32,7.6,5.8,2.2,3.4,3.8,3.4,-8.02,-9.67,-7.6,-15.5,-4.7,-0.9,-5.95,-4.99,2015.0,9.0,0.0018210882013720564,0.015753938484621255,0.005725802284119785,0.011055727974753626,0.009568519886063998,-0.0015168432805948706,0.011403771,0,0.0,-0.01795456539484741,0.03553903132214731
8,8,2015-11-30,98.891,99.228,97.25,99.022,T8888.CCFX,True,2015,11,49,-37,-37,2015-10,10.2,8.34,7.5,6.7,1.7,3.2,4.6,3.5,-5.55,-8.92,-8.06,-13.23,5.01,-0.35,-5.9,-5.1,2015.0,10.0,0.009997778271495061,0.0018210882013720564,0.015753938484621255,0.005725802284119785,0.011055727974753626,0.009568519886063998,0.013741043,0,0.0,-0.01795456539484741,0.04553680959364237
9,9,2015-12-31,99.097,100.562,98.653,100.012,T8888.CCFX,True,2015,12,53,-36,-36,2015-11,10.2,8.43,7.5,7.2,2.5,3.1,2.2,3.4,-1.4,-8.3,-9.1,-20.0,16.0,1.4,-5.9,-5.2,2015.0,11.0,0.001429828420589585,0.009997778271495061,0.0018210882013720564,0.015753938484621255,0.005725802284119785,0.011055727974753626,0.010107567,0,0.0,-0.01795456539484741,0.046966638014231954
10,10,2016-01-29,99.968,100.889,99.449,100.155,T8888.CCFX,True,2016,1,4,-35,-35,2015-12,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.9,-5.2,2015.0,12.0,-0.006849383455643787,0.001429828420589585,0.009997778271495061,0.0018210882013720564,0.015753938484621255,0.005725802284119785,0.009802074,0,-0.0,-0.01795456539484741,0.04011725455858817
11,11,2016-02-29,100.154,100.404,99.237,99.469,T8888.CCFX,True,2016,2,9,-34,-34,2016-01,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.3,-5.3,2016.0,1.0,0.0016889684223226897,-0.006849383455643787,0.001429828420589585,0.009997778271495061,0.0018210882013720564,0.015753938484621255,-0.0001571394,0,0.0,-0.01795456539484741,0.04180622298091086
