,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2006-12-29,8531.779,9122.125,8515.58,8851.487,TA8888.XZCE,True,2006,12,52,-144,-144,2006-11,26.6,30.1,21.3,19.3,20.6,22.2,18.8,22.0,28.7,10.5,13.9,16.5,27.8,26.1,2.78,3.0,2006.0,11.0,-0.06590056563377422,,,,,,0.5,1,-0.06590056563377422,-0.06590056563377422,-0.06590056563377422
1,1,2007-01-31,8622.433,8817.668,8050.384,8268.169,TA8888.XZCE,True,2007,1,5,-143,-143,2006-12,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,23.5,11.3,14.7,19.2,19.0,26.0,3.1,3.0,2006.0,12.0,0.015869293431230114,-0.06590056563377422,,,,,-0.062550135,-1,-0.015869293431230114,-0.08176985906500434,-0.05003127220254411
2,2,2007-02-28,8267.883,8529.826,8154.873,8399.379,TA8888.XZCE,True,2007,2,9,-142,-142,2007-01,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,54.9,54.9,32.1,32.1,39.6,39.6,3.3,3.3,2007.0,1.0,-0.0023320771690384934,0.015869293431230114,-0.06590056563377422,,,,0.01618757,0,-0.0,-0.08176985906500434,-0.0523633493715826
3,3,2007-03-30,8412.284,8514.498,8316.833,8379.791,TA8888.XZCE,True,2007,3,13,-141,-141,2007-02,23.4,26.4,23.5,16.3,15.4,24.2,15.9,23.0,12.2,31.7,12.3,-4.8,3.8,21.5,2.6,3.0,2007.0,2.0,0.06297400496026695,-0.0023320771690384934,0.015869293431230114,-0.06590056563377422,,,-0.0018038398,0,0.0,-0.08176985906500434,0.010610655588684348
4,4,2007-04-30,8328.983,8988.445,8326.523,8907.5,TA8888.XZCE,True,2007,4,18,-140,-140,2007-03,25.3,31.7,23.8,23.4,22.3,23.8,18.1,20.5,46.8,30.4,8.6,3.0,17.8,22.3,2.7,2.9,2007.0,3.0,-0.0061430255402749046,0.06297400496026695,-0.0023320771690384934,0.015869293431230114,-0.06590056563377422,,-0.023583004,-1,0.0061430255402749046,-0.07562683352472943,0.004467630048409443
5,5,2007-05-31,8826.805,9034.532,8635.58,8852.781,TA8888.XZCE,True,2007,5,22,-139,-139,2007-04,25.5,32.4,24.0,24.2,19.6,22.3,22.3,22.0,58.8,39.5,8.7,11.1,18.6,21.4,2.9,2.9,2007.0,4.0,-0.05931514628002221,-0.0061430255402749046,0.06297400496026695,-0.0023320771690384934,0.015869293431230114,-0.06590056563377422,0.062446844,1,-0.05931514628002221,-0.13494197980475164,-0.05484751623161277
6,6,2007-06-29,8862.702,8880.751,8266.803,8327.677,TA8888.XZCE,True,2007,6,26,-138,-138,2007-05,25.9,35.5,24.4,23.8,20.6,21.8,22.9,22.7,37.1,37.3,9.3,11.9,25.7,22.0,2.8,2.8,2007.0,5.0,0.017941137726643186,-0.05931514628002221,-0.0061430255402749046,0.06297400496026695,-0.0023320771690384934,0.015869293431230114,-0.0034979975,0,0.0,-0.13494197980475164,-0.036906378504969584
7,7,2007-07-31,8187.419,8701.939,8184.856,8477.085,TA8888.XZCE,True,2007,7,31,-137,-137,2007-06,26.7,34.7,24.7,26.7,25.5,22.8,25.2,23.7,21.6,33.6,10.0,13.6,27.6,22.9,2.49,2.8,2007.0,6.0,-0.05780288861088445,0.017941137726643186,-0.05931514628002221,-0.0061430255402749046,0.06297400496026695,-0.0023320771690384934,0.015075714,0,-0.0,-0.13494197980475164,-0.09470926711585403
8,8,2007-08-31,8478.187,8514.817,7752.512,7987.085,TA8888.XZCE,True,2007,8,35,-136,-136,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007.0,7.0,-0.010429962871310372,-0.05780288861088445,0.017941137726643186,-0.05931514628002221,-0.0061430255402749046,0.06297400496026695,0.06240282,1,-0.010429962871310372,-0.14537194267606202,-0.1051392299871644
9,9,2007-09-28,8026.835,8333.98,7851.809,7903.78,TA8888.XZCE,True,2007,9,39,-135,-135,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007.0,8.0,-0.05498483004334631,-0.010429962871310372,-0.05780288861088445,0.017941137726643186,-0.05931514628002221,-0.0061430255402749046,-0.0061565097,0,-0.0,-0.14537194267606202,-0.16012406003051072
10,10,2007-10-31,7745.19,7890.484,7363.511,7469.192,TA8888.XZCE,True,2007,10,44,-134,-134,2007-09,26.4,35.6,24.0,20.3,23.2,22.8,24.5,22.8,2.4,22.2,11.7,19.9,19.6,23.6,2.7,2.7,2007.0,9.0,-0.031042447429387332,-0.05498483004334631,-0.010429962871310372,-0.05780288861088445,0.017941137726643186,-0.05931514628002221,-0.01052511,0,-0.0,-0.14537194267606202,-0.19116650745989805
11,11,2007-11-30,7550.538,7775.518,7222.533,7237.33,TA8888.XZCE,True,2007,11,48,-133,-133,2007-10,26.9,36.5,23.8,21.0,23.4,23.0,21.6,22.7,4.6,20.1,11.7,10.6,24.3,23.7,3.2,2.8,2007.0,10.0,0.009678707479139348,-0.031042447429387332,-0.05498483004334631,-0.010429962871310372,-0.05780288861088445,0.017941137726643186,-0.054721463,-1,-0.009678707479139348,-0.15505065015520136,-0.1814877999807587
12,12,2007-12-28,7226.08,7448.676,6896.485,7307.378,TA8888.XZCE,True,2007,12,52,-132,-132,2007-11,26.8,37.2,23.6,19.1,24.4,23.3,17.9,21.3,9.3,19.6,11.4,6.5,21.7,23.5,4.55,2.9,2007.0,11.0,0.017519416677226785,0.009678707479139348,-0.031042447429387332,-0.05498483004334631,-0.010429962871310372,-0.05780288861088445,-0.03780028,-1,-0.017519416677226785,-0.17257006683242815,-0.16396838330353192
13,13,2008-01-31,7323.137,7625.171,7263.527,7435.399,TA8888.XZCE,True,2008,1,5,-131,-131,2007-12,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,18.2,19.8,11.7,7.4,23.8,22.9,5.43,3.1,2007.0,12.0,0.08467723117481651,0.017519416677226785,0.009678707479139348,-0.031042447429387332,-0.05498483004334631,-0.010429962871310372,-0.002349361,0,0.0,-0.17257006683242815,-0.0792911521287154
14,14,2008-02-29,7397.27,8127.836,7390.642,8065.008,TA8888.XZCE,True,2008,2,9,-130,-130,2008-01,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,-33.9,-33.9,26.75,26.75,9.78,9.78,6.1,6.1,2008.0,1.0,0.018933273221799718,0.08467723117481651,0.017519416677226785,0.009678707479139348,-0.031042447429387332,-0.05498483004334631,0.08408493,1,0.018933273221799718,-0.15363679361062843,-0.060357878906915685
15,15,2008-03-31,8058.88,8346.519,7952.812,8217.705,TA8888.XZCE,True,2008,3,14,-129,-129,2008-02,24.3,35.8,19.9,20.6,22.9,21.9,20.2,20.3,-1.1,-18.9,22.5,18.4,16.0,12.5,6.62,6.4,2008.0,2.0,-0.027999666573575,0.018933273221799718,0.08467723117481651,0.017519416677226785,0.009678707479139348,-0.031042447429387332,0.018831117,0,-0.0,-0.15363679361062843,-0.08835754548049068
16,16,2008-04-30,8185.824,8203.978,7644.717,7987.612,TA8888.XZCE,True,2008,4,18,-128,-128,2008-03,25.9,31.9,19.6,18.5,21.8,22.5,25.8,22.5,1.5,-9.8,18.8,11.9,21.3,15.8,7.95,6.9,2008.0,3.0,0.10754666100456567,-0.027999666573575,0.018933273221799718,0.08467723117481651,0.017519416677226785,0.009678707479139348,0.017764773,0,0.0,-0.15363679361062843,0.019189115524074984
17,17,2008-05-30,7975.255,8948.19,7900.028,8846.653,TA8888.XZCE,True,2008,5,22,-127,-127,2008-04,25.7,31.2,18.7,15.7,21.4,22.0,20.6,22.4,-16.6,-11.7,12.9,7.7,22.2,17.4,8.12,7.2,2008.0,4.0,0.06297036856763794,0.10754666100456567,-0.027999666573575,0.018933273221799718,0.08467723117481651,0.017519416677226785,0.08460215,1,0.06297036856763794,-0.0906664250429905,0.08215948409171292
18,18,2008-06-30,8881.585,9889.334,8876.013,9403.73,TA8888.XZCE,True,2008,6,27,-126,-126,2008-05,25.6,30.5,18.6,17.7,21.7,22.1,21.8,22.2,1.5,-0.2,16.2,12.5,21.7,18.1,8.22,7.4,2008.0,5.0,-0.03208886261090005,0.06297036856763794,0.10754666100456567,-0.027999666573575,0.018933273221799718,0.08467723117481651,0.018222095,0,-0.0,-0.0906664250429905,0.05007062148081287
19,19,2008-07-31,9402.464,9658.889,8927.16,9101.975,TA8888.XZCE,True,2008,7,31,-125,-125,2008-06,26.8,31.4,19.3,17.2,20.6,21.8,21.3,22.4,18.2,3.5,8.6,1.4,14.8,17.6,8.84,7.6,2008.0,6.0,-0.0403846417947753,-0.03208886261090005,0.06297036856763794,0.10754666100456567,-0.027999666573575,0.018933273221799718,0.056469813,1,-0.0403846417947753,-0.1310510668377658,0.009685979686037571
20,20,2008-08-29,9044.247,9281.863,8527.085,8734.395,TA8888.XZCE,True,2008,8,35,-124,-124,2008-07,27.3,32.2,18.4,14.6,18.4,21.3,20.4,22.2,15.6,6.1,6.8,-2.9,13.2,17.2,10.03,8.0,2008.0,7.0,-0.17432735753306328,-0.0403846417947753,-0.03208886261090005,0.06297036856763794,0.10754666100456567,-0.027999666573575,0.05613643,1,-0.17432735753306328,-0.30537842437082907,-0.1646413778470257
21,21,2008-09-26,8748.66,8767.662,6987.738,7211.751,TA8888.XZCE,True,2008,9,39,-123,-123,2008-08,27.4,33.0,17.9,15.7,15.0,20.6,21.4,21.8,14.4,6.4,5.6,-3.5,-3.3,14.9,10.06,8.2,2008.0,8.0,-0.34779944565473775,-0.17432735753306328,-0.0403846417947753,-0.03208886261090005,0.06297036856763794,0.10754666100456567,-0.17033644,-1,0.34779944565473775,0.04242102128390868,-0.5124408235017635
22,22,2008-10-31,6934.089,7242.25,4703.507,4703.508,TA8888.XZCE,True,2008,10,44,-122,-122,2008-09,27.6,33.4,17.7,16.8,16.2,20.0,22.3,21.7,10.9,7.1,2.9,-14.5,3.2,13.6,9.13,8.3,2008.0,9.0,0.028455357150450222,-0.34779944565473775,-0.17432735753306328,-0.0403846417947753,-0.03208886261090005,0.06297036856763794,-0.34272254,-1,-0.028455357150450222,0.013965664133458455,-0.48398546635131323
