,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2013-09-30,525.505,557.991,524.143,557.254,TC8888.XZCE,True,2013,9,40,-63,-63,2013-08,20.3,17.9,12.4,11.6,8.0,9.0,7.6,7.4,7.58,7.09,-5.45,0.13,14.58,15.11,-1.62,-2.16,2013,8,0.0034490555473805085,,,,,,0.5,1,0.0034490555473805085,0.0034490555473805085,0.0034490555473805085
1,1,2013-10-31,556.833,570.11,540.731,559.176,TC8888.XZCE,True,2013,10,44,-62,-62,2013-09,20.2,18.48,12.4,12.3,9.9,9.1,10.8,7.8,0.86,6.41,-9.36,-20.0,17.45,15.32,-1.34,-2.07,2013,9,0.06475063307438078,0.0034490555473805085,,,,,0.0063889,0,0.0,0.0034490555473805085,0.06819968862176129
2,2,2013-11-29,557.532,597.422,552.861,595.383,TC8888.XZCE,True,2013,11,48,-61,-61,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013,10,-0.053832574997942584,0.06475063307438078,0.0034490555473805085,,,,0.064884074,1,-0.053832574997942584,-0.050383519450562075,0.014367113623818706
3,3,2013-12-31,596.357,600.606,559.732,563.332,TC8888.XZCE,True,2013,12,1,-60,-60,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013,11,-0.04110542273472828,-0.053832574997942584,0.06475063307438078,0.0034490555473805085,,,0.06427353,1,-0.04110542273472828,-0.09148894218529036,-0.026738309110909575
4,4,2014-01-30,563.437,565.079,535.099,540.176,TC8888.XZCE,True,2014,1,5,-59,-59,2013-12,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.36,-1.91,2013,12,-0.004039424187672225,-0.04110542273472828,-0.053832574997942584,0.06475063307438078,0.0034490555473805085,,0.019310508,0,-0.0,-0.09148894218529036,-0.0307777332985818
5,5,2014-02-28,540.106,542.46,522.684,537.994,TC8888.XZCE,True,2014,2,9,-58,-58,2014-01,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.64,-1.64,2014,1,-0.02251326222969041,-0.004039424187672225,-0.04110542273472828,-0.053832574997942584,0.06475063307438078,0.0034490555473805085,0.00040820177,0,-0.0,-0.09148894218529036,-0.05329099552827221
6,6,2014-03-31,524.774,530.399,490.94,525.882,TC8888.XZCE,True,2014,3,14,-57,-57,2014-02,17.9,15.12,12.5,12.9,8.2,11.0,8.9,12.1,-12.87,-3.89,1.33,8.33,22.91,12.53,-2.0,-1.8,2014,2,0.014516564552504274,-0.02251326222969041,-0.004039424187672225,-0.04110542273472828,-0.053832574997942584,0.06475063307438078,-0.040716574,-1,-0.014516564552504274,-0.10600550673779463,-0.03877443097576794
7,7,2014-04-30,526.314,543.082,525.313,533.516,TC8888.XZCE,True,2014,4,18,-56,-56,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014,3,-0.036615584162424275,0.014516564552504274,-0.02251326222969041,-0.004039424187672225,-0.04110542273472828,-0.053832574997942584,0.013890837,0,-0.0,-0.10600550673779463,-0.07539001513819221
8,8,2014-05-30,533.47,535.141,511.52,513.981,TC8888.XZCE,True,2014,5,22,-55,-55,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014,4,-0.018516248655105927,-0.036615584162424275,0.014516564552504274,-0.02251326222969041,-0.004039424187672225,-0.04110542273472828,-0.03633203,-1,0.018516248655105927,-0.0874892580826887,-0.09390626379329814
9,9,2014-06-30,514.552,518.495,494.222,504.464,TC8888.XZCE,True,2014,6,27,-54,-54,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014,5,-0.011604395952932167,-0.018516248655105927,-0.036615584162424275,0.014516564552504274,-0.02251326222969041,-0.004039424187672225,-0.018241744,0,-0.0,-0.0874892580826887,-0.1055106597462303
10,10,2014-07-31,505.317,505.748,482.126,498.61,TC8888.XZCE,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014,6,0.016375523956599247,-0.011604395952932167,-0.018516248655105927,-0.036615584162424275,0.014516564552504274,-0.02251326222969041,-0.011647589,0,0.0,-0.0874892580826887,-0.08913513578963106
11,11,2014-08-29,499.755,518.255,497.355,506.775,TC8888.XZCE,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014,7,0.035650929899856854,0.016375523956599247,-0.011604395952932167,-0.018516248655105927,-0.036615584162424275,0.014516564552504274,-0.027862782,-1,-0.035650929899856854,-0.12314018798254556,-0.053484205889774206
12,12,2014-09-30,508.364,528.094,504.551,524.842,TC8888.XZCE,True,2014,9,40,-51,-51,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014,8,-0.018870441008913108,0.035650929899856854,0.016375523956599247,-0.011604395952932167,-0.018516248655105927,-0.036615584162424275,0.028258545,1,-0.018870441008913108,-0.14201062899145867,-0.07235464689868731
13,13,2014-10-31,523.13,532.853,511.208,514.938,TC8888.XZCE,True,2014,10,44,-50,-50,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014,9,-0.034582804143411416,-0.018870441008913108,0.035650929899856854,0.016375523956599247,-0.011604395952932167,-0.018516248655105927,0.009996065,0,-0.0,-0.14201062899145867,-0.10693745104209873
14,14,2014-11-28,515.659,516.788,488.489,497.13,TC8888.XZCE,True,2014,11,48,-49,-49,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014,10,-0.009967211795707365,-0.034582804143411416,-0.018870441008913108,0.035650929899856854,0.016375523956599247,-0.011604395952932167,-0.02552433,-1,0.009967211795707365,-0.1320434171957513,-0.1169046628378061
15,15,2014-12-31,497.497,504.174,474.76,492.175,TC8888.XZCE,True,2014,12,1,-48,-48,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014,11,-0.04966932493523646,-0.009967211795707365,-0.034582804143411416,-0.018870441008913108,0.035650929899856854,0.016375523956599247,0.016411576,0,-0.0,-0.1320434171957513,-0.16657398777304255
16,16,2015-01-30,488.882,498.69,465.832,467.729,TC8888.XZCE,True,2015,1,5,-47,-47,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014,12,-0.025403599092637008,-0.04966932493523646,-0.009967211795707365,-0.034582804143411416,-0.018870441008913108,0.035650929899856854,-0.021989906,-1,0.025403599092637008,-0.10663981810311429,-0.19197758686567956
17,17,2015-02-27,469.037,469.688,453.851,455.847,TC8888.XZCE,True,2015,2,9,-46,-46,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015,1,-0.06797675535870584,-0.025403599092637008,-0.04966932493523646,-0.009967211795707365,-0.034582804143411416,-0.018870441008913108,-0.042661276,-1,0.06797675535870584,-0.03866306274440845,-0.2599543422243854
18,18,2015-03-31,455.746,469.724,420.538,424.86,TC8888.XZCE,True,2015,3,14,-45,-45,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015,2,-0.03202466694911266,-0.06797675535870584,-0.025403599092637008,-0.04966932493523646,-0.009967211795707365,-0.034582804143411416,-0.025401356,-1,0.03202466694911266,-0.006638395795295793,-0.29197900917349806
19,19,2015-04-30,424.806,427.187,398.249,411.254,TC8888.XZCE,True,2015,4,18,-44,-44,2015-03,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,-9.52,-16.11,-1.6,-7.0,3.5,4.7,-4.56,-4.56,2015,3,0.04090902459307366,-0.03202466694911266,-0.06797675535870584,-0.025403599092637008,-0.04966932493523646,-0.009967211795707365,-0.04838803,-1,-0.04090902459307366,-0.047547420388369455,-0.2510699845804244
20,20,2015-05-29,412.283,435.605,408.095,428.078,TC8888.XZCE,True,2015,5,22,-43,-43,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015,4,-0.03647466115988207,0.04090902459307366,-0.03202466694911266,-0.06797675535870584,-0.025403599092637008,-0.04966932493523646,-0.047877356,-1,0.03647466115988207,-0.011072759228487383,-0.28754464574030647
21,21,2015-06-30,430.539,431.314,404.688,412.464,TC8888.XZCE,True,2015,6,27,-42,-42,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015,5,-0.06933211140851081,-0.03647466115988207,0.04090902459307366,-0.03202466694911266,-0.06797675535870584,-0.025403599092637008,-0.030458605,-1,0.06933211140851081,0.05825935218002343,-0.3568767571488173
