,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2013-09-30,94.281,94.617,93.505,94.464,TF8888.CCFX,True,2013,9,40,-63,-63,2013-08,20.3,17.9,12.4,11.6,8.0,9.0,7.6,7.4,7.58,7.09,-5.45,0.13,14.58,15.11,-1.62,-2.16,2013.0,8.0,-0.007399644308943021,,,,,,0.5,1,-0.007399644308943021,-0.007399644308943021,-0.007399644308943021
1,1,2013-10-31,94.523,94.547,93.48,93.765,TF8888.CCFX,True,2013,10,44,-62,-62,2013-09,20.2,18.48,12.4,12.3,9.9,9.1,10.8,7.8,0.86,6.41,-9.36,-20.0,17.45,15.32,-1.34,-2.07,2013.0,9.0,-0.015656161680797753,-0.007399644308943021,,,,,-0.004395569,0,-0.0,-0.007399644308943021,-0.023055805989740774
2,2,2013-11-29,93.803,93.944,90.96,92.297,TF8888.CCFX,True,2013,11,48,-61,-61,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013.0,10.0,-0.004788888046198592,-0.015656161680797753,-0.007399644308943021,,,,-0.0076701804,0,-0.0,-0.007399644308943021,-0.027844694035939366
3,3,2013-12-31,92.295,92.538,91.142,91.855,TF8888.CCFX,True,2013,12,1,-60,-60,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013.0,11.0,0.004931685809155706,-0.004788888046198592,-0.015656161680797753,-0.007399644308943021,,,-0.013971048,0,0.0,-0.007399644308943021,-0.02291300822678366
4,4,2014-01-30,91.837,92.608,91.186,92.308,TF8888.CCFX,True,2014,1,5,-59,-59,2013-12,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.36,-1.91,2013.0,12.0,0.009262469125102868,0.004931685809155706,-0.004788888046198592,-0.015656161680797753,-0.007399644308943021,,-0.0024664178,0,0.0,-0.007399644308943021,-0.013650539101680792
5,5,2014-02-28,92.315,93.511,92.022,93.163,TF8888.CCFX,True,2014,2,9,-58,-58,2014-01,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.64,-1.64,2014.0,1.0,-0.0063544540214462986,0.009262469125102868,0.004931685809155706,-0.004788888046198592,-0.015656161680797753,-0.007399644308943021,0.0059987083,0,-0.0,-0.007399644308943021,-0.02000499312312709
6,6,2014-03-31,93.12,93.305,92.365,92.571,TF8888.CCFX,True,2014,3,14,-57,-57,2014-02,17.9,15.12,12.5,12.9,8.2,11.0,8.9,12.1,-12.87,-3.89,1.33,8.33,22.91,12.53,-2.0,-1.8,2014.0,2.0,0.003197545667649848,-0.0063544540214462986,0.009262469125102868,0.004931685809155706,-0.004788888046198592,-0.015656161680797753,-0.006118374,0,0.0,-0.007399644308943021,-0.016807447455477242
7,7,2014-04-30,92.57,93.034,91.951,92.867,TF8888.CCFX,True,2014,4,18,-56,-56,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,0.018725704502137397,0.003197545667649848,-0.0063544540214462986,0.009262469125102868,0.004931685809155706,-0.004788888046198592,0.0008034711,0,0.0,-0.007399644308943021,0.0019182570466601545
8,8,2014-05-30,92.846,94.657,92.8,94.606,TF8888.CCFX,True,2014,5,22,-55,-55,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,-0.0017123649662811324,0.018725704502137397,0.003197545667649848,-0.0063544540214462986,0.009262469125102868,0.004931685809155706,-0.0030519357,0,-0.0,-0.007399644308943021,0.00020589208037902207
9,9,2014-06-30,94.782,95.777,94.214,94.444,TF8888.CCFX,True,2014,6,27,-54,-54,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,-0.012981237558765013,-0.0017123649662811324,0.018725704502137397,0.003197545667649848,-0.0063544540214462986,0.009262469125102868,0.0033227236,0,-0.0,-0.007399644308943021,-0.012775345478385991
10,10,2014-07-31,94.467,94.497,92.735,93.218,TF8888.CCFX,True,2014,7,31,-53,-53,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,0.00498830697933883,-0.012981237558765013,-0.0017123649662811324,0.018725704502137397,0.003197545667649848,-0.0063544540214462986,0.017966928,0,0.0,-0.007399644308943021,-0.007787038499047161
11,11,2014-08-29,93.19,93.922,92.879,93.683,TF8888.CCFX,True,2014,8,35,-52,-52,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,0.011485541667111354,0.00498830697933883,-0.012981237558765013,-0.0017123649662811324,0.018725704502137397,0.003197545667649848,0.013197305,0,0.0,-0.007399644308943021,0.0036985031680641933
12,12,2014-09-30,93.685,94.904,93.279,94.759,TF8888.CCFX,True,2014,9,40,-51,-51,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,0.009972667503878263,0.011485541667111354,0.00498830697933883,-0.012981237558765013,-0.0017123649662811324,0.018725704502137397,-0.0013811161,0,0.0,-0.007399644308943021,0.013671170671942456
13,13,2014-10-31,94.653,96.182,94.311,95.704,TF8888.CCFX,True,2014,10,44,-50,-50,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,0.019831981944328447,0.009972667503878263,0.011485541667111354,0.00498830697933883,-0.012981237558765013,-0.0017123649662811324,0.010059207,0,0.0,-0.007399644308943021,0.033503152616270904
14,14,2014-11-28,95.943,98.006,95.91,97.602,TF8888.CCFX,True,2014,11,48,-49,-49,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,-0.007786725681850792,0.019831981944328447,0.009972667503878263,0.011485541667111354,0.00498830697933883,-0.012981237558765013,0.011011703,0,-0.0,-0.007399644308943021,0.02571642693442011
15,15,2014-12-31,97.499,97.93,94.531,96.842,TF8888.CCFX,True,2014,12,1,-48,-48,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,0.006877181388240672,-0.007786725681850792,0.019831981944328447,0.009972667503878263,0.011485541667111354,0.00498830697933883,0.01293974,0,0.0,-0.007399644308943021,0.03259360832266078
16,16,2015-01-30,96.847,98.099,96.402,97.508,TF8888.CCFX,True,2015,1,5,-47,-47,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,0.01672683267013997,0.006877181388240672,-0.007786725681850792,0.019831981944328447,0.009972667503878263,0.011485541667111354,0.007182477,0,0.0,-0.007399644308943021,0.04932044099280075
17,17,2015-02-27,97.551,99.509,97.478,99.139,TF8888.CCFX,True,2015,2,9,-46,-46,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015.0,1.0,-0.022191065070254923,0.01672683267013997,0.006877181388240672,-0.007786725681850792,0.019831981944328447,0.009972667503878263,0.003543588,0,-0.0,-0.007399644308943021,0.02712937592254583
18,18,2015-03-31,99.287,99.293,96.717,96.939,TF8888.CCFX,True,2015,3,14,-45,-45,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,0.016928171324234853,-0.022191065070254923,0.01672683267013997,0.006877181388240672,-0.007786725681850792,0.019831981944328447,0.016954705,0,0.0,-0.007399644308943021,0.04405754724678068
