,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2023-04-28,96.084,96.584,96.067,96.424,TL8888.CCFX,True,2023,4,17,52,52,2023-03,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023.0,3.0,0.006025470837135893,,,,,,0.5,1,0.006025470837135893,0.006025470837135893,0.006025470837135893
1,1,2023-05-31,96.663,97.469,96.638,97.005,TL8888.CCFX,True,2023,5,22,53,53,2023-04,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023.0,4.0,0.010587083140044307,0.006025470837135893,,,,,0.008950062,0,0.0,0.006025470837135893,0.0166125539771802
2,2,2023-06-30,97.073,98.486,96.587,98.032,TL8888.CCFX,True,2023,6,26,54,54,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0,0.007772972090745789,0.010587083140044307,0.006025470837135893,,,,0.010177064,0,0.0,0.006025470837135893,0.02438552606792599
3,3,2023-07-31,97.936,99.512,97.296,98.794,TL8888.CCFX,True,2023,7,31,55,55,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0,0.020993177723343415,0.007772972090745789,0.010587083140044307,0.006025470837135893,,,0.009887024,0,0.0,0.006025470837135893,0.045378703791269404
4,4,2023-08-31,98.857,101.523,98.816,100.868,TL8888.CCFX,True,2023,8,35,56,56,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,-0.02080937462822685,0.020993177723343415,0.007772972090745789,0.010587083140044307,0.006025470837135893,,0.0078984,0,-0.0,0.006025470837135893,0.024569329163042553
5,5,2023-09-28,100.675,100.773,97.955,98.769,TL8888.CCFX,True,2023,9,39,57,57,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.003422126375684731,-0.02080937462822685,0.020993177723343415,0.007772972090745789,0.010587083140044307,0.006025470837135893,0.020376341,1,-0.003422126375684731,0.0026033444614511625,0.02114720278735782
6,6,2023-10-31,98.758,98.945,97.666,98.431,TL8888.CCFX,True,2023,10,44,58,58,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,0.009753024961648427,-0.003422126375684731,-0.02080937462822685,0.020993177723343415,0.007772972090745789,0.010587083140044307,-0.0005173893,0,0.0,0.0026033444614511625,0.030900227749006248
7,7,2023-11-30,98.473,99.728,98.389,99.391,TL8888.CCFX,True,2023,11,48,59,59,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.022738477326920803,0.009753024961648427,-0.003422126375684731,-0.02080937462822685,0.020993177723343415,0.007772972090745789,0.020359835,1,0.022738477326920803,0.025341821788371965,0.05363870507592705
8,8,2023-12-29,99.365,102.349,99.204,101.651,TL8888.CCFX,True,2023,12,52,60,60,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.037018819293464844,0.022738477326920803,0.009753024961648427,-0.003422126375684731,-0.02080937462822685,0.020993177723343415,0.004683186,0,0.0,0.025341821788371965,0.0906575243693919
9,9,2024-01-31,101.788,105.436,101.217,105.414,TL8888.CCFX,True,2024,1,5,61,61,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.018451059631547917,0.037018819293464844,0.022738477326920803,0.009753024961648427,-0.003422126375684731,-0.02080937462822685,0.010517563,0,0.0,0.025341821788371965,0.10910858400093981
