,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2018-08-31,99.399,99.433,99.075,99.373,TS8888.CCFX,True,2018,8,35,-4,-4,2018-07,5.5,7.3,3.6,2.5,6.9,7.8,11.2,11.1,-8.6,-2.7,7.1,2.4,-0.5,3.2,4.6,4.0,2018.0,7.0,0.00015094643414204079,,,,,,0.5,1,0.00015094643414204079,0.00015094643414204079,0.00015094643414204079
1,1,2018-09-28,99.349,99.448,99.205,99.388,TS8888.CCFX,True,2018,9,39,-3,-3,2018-08,5.3,7.5,3.7,4.4,5.9,7.6,9.8,10.9,-10.3,-6.7,5.0,-2.3,-4.4,2.2,4.1,4.0,2018.0,8.0,0.0024449631746286116,0.00015094643414204079,,,,,0.0031103177,0,0.0,0.00015094643414204079,0.0025959096087706524
2,2,2018-10-31,99.379,99.646,99.32,99.631,TS8888.CCFX,True,2018,10,44,-2,-2,2018-09,5.4,8.7,3.7,3.7,6.1,7.4,9.7,10.8,-16.2,-8.2,4.6,0.0,-10.6,0.6,3.6,4.0,2018.0,9.0,0.003462777649526849,0.0024449631746286116,0.00015094643414204079,,,,0.0019308539,0,0.0,0.00015094643414204079,0.0060586872582975015
3,3,2018-11-30,99.628,100.121,99.554,99.976,TS8888.CCFX,True,2018,11,48,-1,-1,2018-10,5.7,9.1,3.7,3.1,6.8,7.4,8.1,10.5,-13.1,-8.7,0.7,-9.8,-9.2,-0.4,3.3,3.9,2018.0,10.0,0.002720652956709646,0.003462777649526849,0.0024449631746286116,0.00015094643414204079,,,0.0028482354,0,0.0,0.00015094643414204079,0.008779340215007148
4,4,2018-12-28,99.807,100.405,99.807,100.248,TS8888.CCFX,True,2018,12,52,0,0,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,0.0013666108052030612,0.002720652956709646,0.003462777649526849,0.0024449631746286116,0.00015094643414204079,,0.0026352932,0,0.0,0.00015094643414204079,0.010145951020210209
5,5,2019-01-31,100.248,100.688,100.245,100.385,TS8888.CCFX,True,2019,1,5,1,1,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,0.002470488618817379,0.0013666108052030612,0.002720652956709646,0.003462777649526849,0.0024449631746286116,0.00015094643414204079,0.0016613372,0,0.0,0.00015094643414204079,0.012616439639027588
6,6,2019-02-28,100.399,100.66,100.234,100.633,TS8888.CCFX,True,2019,2,9,2,2,2019-01,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.1,0.1,2019.0,1.0,-0.0032394940029611963,0.002470488618817379,0.0013666108052030612,0.002720652956709646,0.003462777649526849,0.0024449631746286116,0.002575882,0,-0.0,0.00015094643414204079,0.009376945636066392
7,7,2019-03-29,100.604,100.629,99.915,100.307,TS8888.CCFX,True,2019,3,13,3,3,2019-02,6.1,5.9,8.5,4.0,6.5,4.4,11.7,10.0,0.3,0.9,0.0,-17.4,-14.9,-15.1,0.1,0.1,2019.0,2.0,-0.0034494103103472895,-0.0032394940029611963,0.002470488618817379,0.0013666108052030612,0.002720652956709646,0.003462777649526849,0.002216959,0,-0.0,0.00015094643414204079,0.005927535325719102
8,8,2019-04-30,100.275,100.321,99.75,99.961,TS8888.CCFX,True,2019,4,18,4,4,2019-03,6.3,4.6,11.0,14.6,14.1,8.4,16.4,12.6,10.8,3.7,-6.9,-5.7,-2.6,-10.4,0.4,0.2,2019.0,3.0,-0.0011604525765048779,-0.0034494103103472895,-0.0032394940029611963,0.002470488618817379,0.0013666108052030612,0.002720652956709646,0.0016935738,0,-0.0,0.00015094643414204079,0.004767082749214224
9,9,2019-05-31,99.941,100.131,99.725,99.845,TS8888.CCFX,True,2019,5,22,5,5,2019-04,6.1,2.5,8.9,3.3,2.0,6.7,2.8,10.1,-1.9,-40.8,-7.1,-25.0,-15.8,-11.8,0.9,0.3,2019.0,4.0,0.0020732134808953973,-0.0011604525765048779,-0.0034494103103472895,-0.0032394940029611963,0.002470488618817379,0.0013666108052030612,-0.0012329891,0,0.0,0.00015094643414204079,0.0068402962301096215
