,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2019-08-30,1751.448,1821.544,1687.769,1795.761,UR8888.XZCE,True,2019,8,35,8,8,2019-07,5.7,3.3,7.3,4.2,0.7,4.5,4.0,7.7,-11.4,-18.9,-11.7,-17.4,-11.5,-12.8,-0.3,0.2,2019.0,7.0,-0.01587961872431798,,,,,,0.5,1,-0.01587961872431798,-0.01587961872431798,-0.01587961872431798
1,1,2019-09-30,1799.818,1847.284,1756.275,1767.245,UR8888.XZCE,True,2019,9,40,9,9,2019-08,5.5,2.6,6.4,0.9,0.0,3.9,3.3,7.1,-15.0,-20.5,-16.7,-21.3,-0.6,-12.5,-0.8,0.1,2019.0,8.0,-0.03707182648698959,-0.01587961872431798,,,,,-0.012825338,0,-0.0,-0.01587961872431798,-0.05295144521130757
2,2,2019-10-31,1761.029,1789.712,1687.989,1701.73,UR8888.XZCE,True,2019,10,44,10,10,2019-09,5.4,2.5,6.0,2.6,3.5,3.9,7.0,7.1,-16.5,-1.8,-16.2,-17.8,-6.9,-12.0,-1.2,0.0,2019.0,9.0,-0.0028429891933502427,-0.03707182648698959,-0.01587961872431798,,,,-0.015910575,0,-0.0,-0.01587961872431798,-0.05579443440465781
3,3,2019-11-29,1701.587,1721.643,1614.477,1696.892,UR8888.XZCE,True,2019,11,48,11,11,2019-10,5.2,2.6,5.7,3.1,3.1,3.9,5.0,6.9,-2.8,-2.8,-16.9,-13.5,-2.1,-11.1,-1.6,-0.2,2019.0,10.0,0.013229480721224318,-0.0028429891933502427,-0.03707182648698959,-0.01587961872431798,,,-0.035004657,-1,-0.013229480721224318,-0.029109099445542297,-0.04256495368343349
4,4,2019-12-31,1692.659,1755.503,1679.34,1719.341,UR8888.XZCE,True,2019,12,1,12,12,2019-11,5.2,2.5,5.7,6.0,6.2,4.1,7.0,7.0,2.4,-2.5,-17.7,-13.2,3.7,-9.6,-1.4,-0.3,2019.0,11.0,-0.006800861492862631,0.013229480721224318,-0.0028429891933502427,-0.03707182648698959,-0.01587961872431798,,0.012613148,0,-0.0,-0.029109099445542297,-0.049365815176296124
5,5,2020-01-23,1719.524,1771.528,1702.946,1707.648,UR8888.XZCE,True,2020,1,4,13,13,2019-12,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2019.0,12.0,0.020566884978637345,-0.006800861492862631,0.013229480721224318,-0.0028429891933502427,-0.03707182648698959,-0.01587961872431798,-0.014762578,0,0.0,-0.029109099445542297,-0.02879893019765878
6,6,2020-02-28,1619.076,1810.563,1610.365,1742.769,UR8888.XZCE,True,2020,2,9,14,14,2020-01,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,0.1,0.1,2020.0,1.0,-0.09205350795200062,0.020566884978637345,-0.006800861492862631,0.013229480721224318,-0.0028429891933502427,-0.03707182648698959,0.010947844,0,-0.0,-0.029109099445542297,-0.1208524381496594
7,7,2020-03-31,1753.568,1816.361,1575.534,1582.341,UR8888.XZCE,True,2020,3,14,15,15,2020-02,-24.5,-31.5,-26.9,6.3,4.9,-28.2,6.5,-24.4,-1.1,-31.5,-44.6,-14.3,8.1,-45.8,-0.4,-0.2,2020.0,2.0,-0.03502847995469993,-0.09205350795200062,0.020566884978637345,-0.006800861492862631,0.013229480721224318,-0.0028429891933502427,0.019905021,0,-0.0,-0.029109099445542297,-0.15588091810435933
8,8,2020-04-30,1588.295,1664.82,1514.682,1526.914,UR8888.XZCE,True,2020,4,18,16,16,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020.0,3.0,0.0037055132116150524,-0.03502847995469993,-0.09205350795200062,0.020566884978637345,-0.006800861492862631,0.013229480721224318,-0.027146922,-1,-0.0037055132116150524,-0.03281461265715735,-0.15217540489274428
9,9,2020-05-29,1526.502,1558.818,1505.868,1532.572,UR8888.XZCE,True,2020,5,22,17,17,2020-04,-10.3,-18.8,-7.3,8.9,7.5,-9.0,14.3,-4.2,-5.8,-16.4,-19.9,11.4,5.1,-32.3,-3.1,-1.2,2020.0,4.0,-0.017218766883382863,0.0037055132116150524,-0.03502847995469993,-0.09205350795200062,0.020566884978637345,-0.006800861492862631,-0.03451093,-1,0.017218766883382863,-0.015595845773774486,-0.16939417177612714
10,10,2020-06-30,1539.265,1573.367,1493.625,1506.183,UR8888.XZCE,True,2020,6,27,18,18,2020-05,-6.3,-14.8,-4.7,3.6,7.3,-4.9,16.4,1.0,-9.8,-18.9,-14.8,17.1,19.0,-23.6,-3.7,-1.7,2020.0,5.0,0.09486762232743295,-0.017218766883382863,0.0037055132116150524,-0.03502847995469993,-0.09205350795200062,0.020566884978637345,0.018070683,0,0.0,-0.015595845773774486,-0.07452654944869419
11,11,2020-07-31,1506.063,1651.846,1501.886,1649.071,UR8888.XZCE,True,2020,7,31,19,19,2020-06,-3.1,-11.7,-3.1,2.6,7.4,-2.3,9.6,2.9,-18.2,-25.6,-7.7,15.4,20.4,-16.5,-3.0,-1.9,2020.0,6.0,-0.008980814046211427,0.09486762232743295,-0.017218766883382863,0.0037055132116150524,-0.03502847995469993,-0.09205350795200062,-0.054409087,-1,0.008980814046211427,-0.006615031727563059,-0.08350736349490562
12,12,2020-08-31,1686.564,1777.537,1617.039,1634.261,UR8888.XZCE,True,2020,8,36,20,20,2020-07,-1.6,-10.2,-1.2,7.8,9.6,-0.3,10.2,4.1,-17.3,-24.8,-9.1,14.7,26.8,-9.7,-2.4,-2.0,2020.0,7.0,0.0017182078015689495,-0.008980814046211427,0.09486762232743295,-0.017218766883382863,0.0037055132116150524,-0.03502847995469993,-0.015012562,0,0.0,-0.006615031727563059,-0.08178915569333667
13,13,2020-09-30,1633.128,1682.855,1590.853,1637.069,UR8888.XZCE,True,2020,9,40,21,21,2020-08,-0.3,-8.1,0.2,9.9,10.9,1.2,8.0,4.6,-17.4,-23.3,-6.7,11.8,7.6,-9.0,-2.0,-2.0,2020.0,8.0,0.07618860292388407,0.0017182078015689495,-0.008980814046211427,0.09486762232743295,-0.017218766883382863,0.0037055132116150524,-0.008702108,0,0.0,-0.006615031727563059,-0.005600552769452594
14,14,2020-10-30,1648.028,1764.947,1635.744,1761.795,UR8888.XZCE,True,2020,10,44,22,22,2020-09,0.8,-6.5,1.8,12.6,12.5,2.6,8.0,5.1,-9.0,-20.0,-2.7,20.6,13.8,-6.1,-2.1,-2.0,2020.0,9.0,0.00833581659614202,0.07618860292388407,0.0017182078015689495,-0.008980814046211427,0.09486762232743295,-0.017218766883382863,-0.008656535,0,0.0,-0.006615031727563059,0.002735263826689427
