,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2009-05-27,6587.184,6619.265,6437.827,6508.095,V8888.XDCE,True,2009,5,22,-115,-115,2009-04,30.5,29.0,5.8,7.5,7.1,6.4,13.6,11.8,48.5,30.3,-20.5,-21.0,17.9,7.6,-6.6,-5.1,2009.0,4.0,0.06107486138416851,,,,,,0.5,1,0.06107486138416851,0.06107486138416851,0.06107486138416851
1,1,2009-06-30,6562.841,7132.971,6526.382,6905.576,V8888.XDCE,True,2009,6,27,-114,-114,2009-05,32.9,29.9,6.2,7.0,9.3,7.2,14.8,12.4,2.6,23.9,-21.1,-22.7,29.0,12.0,-7.2,-5.5,2009.0,5.0,0.1029198722887128,0.06107486138416851,,,,,0.063673526,1,0.1029198722887128,0.1639947336728813,0.1639947336728813
2,2,2009-07-31,6875.96,7697.303,6798.332,7616.297,V8888.XDCE,True,2009,7,31,-113,-113,2009-06,33.6,29.3,6.9,10.4,8.3,7.3,14.0,12.4,2.3,19.4,-19.1,-8.5,38.8,16.4,-7.8,-5.9,2009.0,6.0,-0.06655347080083662,0.1029198722887128,0.06107486138416851,,,,0.10287231,1,-0.06655347080083662,0.09744126287204469,0.09744126287204469
3,3,2009-08-31,7735.213,8002.505,6999.461,7109.406,V8888.XDCE,True,2009,8,36,-112,-112,2009-07,32.9,28.1,6.6,9.1,11.3,7.7,12.1,12.1,3.0,16.4,-18.6,-10.6,51.6,20.7,-8.2,-6.2,2009.0,7.0,-0.0865854334384617,-0.06655347080083662,0.1029198722887128,0.06107486138416851,,,0.102407716,1,-0.0865854334384617,0.010855829433582986,0.010855829433582986
4,4,2009-09-30,7103.312,7125.922,6244.261,6493.835,V8888.XDCE,True,2009,9,40,-111,-111,2009-08,33.0,27.3,7.0,8.5,12.0,8.4,10.4,11.8,1.2,13.7,-17.7,-9.2,90.0,27.1,-7.86,-6.4,2009.0,8.0,0.03799049406090549,-0.0865854334384617,-0.06655347080083662,0.1029198722887128,0.06107486138416851,,-0.08413529,-1,-0.03799049406090549,-0.027134664627322502,0.048846323494488475
5,5,2009-10-30,6559.457,6909.476,6490.764,6740.539,V8888.XDCE,True,2009,10,44,-110,-110,2009-09,33.3,27.7,7.7,13.0,13.7,8.9,11.6,11.6,33.4,17.1,-20.1,2.8,78.7,31.7,-6.99,-6.5,2009.0,9.0,0.045716670432438766,0.03799049406090549,-0.0865854334384617,-0.06655347080083662,0.1029198722887128,0.06107486138416851,0.044699833,1,0.045716670432438766,0.018582005805116264,0.09456299392692724
6,6,2009-11-30,6672.708,7325.81,6645.124,7048.694,V8888.XDCE,True,2009,11,49,-109,-109,2009-10,33.1,27.5,8.6,14.0,15.5,9.4,11.8,11.6,18.6,17.3,-18.9,-7.9,78.6,37.5,-5.85,-6.4,2009.0,10.0,0.08904897843487025,0.045716670432438766,0.03799049406090549,-0.0865854334384617,-0.06655347080083662,0.1029198722887128,-0.06605131,-1,-0.08904897843487025,-0.07046697262975399,0.1836119723617975
7,7,2009-12-31,7089.055,7772.461,7003.318,7676.373,V8888.XDCE,True,2009,12,53,-108,-108,2009-11,32.1,26.8,9.6,15.5,17.6,10.3,13.7,11.8,40.4,19.8,-15.9,24.4,100.8,43.2,-2.08,-6.0,2009.0,11.0,-0.058161321759638285,0.08904897843487025,0.045716670432438766,0.03799049406090549,-0.0865854334384617,-0.06655347080083662,0.045336254,1,-0.058161321759638285,-0.12862829438939227,0.1254506506021592
8,8,2010-01-29,7722.067,7889.374,7208.999,7229.905,V8888.XDCE,True,2010,1,4,-107,-107,2009-12,30.4,26.6,10.01,13.58,18.1,10.97,20.27,12.96,3.3,18.4,-13.6,43.1,130.5,47.8,1.7,-5.4,2009.0,12.0,0.034282054881772384,-0.058161321759638285,0.08904897843487025,0.045716670432438766,0.03799049406090549,-0.0865854334384617,-0.08390618,-1,-0.034282054881772384,-0.16291034927116466,0.1597327054839316
9,9,2010-02-26,7235.607,7641.992,7132.659,7477.761,V8888.XDCE,True,2010,2,8,-106,-106,2010-01,30.4,26.6,10.01,13.58,18.1,10.97,20.27,12.96,24.43,24.43,39.62,39.62,144.3,144.3,4.32,4.3,2010.0,1.0,0.018819938214125864,0.034282054881772384,-0.058161321759638285,0.08904897843487025,0.045716670432438766,0.03799049406090549,0.041976377,1,0.018819938214125864,-0.1440904110570388,0.17855264369805746
10,10,2010-03-31,7518.276,7752.913,7324.629,7618.492,V8888.XDCE,True,2010,3,13,-105,-105,2010-02,26.6,23.6,19.6,10.5,13.8,22.3,11.0,19.6,13.9,18.8,33.8,15.2,46.7,89.7,5.39,4.9,2010.0,2.0,0.012017207604864577,0.018819938214125864,0.034282054881772384,-0.058161321759638285,0.08904897843487025,0.045716670432438766,0.04224537,1,0.012017207604864577,-0.13207320345217421,0.19056985130292203
11,11,2010-04-30,7652.199,8041.886,7622.186,7710.045,V8888.XDCE,True,2010,4,17,-104,-104,2010-03,26.4,25.8,18.9,17.6,22.3,22.3,19.6,19.2,12.1,15.2,23.5,18.2,51.5,73.2,5.91,5.21,2010.0,3.0,-0.03138139920065319,0.012017207604864577,0.018819938214125864,0.034282054881772384,-0.058161321759638285,0.08904897843487025,0.032351043,1,-0.03138139920065319,-0.1634546026528274,0.15918845210226884
12,12,2010-05-31,7706.458,7747.114,7101.053,7468.093,V8888.XDCE,True,2010,5,22,-103,-103,2010-04,26.1,24.6,18.9,18.4,23.3,22.8,20.0,19.8,8.5,13.2,22.8,31.1,34.6,61.9,6.81,5.61,2010.0,4.0,-0.05433944113979294,-0.03138139920065319,0.012017207604864577,0.018819938214125864,0.034282054881772384,-0.058161321759638285,0.027321074,1,-0.05433944113979294,-0.21779404379262035,0.1048490109624759
13,13,2010-06-30,7462.619,7467.514,6906.94,7062.281,V8888.XDCE,True,2010,6,26,-102,-102,2010-05,25.9,24.8,19.0,18.9,20.0,21.9,21.1,20.6,26.4,16.2,28.2,31.9,26.6,53.6,7.13,5.9,2010.0,5.0,0.028409518114614896,-0.05433944113979294,-0.03138139920065319,0.012017207604864577,0.018819938214125864,0.034282054881772384,-0.04128279,-1,-0.028409518114614896,-0.24620356190723525,0.1332585290770908
14,14,2010-07-30,7053.031,7267.361,6807.026,7262.917,V8888.XDCE,True,2010,7,30,-101,-101,2010-06,25.5,24.9,18.8,16.2,19.7,21.4,19.4,20.6,11.3,16.0,25.7,32.0,18.4,46.6,6.41,6.0,2010.0,6.0,0.019432687995746045,0.028409518114614896,-0.05433944113979294,-0.03138139920065319,0.012017207604864577,0.018819938214125864,0.018720547,0,0.0,-0.24620356190723525,0.15269121707283684
15,15,2010-08-31,7292.748,7580.82,7267.055,7404.055,V8888.XDCE,True,2010,8,35,-100,-100,2010-07,24.9,25.1,18.8,17.4,21.0,21.5,20.6,20.4,12.4,15.3,29.0,34.0,17.1,42.3,4.84,5.83,2010.0,7.0,0.06983632617531876,0.019432687995746045,0.028409518114614896,-0.05433944113979294,-0.03138139920065319,0.012017207604864577,0.01235602,0,0.0,-0.24620356190723525,0.2225275432481556
16,16,2010-09-30,7403.896,8040.047,7403.252,7921.127,V8888.XDCE,True,2010,9,39,-99,-99,2010-08,24.8,24.9,18.9,19.3,20.1,21.4,22.1,20.9,20.6,16.1,32.2,58.1,13.1,38.4,4.32,5.64,2010.0,8.0,0.012942981472207071,0.06983632617531876,0.019432687995746045,0.028409518114614896,-0.05433944113979294,-0.03138139920065319,-0.022340668,-1,-0.012942981472207071,-0.2591465433794423,0.23547052472036267
17,17,2010-10-29,7923.228,8191.69,7660.814,8023.65,V8888.XDCE,True,2010,10,43,-98,-98,2010-09,24.5,25.4,18.5,16.2,20.2,21.4,19.1,20.7,19.5,17.3,32.3,32.0,17.8,35.3,4.33,5.5,2010.0,9.0,0.011894088102048395,0.012942981472207071,0.06983632617531876,0.019432687995746045,0.028409518114614896,-0.05433944113979294,-0.011887754,0,0.0,-0.2591465433794423,0.24736461282241107
18,18,2010-11-30,8057.254,9496.047,8007.081,8119.084,V8888.XDCE,True,2010,11,48,-97,-97,2010-10,24.4,25.7,18.5,15.9,18.8,21.4,17.0,20.6,56.3,21.5,33.2,43.5,23.0,33.8,5.04,5.45,2010.0,10.0,0.017675269771811664,0.011894088102048395,0.012942981472207071,0.06983632617531876,0.019432687995746045,0.028409518114614896,0.013224767,0,0.0,-0.2591465433794423,0.26503988259422273
19,19,2010-12-31,8053.279,8463.967,7906.234,8262.591,V8888.XDCE,True,2010,12,52,-96,-96,2010-11,24.9,26.1,18.5,17.3,19.0,21.1,18.8,20.6,70.7,26.8,32.3,44.9,27.6,33.1,6.06,5.51,2010.0,11.0,0.0006546372681401902,0.017675269771811664,0.011894088102048395,0.012942981472207071,0.06983632617531876,0.019432687995746045,0.017642329,0,0.0,-0.2591465433794423,0.2656945198623629
20,20,2011-01-31,8314.316,8437.843,7958.836,8268.0,V8888.XDCE,True,2011,1,5,-95,-95,2010-12,24.5,26.9,19.0,21.2,23.9,21.7,19.2,20.6,43.1,28.0,32.7,44.9,23.9,31.9,5.93,5.54,2010.0,12.0,0.0453134978229317,0.0006546372681401902,0.017675269771811664,0.011894088102048395,0.012942981472207071,0.06983632617531876,0.01577289,0,0.0,-0.2591465433794423,0.3110080176852946
21,21,2011-02-28,8308.437,8724.243,8223.803,8642.652,V8888.XDCE,True,2011,2,9,-94,-94,2011-01,24.5,26.9,19.0,21.2,23.9,21.7,19.2,20.6,34.61,34.61,28.52,28.52,13.26,13.26,6.6,6.6,2011.0,1.0,-0.07142946401174088,0.0453134978229317,0.0006546372681401902,0.017675269771811664,0.011894088102048395,0.012942981472207071,0.0032368263,0,-0.0,-0.2591465433794423,0.23957855367355374
22,22,2011-03-31,8615.38,8673.781,7928.534,8025.312,V8888.XDCE,True,2011,3,13,-93,-93,2011-02,24.9,29.9,19.5,20.0,22.7,22.4,23.0,24.7,41.5,38.5,20.5,22.2,6.2,10.3,7.23,6.94,2011.0,2.0,0.05769420553369131,-0.07142946401174088,0.0453134978229317,0.0006546372681401902,0.017675269771811664,0.011894088102048395,0.044720232,1,0.05769420553369131,-0.201452337845751,0.29727275920724505
23,23,2011-04-29,8072.415,8518.025,7936.181,8488.326,V8888.XDCE,True,2011,4,17,-92,-92,2011-03,25.0,29.2,19.7,19.8,20.3,21.8,23.8,24.4,33.7,36.6,21.8,24.1,9.9,10.3,7.31,7.06,2011.0,3.0,-0.026799159221735813,0.05769420553369131,-0.07142946401174088,0.0453134978229317,0.0006546372681401902,0.017675269771811664,-0.068431616,-1,0.026799159221735813,-0.1746531786240152,0.27047359998550924
24,24,2011-05-31,8493.564,8537.495,7886.465,8260.846,V8888.XDCE,True,2011,5,22,-91,-91,2011-04,25.4,29.0,19.2,17.2,19.9,21.6,20.4,23.3,16.0,30.7,23.4,30.9,-1.6,6.9,6.82,7.0,2011.0,4.0,-0.033729596218111224,-0.026799159221735813,0.05769420553369131,-0.07142946401174088,0.0453134978229317,0.0006546372681401902,0.045766324,1,-0.033729596218111224,-0.20838277484212642,0.23674400376739801
25,25,2011-06-30,8293.524,8303.136,7866.944,7982.211,V8888.XDCE,True,2011,6,26,-90,-90,2011-05,25.8,31.2,18.7,17.8,18.9,20.5,19.7,22.7,16.5,27.0,23.9,26.6,-1.9,5.2,6.79,6.96,2011.0,5.0,0.05209458883008722,-0.033729596218111224,-0.026799159221735813,0.05769420553369131,-0.07142946401174088,0.0453134978229317,-0.029089194,-1,-0.05209458883008722,-0.26047736367221364,0.28883859259748523
26,26,2011-07-29,7973.622,8437.009,7958.719,8398.041,V8888.XDCE,True,2011,7,30,-89,-89,2011-06,25.6,32.4,19.0,19.3,18.5,20.2,18.9,22.1,37.6,29.9,24.7,27.3,3.6,5.0,7.12,6.98,2011.0,6.0,-0.05817761547008393,0.05209458883008722,-0.033729596218111224,-0.026799159221735813,0.05769420553369131,-0.07142946401174088,-0.02646495,-1,0.05817761547008393,-0.2022997482021297,0.2306609771274013
27,27,2011-08-31,8461.782,8482.459,7598.452,7909.463,V8888.XDCE,True,2011,8,35,-88,-88,2011-07,25.4,31.8,19.0,17.9,15.8,19.7,17.4,21.5,23.5,28.8,23.1,23.5,-1.3,4.0,7.54,7.06,2011.0,7.0,-0.12113110586647913,-0.05817761547008393,0.05209458883008722,-0.033729596218111224,-0.026799159221735813,0.05769420553369131,0.05034594,1,-0.12113110586647913,-0.32343085406860883,0.10952987126092217
28,28,2011-09-30,7908.144,7919.149,6801.408,6951.381,V8888.XDCE,True,2011,9,39,-87,-87,2011-08,25.0,32.2,18.6,16.0,15.7,19.0,17.6,21.2,18.4,27.0,20.1,11.3,9.5,4.7,7.25,7.09,2011.0,8.0,-0.03256345753455314,-0.12113110586647913,-0.05817761547008393,0.05209458883008722,-0.033729596218111224,-0.026799159221735813,-0.04158877,-1,0.03256345753455314,-0.2908673965340557,0.07696641372636903
29,29,2011-10-31,6974.3,6989.637,6321.428,6725.02,V8888.XDCE,True,2011,10,44,-86,-86,2011-09,24.9,31.5,18.6,16.8,14.7,18.5,20.2,21.0,30.4,26.9,20.3,15.2,2.5,4.5,6.52,7.02,2011.0,9.0,-0.010672830712771142,-0.03256345753455314,-0.12113110586647913,-0.05817761547008393,0.05209458883008722,-0.033729596218111224,-0.032607954,-1,0.010672830712771142,-0.28019456582128455,0.06629358301359789
30,30,2011-11-30,6728.633,6863.328,6467.539,6653.245,V8888.XDCE,True,2011,11,48,-85,-85,2011-10,24.9,31.6,18.8,15.7,15.8,18.2,20.6,20.9,26.1,26.9,18.9,9.4,1.3,4.2,5.0,6.82,2011.0,10.0,0.034887487233673076,-0.010672830712771142,-0.03256345753455314,-0.12113110586647913,-0.05817761547008393,0.05209458883008722,-0.01069906,0,0.0,-0.28019456582128455,0.10118107024727097
31,31,2011-12-30,6849.424,6960.839,6647.666,6885.36,V8888.XDCE,True,2011,12,52,-84,-84,2011-11,24.5,31.5,18.4,13.6,14.2,18.1,18.2,20.6,43.4,28.6,17.3,-1.5,-1.3,3.9,2.72,6.44,2011.0,11.0,0.02386701639420452,0.034887487233673076,-0.010672830712771142,-0.03256345753455314,-0.12113110586647913,-0.05817761547008393,-0.025779476,-1,-0.02386701639420452,-0.30406158221548907,0.1250480866414755
32,32,2012-01-31,6955.655,7129.521,6832.129,7049.693,V8888.XDCE,True,2012,1,5,-83,-83,2011-12,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,32.7,28.9,15.3,-11.0,-6.5,3.0,1.69,6.03,2011.0,12.0,-0.007985454118356605,0.02386701639420452,0.034887487233673076,-0.010672830712771142,-0.03256345753455314,-0.12113110586647913,-0.069562994,-1,0.007985454118356605,-0.29607612809713246,0.11706263252311888
33,33,2012-02-29,7032.23,7246.96,6836.038,6993.398,V8888.XDCE,True,2012,2,9,-82,-82,2012-01,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,-1.54,-1.54,-29.81,-29.81,-25.71,-25.71,0.73,0.73,2012.0,1.0,-0.02561716064207986,-0.007985454118356605,0.02386701639420452,0.034887487233673076,-0.010672830712771142,-0.03256345753455314,-0.0076821083,0,-0.0,-0.29607612809713246,0.09144547188103902
