,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2009-03-31,3398.423,3499.354,3360.641,3420.498,WR8888.XSGE,True,2009,3,14,-117,-117,2009-02,26.5,25.4,3.3,12.1,14.7,4.5,21.5,11.1,32.8,15.7,-21.4,-6.6,22.9,-1.7,-4.47,-3.9,2009.0,2.0,0.009341622184839693,,,,,,0.5,1,0.009341622184839693,0.009341622184839693,0.009341622184839693
1,1,2009-04-30,3424.339,3535.941,3307.39,3452.451,WR8888.XSGE,True,2009,4,18,-116,-116,2009-03,28.6,27.3,5.3,9.8,11.4,6.8,14.4,11.3,34.0,21.5,-16.4,-18.3,10.8,3.7,-6.0,-4.6,2009.0,3.0,0.018850665802353284,0.009341622184839693,,,,,0.012246579,0,0.0,0.009341622184839693,0.028192287987192977
2,2,2009-05-27,3494.115,3601.064,3474.964,3517.532,WR8888.XSGE,True,2009,5,22,-115,-115,2009-04,30.5,29.0,5.8,7.5,7.1,6.4,13.6,11.8,48.5,30.3,-20.5,-21.0,17.9,7.6,-6.6,-5.1,2009.0,4.0,0.06527730238132867,0.018850665802353284,0.009341622184839693,,,,0.018595193,0,0.0,0.009341622184839693,0.09346959036852165
3,3,2009-06-30,3539.16,3844.525,3534.455,3747.147,WR8888.XSGE,True,2009,6,27,-114,-114,2009-05,32.9,29.9,6.2,7.0,9.3,7.2,14.8,12.4,2.6,23.9,-21.1,-22.7,29.0,12.0,-7.2,-5.5,2009.0,5.0,0.19696611848961343,0.06527730238132867,0.018850665802353284,0.009341622184839693,,,0.056978974,1,0.19696611848961343,0.20630774067445312,0.2904357088581351
4,4,2009-07-31,3754.91,4486.536,3742.244,4485.208,WR8888.XSGE,True,2009,7,31,-113,-113,2009-06,33.6,29.3,6.9,10.4,8.3,7.3,14.0,12.4,2.3,19.4,-19.1,-8.5,38.8,16.4,-7.8,-5.9,2009.0,6.0,-0.10522923351603752,0.19696611848961343,0.06527730238132867,0.018850665802353284,0.009341622184839693,,0.18811303,1,-0.10522923351603752,0.1010785071584156,0.18520647534209755
5,5,2009-08-31,4626.329,4880.035,3964.274,4013.233,WR8888.XSGE,True,2009,8,36,-112,-112,2009-07,32.9,28.1,6.6,9.1,11.3,7.7,12.1,12.1,3.0,16.4,-18.6,-10.6,51.6,20.7,-8.2,-6.2,2009.0,7.0,-0.11090783914116131,-0.10522923351603752,0.19696611848961343,0.06527730238132867,0.018850665802353284,0.009341622184839693,0.019014472,0,-0.0,0.1010785071584156,0.07429863620093624
6,6,2009-09-30,3998.609,4025.793,3487.227,3568.134,WR8888.XSGE,True,2009,9,40,-111,-111,2009-08,33.0,27.3,7.0,8.5,12.0,8.4,10.4,11.8,1.2,13.7,-17.7,-9.2,90.0,27.1,-7.86,-6.4,2009.0,8.0,0.03675478555457845,-0.11090783914116131,-0.10522923351603752,0.19696611848961343,0.06527730238132867,0.018850665802353284,0.06123907,1,0.03675478555457845,0.13783329271299405,0.11105342175551469
7,7,2009-10-30,3499.897,3798.204,3470.419,3699.28,WR8888.XSGE,True,2009,10,44,-110,-110,2009-09,33.3,27.7,7.7,13.0,13.7,8.9,11.6,11.6,33.4,17.1,-20.1,2.8,78.7,31.7,-6.99,-6.5,2009.0,9.0,0.09487602993014854,0.03675478555457845,-0.11090783914116131,-0.10522923351603752,0.19696611848961343,0.06527730238132867,0.18038478,1,0.09487602993014854,0.2327093226431426,0.20592945168566323
8,8,2009-11-30,3698.302,4172.489,3660.911,4050.253,WR8888.XSGE,True,2009,11,49,-109,-109,2009-10,33.1,27.5,8.6,14.0,15.5,9.4,11.8,11.6,18.6,17.3,-18.9,-7.9,78.6,37.5,-5.85,-6.4,2009.0,10.0,0.051636033600863884,0.09487602993014854,0.03675478555457845,-0.11090783914116131,-0.10522923351603752,0.19696611848961343,0.10651669,1,0.051636033600863884,0.2843453562440065,0.2575654852865271
9,9,2009-12-31,4058.051,4289.114,4027.976,4259.392,WR8888.XSGE,True,2009,12,53,-108,-108,2009-11,32.1,26.8,9.6,15.5,17.6,10.3,13.7,11.8,40.4,19.8,-15.9,24.4,100.8,43.2,-2.08,-6.0,2009.0,11.0,-0.028356159752377708,0.051636033600863884,0.09487602993014854,0.03675478555457845,-0.11090783914116131,-0.10522923351603752,-0.10483844,-1,0.028356159752377708,0.3127015159963842,0.2292093255341494
