,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2006-01-27,5298.346,5342.964,4989.467,5037.589,Y8888.XDCE,True,2006,1,4,-155,-155,2005-12,27.2,39.2,,,,,,,35.1,9.6,12.8,-1.2,33.0,13.0,3.2,4.9,2005.0,12.0,0.024041461103714523,,,,,,0.5,1,0.024041461103714523,0.024041461103714523,0.024041461103714523
1,1,2006-02-28,5174.883,5219.197,4962.487,5158.7,Y8888.XDCE,True,2006,2,9,-154,-154,2006-01,27.2,39.2,,,,,,,-6.6,-6.6,4.5,4.5,26.1,26.1,3.05,3.05,2006.0,1.0,4.9237210925312525e-05,0.024041461103714523,,,,,0.02685939,1,4.9237210925312525e-05,0.024090698314639836,0.024090698314639836
2,2,2006-03-31,5212.683,5337.795,5142.481,5158.954,Y8888.XDCE,True,2006,3,13,-153,-153,2006-02,26.6,35.4,21.8,27.0,27.3,21.2,31.8,25.3,-38.8,-27.1,7.2,10.7,57.9,40.6,3.01,3.0,2006.0,2.0,0.004984731400977882,4.9237210925312525e-05,0.024041461103714523,,,,0.0023334848,0,0.0,0.024090698314639836,0.029075429715617718
3,3,2006-04-28,5103.971,5188.965,4987.309,5184.67,Y8888.XDCE,True,2006,4,17,-152,-152,2006-03,29.8,36.3,21.5,22.0,23.9,21.7,25.7,24.9,-12.2,-4.2,13.6,21.8,29.5,36.3,2.49,2.9,2006.0,3.0,0.017431967704791163,0.004984731400977882,4.9237210925312525e-05,0.024041461103714523,,,0.0051186844,0,0.0,0.024090698314639836,0.04650739742040888
4,4,2006-05-31,5172.488,5339.158,5128.649,5275.049,Y8888.XDCE,True,2006,5,22,-151,-151,2006-04,29.6,37.6,17.9,16.4,20.6,20.2,21.4,24.1,-2.8,-3.4,12.7,13.0,21.4,31.8,1.87,2.6,2006.0,4.0,-0.0086761279373897,0.017431967704791163,0.004984731400977882,4.9237210925312525e-05,0.024041461103714523,,0.013903736,0,-0.0,0.024090698314639836,0.03783126948301918
5,5,2006-06-30,5261.251,5306.937,5123.049,5229.282,Y8888.XDCE,True,2006,6,26,-150,-150,2006-05,30.3,37.1,18.6,18.2,21.5,20.8,23.2,23.8,-1.6,-3.7,12.2,10.1,28.4,30.6,2.43,2.6,2006.0,5.0,0.06912593354116314,-0.0086761279373897,0.017431967704791163,0.004984731400977882,4.9237210925312525e-05,0.024041461103714523,-0.0022230695,0,0.0,0.024090698314639836,0.10695720302418232
6,6,2006-07-31,5272.0,5598.467,5212.307,5590.761,Y8888.XDCE,True,2006,7,31,-149,-149,2006-06,31.3,38.6,19.2,24.5,21.9,21.8,22.3,23.9,20.4,1.3,10.8,7.3,15.4,27.8,3.52,2.7,2006.0,6.0,-0.00939156583513412,0.06912593354116314,-0.0086761279373897,0.017431967704791163,0.004984731400977882,4.9237210925312525e-05,0.012641999,0,-0.0,0.024090698314639836,0.0975656371890482
7,7,2006-08-31,5614.565,5683.756,5453.553,5538.255,Y8888.XDCE,True,2006,8,35,-148,-148,2006-07,30.5,38.1,21.3,24.3,22.2,20.8,21.9,23.7,5.6,2.0,11.6,15.1,10.4,25.3,3.58,2.9,2006.0,7.0,-0.004257658775191797,-0.00939156583513412,0.06912593354116314,-0.0086761279373897,0.017431967704791163,0.004984731400977882,0.06819925,1,-0.004257658775191797,0.01983303953944804,0.09330797841385641
8,8,2006-09-29,5552.83,5662.234,5422.372,5514.675,Y8888.XDCE,True,2006,9,39,-147,-147,2006-08,29.1,36.0,21.4,22.7,23.7,21.8,20.9,23.7,16.2,4.0,12.3,17.9,13.3,24.1,3.4,2.9,2006.0,8.0,0.1038848164216386,-0.004257658775191797,-0.00939156583513412,0.06912593354116314,-0.0086761279373897,0.017431967704791163,0.06844234,1,0.1038848164216386,0.12371785596108664,0.197192794835495
9,9,2006-10-31,5502.494,6218.432,5496.493,6087.566,Y8888.XDCE,True,2006,10,44,-146,-146,2006-09,28.2,33.8,21.2,21.4,24.4,22.2,16.4,22.5,16.9,6.3,13.0,16.2,23.2,24.0,3.5,3.0,2006.0,9.0,0.1149147294665882,0.1038848164216386,-0.004257658775191797,-0.00939156583513412,0.06912593354116314,-0.0086761279373897,-0.008214496,0,0.0,0.12371785596108664,0.3121075243020832
10,10,2006-11-30,6012.514,6962.108,5998.439,6787.117,Y8888.XDCE,True,2006,11,48,-145,-145,2006-10,26.8,30.5,21.1,19.1,22.4,22.2,16.8,22.1,22.2,8.1,13.8,22.5,35.6,25.1,2.9,3.0,2006.0,10.0,0.002967828608229306,0.1149147294665882,0.1038848164216386,-0.004257658775191797,-0.00939156583513412,0.06912593354116314,0.11423792,1,0.002967828608229306,0.12668568456931595,0.3150753529103125
11,11,2006-12-29,6807.663,6849.397,6553.481,6807.26,Y8888.XDCE,True,2006,12,52,-144,-144,2006-11,26.6,30.1,21.3,19.3,20.6,22.2,18.8,22.0,28.7,10.5,13.9,16.5,27.8,26.1,2.78,3.0,2006.0,11.0,-0.050656211162787956,0.002967828608229306,0.1149147294665882,0.1038848164216386,-0.004257658775191797,-0.00939156583513412,0.003131451,0,-0.0,0.12668568456931595,0.26441914174752457
12,12,2007-01-31,6690.257,6824.96,6353.69,6462.43,Y8888.XDCE,True,2007,1,5,-143,-143,2006-12,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,23.5,11.3,14.7,19.2,19.0,26.0,3.1,3.0,2006.0,12.0,0.010900079381904293,-0.050656211162787956,0.002967828608229306,0.1149147294665882,0.1038848164216386,-0.004257658775191797,0.096802495,1,0.010900079381904293,0.13758576395122024,0.27531922112942886
13,13,2007-02-28,6438.87,6643.458,6432.063,6532.871,Y8888.XDCE,True,2007,2,9,-142,-142,2007-01,24.3,29.1,21.1,20.3,19.6,21.9,15.4,21.6,54.9,54.9,32.1,32.1,39.6,39.6,3.3,3.3,2007.0,1.0,0.03226376274688403,0.010900079381904293,-0.050656211162787956,0.002967828608229306,0.1149147294665882,0.1038848164216386,0.103829846,1,0.03226376274688403,0.16984952669810427,0.3075829838763129
14,14,2007-03-30,6554.879,6752.868,6413.467,6743.646,Y8888.XDCE,True,2007,3,13,-141,-141,2007-02,23.4,26.4,23.5,16.3,15.4,24.2,15.9,23.0,12.2,31.7,12.3,-4.8,3.8,21.5,2.6,3.0,2007.0,2.0,0.02718855645744167,0.03226376274688403,0.010900079381904293,-0.050656211162787956,0.002967828608229306,0.1149147294665882,0.09327664,1,0.02718855645744167,0.19703808315554594,0.33477154033375456
15,15,2007-04-30,6672.722,7147.802,6644.583,6926.996,Y8888.XDCE,True,2007,4,18,-140,-140,2007-03,25.3,31.7,23.8,23.4,22.3,23.8,18.1,20.5,46.8,30.4,8.6,3.0,17.8,22.3,2.7,2.9,2007.0,3.0,0.12025818984159953,0.02718855645744167,0.03226376274688403,0.010900079381904293,-0.050656211162787956,0.002967828608229306,0.0110436315,0,0.0,0.19703808315554594,0.4550297301753541
16,16,2007-05-31,6895.468,7941.553,6859.214,7760.024,Y8888.XDCE,True,2007,5,22,-139,-139,2007-04,25.5,32.4,24.0,24.2,19.6,22.3,22.3,22.0,58.8,39.5,8.7,11.1,18.6,21.4,2.9,2.9,2007.0,4.0,-0.009217110668729989,0.12025818984159953,0.02718855645744167,0.03226376274688403,0.010900079381904293,-0.050656211162787956,0.03911575,1,-0.009217110668729989,0.18782097248681595,0.4458126195066241
17,17,2007-06-29,7802.414,8044.701,7502.13,7688.499,Y8888.XDCE,True,2007,6,26,-138,-138,2007-05,25.9,35.5,24.4,23.8,20.6,21.8,22.9,22.7,37.1,37.3,9.3,11.9,25.7,22.0,2.8,2.8,2007.0,5.0,0.10196983832605055,-0.009217110668729989,0.12025818984159953,0.02718855645744167,0.03226376274688403,0.010900079381904293,0.102068305,1,0.10196983832605055,0.2897908108128665,0.5477824578326747
18,18,2007-07-31,7899.644,8538.896,7814.705,8472.494,Y8888.XDCE,True,2007,7,31,-137,-137,2007-06,26.7,34.7,24.7,26.7,25.5,22.8,25.2,23.7,21.6,33.6,10.0,13.6,27.6,22.9,2.49,2.8,2007.0,6.0,-0.04463349280625051,0.10196983832605055,-0.009217110668729989,0.12025818984159953,0.02718855645744167,0.03226376274688403,-0.0069135753,0,-0.0,0.2897908108128665,0.5031489650264241
19,19,2007-08-31,8536.216,8558.485,7919.642,8094.337,Y8888.XDCE,True,2007,8,35,-136,-136,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007.0,7.0,0.050114666587269596,-0.04463349280625051,0.10196983832605055,-0.009217110668729989,0.12025818984159953,0.02718855645744167,0.10183401,1,0.050114666587269596,0.3399054774001361,0.5532636316136937
20,20,2007-09-28,8052.68,8572.592,7922.359,8499.982,Y8888.XDCE,True,2007,9,39,-135,-135,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007.0,8.0,0.044766094798789124,0.050114666587269596,-0.04463349280625051,0.10196983832605055,-0.009217110668729989,0.12025818984159953,0.029805727,1,0.044766094798789124,0.3846715721989252,0.5980297264124829
21,21,2007-10-31,8373.688,9033.105,8337.468,8880.493,Y8888.XDCE,True,2007,10,44,-134,-134,2007-09,26.4,35.6,24.0,20.3,23.2,22.8,24.5,22.8,2.4,22.2,11.7,19.9,19.6,23.6,2.7,2.7,2007.0,9.0,0.04978811424095486,0.044766094798789124,0.050114666587269596,-0.04463349280625051,0.10196983832605055,-0.009217110668729989,0.04512217,1,0.04978811424095486,0.4344596864398801,0.6478178406534377
22,22,2007-11-30,8994.907,9724.856,8865.629,9322.636,Y8888.XDCE,True,2007,11,48,-133,-133,2007-10,26.9,36.5,23.8,21.0,23.4,23.0,21.6,22.7,4.6,20.1,11.7,10.6,24.3,23.7,3.2,2.8,2007.0,10.0,0.12786705391050335,0.04978811424095486,0.044766094798789124,0.050114666587269596,-0.04463349280625051,0.10196983832605055,0.045345478,1,0.12786705391050335,0.5623267403503834,0.7756848945639411
23,23,2007-12-28,9326.447,10605.167,9286.828,10514.694,Y8888.XDCE,True,2007,12,52,-132,-132,2007-11,26.8,37.2,23.6,19.1,24.4,23.3,17.9,21.3,9.3,19.6,11.4,6.5,21.7,23.5,4.55,2.9,2007.0,11.0,0.03789164002300027,0.12786705391050335,0.04978811424095486,0.044766094798789124,0.050114666587269596,-0.04463349280625051,-0.04163585,-1,-0.03789164002300027,0.5244351003273832,0.8135765345869413
24,24,2008-01-31,10594.283,11130.439,10170.816,10913.113,Y8888.XDCE,True,2008,1,5,-131,-131,2007-12,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,18.2,19.8,11.7,7.4,23.8,22.9,5.43,3.1,2007.0,12.0,0.26275426635827936,0.03789164002300027,0.12786705391050335,0.04978811424095486,0.044766094798789124,0.050114666587269596,0.050162904,1,0.26275426635827936,0.7871893666856625,1.0763308009452208
25,25,2008-02-29,10967.04,13780.582,10891.924,13780.58,Y8888.XDCE,True,2008,2,9,-130,-130,2008-01,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,-33.9,-33.9,26.75,26.75,9.78,9.78,6.1,6.1,2008.0,1.0,-0.2006054897544225,0.26275426635827936,0.03789164002300027,0.12786705391050335,0.04978811424095486,0.044766094798789124,0.0394768,1,-0.2006054897544225,0.58658387693124,0.8757253111907983
26,26,2008-03-31,14072.693,14703.754,10472.901,11016.12,Y8888.XDCE,True,2008,3,14,-129,-129,2008-02,24.3,35.8,19.9,20.6,22.9,21.9,20.2,20.3,-1.1,-18.9,22.5,18.4,16.0,12.5,6.62,6.4,2008.0,2.0,-0.01315290683108028,-0.2006054897544225,0.26275426635827936,0.03789164002300027,0.12786705391050335,0.04978811424095486,0.18419267,1,-0.01315290683108028,0.5734309701001598,0.862572404359718
