,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2015-05-29,440.0,447.8,434.8,442.6,ZC8888.XZCE,True,2015,5,22,-43,-43,2015-04,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,7.34,-10.59,-1.5,-1.4,-0.3,3.2,-4.57,-4.56,2015.0,4.0,-0.058743786714866686,,,,,,0.5,1,-0.058743786714866686,-0.058743786714866686,-0.058743786714866686
1,1,2015-06-30,443.0,443.0,411.8,416.6,ZC8888.XZCE,True,2015,6,27,-42,-42,2015-05,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,-11.34,-14.97,-2.7,-5.7,-1.6,2.2,-4.61,-4.57,2015.0,5.0,-0.09505520883341334,-0.058743786714866686,,,,,-0.055435732,-1,0.09505520883341334,0.036311422118546655,-0.15379899554828003
2,2,2015-07-31,414.0,417.4,370.299,377.0,ZC8888.XZCE,True,2015,7,31,-41,-41,2015-06,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,-6.17,-13.53,-4.9,-10.7,0.7,2.0,-4.81,-4.61,2015.0,6.0,-0.03488063660477447,-0.09505520883341334,-0.058743786714866686,,,,-0.09229321,-1,0.03488063660477447,0.07119205872332113,-0.1886796321530545
3,3,2015-08-31,378.4,381.426,358.494,363.85,ZC8888.XZCE,True,2015,8,36,-40,-40,2015-07,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,-4.2,-12.0,-5.7,-13.0,-11.2,0.2,-5.37,-4.72,2015.0,7.0,-0.04622784114332845,-0.03488063660477447,-0.09505520883341334,-0.058743786714866686,,,-0.092462786,-1,0.04622784114332845,0.11741989986664958,-0.23490747329638295
4,4,2015-09-30,364.083,366.208,345.408,347.03,ZC8888.XZCE,True,2015,9,40,-39,-39,2015-08,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,1.51,-9.9,-5.7,-7.6,-6.5,-0.5,-5.92,-4.87,2015.0,8.0,-0.08583407774543983,-0.04622784114332845,-0.03488063660477447,-0.09505520883341334,-0.058743786714866686,,-0.045997266,-1,0.08583407774543983,0.2032539776120894,-0.3207415510418228
5,5,2015-10-30,347.909,351.011,317.071,317.243,ZC8888.XZCE,True,2015,10,44,-38,-38,2015-09,10.3,8.32,7.6,5.8,2.2,3.4,3.8,3.4,-8.02,-9.67,-7.6,-15.5,-4.7,-0.9,-5.95,-4.99,2015.0,9.0,-0.08006796052237564,-0.08583407774543983,-0.04622784114332845,-0.03488063660477447,-0.09505520883341334,-0.058743786714866686,-0.07614508,-1,0.08006796052237564,0.28332193813446505,-0.4008095115641984
6,6,2015-11-30,317.349,317.349,277.916,291.842,ZC8888.XZCE,True,2015,11,49,-37,-37,2015-10,10.2,8.34,7.5,6.7,1.7,3.2,4.6,3.5,-5.55,-8.92,-8.06,-13.23,5.01,-0.35,-5.9,-5.1,2015.0,10.0,0.04316034018407211,-0.08006796052237564,-0.08583407774543983,-0.04622784114332845,-0.03488063660477447,-0.09505520883341334,-0.046065975,-1,-0.04316034018407211,0.24016159795039294,-0.3576491713801263
7,7,2015-12-31,292.075,317.613,281.84,304.438,ZC8888.XZCE,True,2015,12,53,-36,-36,2015-11,10.2,8.43,7.5,7.2,2.5,3.1,2.2,3.4,-1.4,-8.3,-9.1,-20.0,16.0,1.4,-5.9,-5.2,2015.0,11.0,0.05913519337270645,0.04316034018407211,-0.08006796052237564,-0.08583407774543983,-0.04622784114332845,-0.03488063660477447,0.040732075,1,0.05913519337270645,0.2992967913230994,-0.29851397800741986
8,8,2016-01-29,305.259,329.446,290.332,322.441,ZC8888.XZCE,True,2016,1,4,-35,-35,2015-12,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.9,-5.2,2015.0,12.0,0.04829410651871191,0.05913519337270645,0.04316034018407211,-0.08006796052237564,-0.08583407774543983,-0.04622784114332845,-0.07140364,-1,-0.04829410651871191,0.2510026848043875,-0.25021987148870795
9,9,2016-02-29,323.157,339.517,310.288,338.013,ZC8888.XZCE,True,2016,2,9,-34,-34,2016-01,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,12.1,-7.3,-9.3,-11.3,16.3,2.7,-5.3,-5.3,2016.0,1.0,0.04591243532053513,0.04829410651871191,0.05913519337270645,0.04316034018407211,-0.08006796052237564,-0.08583407774543983,0.04846165,1,0.04591243532053513,0.2969151201249226,-0.20430743616817282
