,Unnamed: 0,date,open,high,low,close,stkcd,rb,year_x,month_x,week,weekly,yearmonth,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2007-03-30,28483.256,29803.771,28458.965,29388.729,ZN8888.XSGE,True,2007,3,13,-141,-141,2007-02,23.4,26.4,23.5,16.3,15.4,24.2,15.9,23.0,12.2,31.7,12.3,-4.8,3.8,21.5,2.6,3.0,2007.0,2.0,0.1119436978713848,,,,,,0.5,1,0.1119436978713848,0.1119436978713848,0.1119436978713848
1,1,2007-04-30,29387.175,34070.135,28662.565,32678.612,ZN8888.XSGE,True,2007,4,18,-140,-140,2007-03,25.3,31.7,23.8,23.4,22.3,23.8,18.1,20.5,46.8,30.4,8.6,3.0,17.8,22.3,2.7,2.9,2007.0,3.0,-0.0595643107485716,0.1119436978713848,,,,,0.11424119,1,-0.0595643107485716,0.052379387122813204,0.052379387122813204
2,2,2007-05-31,33716.876,35520.657,28925.221,30732.133,ZN8888.XSGE,True,2007,5,22,-139,-139,2007-04,25.5,32.4,24.0,24.2,19.6,22.3,22.3,22.0,58.8,39.5,8.7,11.1,18.6,21.4,2.9,2.9,2007.0,4.0,-0.13038089481130388,-0.0595643107485716,0.1119436978713848,,,,0.112387285,1,-0.13038089481130388,-0.07800150768849068,-0.07800150768849068
3,3,2007-06-29,31074.588,31133.978,25293.72,26725.25,ZN8888.XSGE,True,2007,6,26,-138,-138,2007-05,25.9,35.5,24.4,23.8,20.6,21.8,22.9,22.7,37.1,37.3,9.3,11.9,25.7,22.0,2.8,2.8,2007.0,5.0,0.07513467600864354,-0.13038089481130388,-0.0595643107485716,0.1119436978713848,,,-0.12697703,-1,-0.07513467600864354,-0.15313618369713422,-0.002866831679847137
4,4,2007-07-31,26475.085,29861.312,26183.223,28733.243,ZN8888.XSGE,True,2007,7,31,-137,-137,2007-06,26.7,34.7,24.7,26.7,25.5,22.8,25.2,23.7,21.6,33.6,10.0,13.6,27.6,22.9,2.49,2.8,2007.0,6.0,-0.038610991456829225,0.07513467600864354,-0.13038089481130388,-0.0595643107485716,0.1119436978713848,,-0.05887292,-1,0.038610991456829225,-0.114525192240305,-0.04147782313667636
5,5,2007-08-31,28913.122,29037.786,26140.359,27623.824,ZN8888.XSGE,True,2007,8,35,-136,-136,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007.0,7.0,-0.017473504030434017,-0.038610991456829225,0.07513467600864354,-0.13038089481130388,-0.0595643107485716,0.1119436978713848,-0.10749406,-1,0.017473504030434017,-0.09705168820987098,-0.05895132716711038
6,6,2007-09-28,27783.477,27886.962,25246.72,27141.139,ZN8888.XSGE,True,2007,9,39,-135,-135,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007.0,8.0,-0.07220890766596044,-0.017473504030434017,-0.038610991456829225,0.07513467600864354,-0.13038089481130388,-0.0595643107485716,-0.017509896,0,-0.0,-0.09705168820987098,-0.13116023483307082
7,7,2007-10-31,27045.463,27069.253,24959.668,25181.307,ZN8888.XSGE,True,2007,10,44,-134,-134,2007-09,26.4,35.6,24.0,20.3,23.2,22.8,24.5,22.8,2.4,22.2,11.7,19.9,19.6,23.6,2.7,2.7,2007.0,9.0,-0.2415406793618775,-0.07220890766596044,-0.017473504030434017,-0.038610991456829225,0.07513467600864354,-0.13038089481130388,-0.017921941,0,-0.0,-0.09705168820987098,-0.37270091419494833
8,8,2007-11-30,25384.045,25394.269,16240.092,19098.997,ZN8888.XSGE,True,2007,11,48,-133,-133,2007-10,26.9,36.5,23.8,21.0,23.4,23.0,21.6,22.7,4.6,20.1,11.7,10.6,24.3,23.7,3.2,2.8,2007.0,10.0,-0.0034771459464598697,-0.2415406793618775,-0.07220890766596044,-0.017473504030434017,-0.038610991456829225,0.07513467600864354,0.07448454,1,-0.0034771459464598697,-0.10052883415633085,-0.3761780601414082
9,9,2007-12-28,19281.104,20014.52,17325.582,19032.587,ZN8888.XSGE,True,2007,12,52,-132,-132,2007-11,26.8,37.2,23.6,19.1,24.4,23.3,17.9,21.3,9.3,19.6,11.4,6.5,21.7,23.5,4.55,2.9,2007.0,11.0,0.04473637766636762,-0.0034771459464598697,-0.2415406793618775,-0.07220890766596044,-0.017473504030434017,-0.038610991456829225,-0.06555192,-1,-0.04473637766636762,-0.14526521182269847,-0.3314416824750406
10,10,2008-01-31,19000.662,21451.527,17748.902,19884.036,ZN8888.XSGE,True,2008,1,5,-131,-131,2007-12,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,18.2,19.8,11.7,7.4,23.8,22.9,5.43,3.1,2007.0,12.0,0.10888523838922848,0.04473637766636762,-0.0034771459464598697,-0.2415406793618775,-0.07220890766596044,-0.017473504030434017,0.030263072,1,0.10888523838922848,-0.03637997343346999,-0.2225564440858121
11,11,2008-02-29,20563.636,22411.699,19377.396,22049.114,ZN8888.XSGE,True,2008,2,9,-130,-130,2008-01,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,-33.9,-33.9,26.75,26.75,9.78,9.78,6.1,6.1,2008.0,1.0,-0.11666314573909875,0.10888523838922848,0.04473637766636762,-0.0034771459464598697,-0.2415406793618775,-0.07220890766596044,0.04475906,1,-0.11666314573909875,-0.15304311917256874,-0.33921958982491085
12,12,2008-03-31,21898.586,23259.04,18766.759,19476.795,ZN8888.XSGE,True,2008,3,14,-129,-129,2008-02,24.3,35.8,19.9,20.6,22.9,21.9,20.2,20.3,-1.1,-18.9,22.5,18.4,16.0,12.5,6.62,6.4,2008.0,2.0,-0.061122633369607215,-0.11666314573909875,0.10888523838922848,0.04473637766636762,-0.0034771459464598697,-0.2415406793618775,-0.11391064,-1,0.061122633369607215,-0.09192048580296153,-0.40034222319451807
13,13,2008-04-30,19104.126,19688.107,17858.704,18286.322,ZN8888.XSGE,True,2008,4,18,-128,-128,2008-03,25.9,31.9,19.6,18.5,21.8,22.5,25.8,22.5,1.5,-9.8,18.8,11.9,21.3,15.8,7.95,6.9,2008.0,3.0,-0.08895331712960108,-0.061122633369607215,-0.11666314573909875,0.10888523838922848,0.04473637766636762,-0.0034771459464598697,-0.003297441,0,-0.0,-0.09192048580296153,-0.48929554032411915
14,14,2008-05-30,18177.621,19187.781,16659.693,16659.693,ZN8888.XSGE,True,2008,5,22,-127,-127,2008-04,25.7,31.2,18.7,15.7,21.4,22.0,20.6,22.4,-16.6,-11.7,12.9,7.7,22.2,17.4,8.12,7.2,2008.0,4.0,-0.024372658007563497,-0.08895331712960108,-0.061122633369607215,-0.11666314573909875,0.10888523838922848,0.04473637766636762,0.036641996,1,-0.024372658007563497,-0.11629314381052502,-0.5136681983316826
15,15,2008-06-30,16556.554,16937.823,15364.223,16253.652,ZN8888.XSGE,True,2008,6,27,-126,-126,2008-05,25.6,30.5,18.6,17.7,21.7,22.1,21.8,22.2,1.5,-0.2,16.2,12.5,21.7,18.1,8.22,7.4,2008.0,5.0,-0.04140066490903094,-0.024372658007563497,-0.08895331712960108,-0.061122633369607215,-0.11666314573909875,0.10888523838922848,-0.034229036,-1,0.04140066490903094,-0.07489247890149409,-0.5550688632407136
16,16,2008-07-31,16185.958,16386.525,14913.632,15580.74,ZN8888.XSGE,True,2008,7,31,-125,-125,2008-06,26.8,31.4,19.3,17.2,20.6,21.8,21.3,22.4,18.2,3.5,8.6,1.4,14.8,17.6,8.84,7.6,2008.0,6.0,-0.08469803103061857,-0.04140066490903094,-0.024372658007563497,-0.08895331712960108,-0.061122633369607215,-0.11666314573909875,-0.052612256,-1,0.08469803103061857,0.009805552129124484,-0.6397668942713322
17,17,2008-08-29,15422.676,15466.814,13343.037,14261.082,ZN8888.XSGE,True,2008,8,35,-124,-124,2008-07,27.3,32.2,18.4,14.6,18.4,21.3,20.4,22.2,15.6,6.1,6.8,-2.9,13.2,17.2,10.03,8.0,2008.0,7.0,-0.0016006499366598703,-0.08469803103061857,-0.04140066490903094,-0.024372658007563497,-0.08895331712960108,-0.061122633369607215,-0.0844187,-1,0.0016006499366598703,0.011406202065784354,-0.641367544207992
18,18,2008-09-26,14337.103,14566.714,13741.955,14238.255,ZN8888.XSGE,True,2008,9,39,-123,-123,2008-08,27.4,33.0,17.9,15.7,15.0,20.6,21.4,21.8,14.4,6.4,5.6,-3.5,-3.3,14.9,10.06,8.2,2008.0,8.0,-0.36051580759018576,-0.0016006499366598703,-0.08469803103061857,-0.04140066490903094,-0.024372658007563497,-0.08895331712960108,-0.022749245,-1,0.36051580759018576,0.3719220096559701,-1.0018833517981778
19,19,2008-10-31,13679.441,13679.441,8623.958,9105.139,ZN8888.XSGE,True,2008,10,44,-122,-122,2008-09,27.6,33.4,17.7,16.8,16.2,20.0,22.3,21.7,10.9,7.1,2.9,-14.5,3.2,13.6,9.13,8.3,2008.0,9.0,0.0521752605863568,-0.36051580759018576,-0.0016006499366598703,-0.08469803103061857,-0.04140066490903094,-0.024372658007563497,-0.03139615,-1,-0.0521752605863568,0.3197467490696133,-0.949708091211821
