,count,mean,std,min,max
re,206.0,0.003,0.048,-0.122,0.182
re1,207.0,0.002,0.048,-0.122,0.182
re2,206.0,0.004,0.048,-0.122,0.182
re3,205.0,0.001,0.048,-0.122,0.182
re4,205.0,0.0,0.047,-0.122,0.182
re5,204.0,0.002,0.046,-0.116,0.182
中国:产量:纯碱,206.0,57.595,6.013,43.63,74.71
re期货持仓量:纯碱,206.0,0.03,0.172,-0.517,1.244
re期货持仓量(活跃合约):纯碱,206.0,0.038,0.232,-0.55,1.455
期货持仓量:纯碱,207.0,811933.285,723217.061,20948.0,3243138.0
期货持仓量(活跃合约):纯碱,207.0,449575.628,305123.066,14424.0,1311473.0
中国:开工率:纯碱,207.0,81.932,7.017,62.1,94.36
中国:固定资产投资完成额:累计同比,176.0,4.957,9.522,-24.5,35.0
中国:固定资产投资完成额:制造业:累计同比,176.0,6.169,13.856,-31.5,37.3
中国:规模以上工业增加值:金属制品业:累计同比,176.0,7.234,15.309,-26.9,59.5
中国:规模以上工业增加值:金属制品业:当月同比,159.0,6.037,7.266,-6.6,22.5
中国:规模以上工业增加值:通用设备制造业:当月同比,159.0,4.821,6.898,-15.8,20.2
中国:规模以上工业增加值:通用设备制造业:累计同比,176.0,6.13,15.087,-28.2,62.4
中国:规模以上工业增加值:专用设备制造业:当月同比,159.0,6.387,4.703,-5.5,17.9
中国:规模以上工业增加值:专用设备制造业:累计同比,176.0,8.401,12.596,-24.4,59.2
中国:产量:工业锅炉:当月同比,159.0,1.864,18.33,-18.2,62.3
中国:产量:工业锅炉:累计同比,176.0,2.605,20.388,-31.5,63.2
中国:产量:金属切削机床:累计同比,176.0,6.551,27.402,-44.6,85.4
中国:产量:金属切削机床:当月同比,159.0,7.126,17.577,-21.7,42.9
中国:产量:汽车:当月同比,159.0,6.342,22.465,-43.5,69.8
中国:产量:汽车:累计同比,176.0,4.541,25.86,-45.8,89.9
中国:PPI:全部工业品:当月同比,187.0,1.962,5.422,-5.4,13.5
中国:PPI:全部工业品:累计同比,187.0,2.044,4.275,-3.2,9.1
year_x,207.0,2021.633,1.289,2019.0,2024.0
month_x,207.0,6.527,3.424,1.0,12.0
weekly,207.0,163.382,65.721,51.0,278.0
