,re,re1,re2,re3,re4,re5,中国:产量:纯碱,re期货持仓量:纯碱,re期货持仓量(活跃合约):纯碱,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:开工率:纯碱,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_x,month_x,weekly,pred,pos,reMonth,asset,asset0
553,0.0039570471099303894,0.005433117205682958,-0.005159399873212567,0.004986636516359555,-0.010005516727907504,0.018828145371274863,55.93,-0.5169897189209582,-0.5501561330614984,40967.0,34862.0,80.1,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2020,1,54,0.015794834,1,0.0039570471099303894,0.0039570471099303894,0.0039570471099303894
554,-0.027006287578875354,0.0039570471099303894,0.005433117205682958,-0.005159399873212567,0.004986636516359555,-0.010005516727907504,58.3,-0.057460883149852315,-0.044030749813550596,38613.0,33327.0,83.23,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2020,1,55,0.015296391,1,-0.027006287578875354,-0.023049240468944965,-0.023049240468944965
555,-0.03986804751558215,-0.027006287578875354,0.0039570471099303894,0.005433117205682958,-0.005159399873212567,0.004986636516359555,57.86,0.1082277989278222,0.1258739160440483,42792.0,37522.0,82.61,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,-0.5,-0.3,2020,1,56,0.0021922363,1,-0.03986804751558215,-0.06291728798452711,-0.06291728798452711
557,0.021205135759113647,0.02351354013747975,-0.03986804751558215,-0.027006287578875354,0.0039570471099303894,0.005433117205682958,52.95,-0.49004486819966353,-0.5199616225147914,21822.0,18012.0,75.59,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,0.1,0.1,2020,2,59,0.001672083,1,0.021205135759113647,-0.04171215222541347,-0.04171215222541347
558,-0.03777555058395832,0.021205135759113647,0.02351354013747975,-0.03986804751558215,-0.027006287578875354,0.0039570471099303894,48.21,0.11639629731463663,0.11409060626249157,24362.0,20067.0,68.82,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,0.1,0.1,2020,2,60,0.058046006,1,-0.03777555058395832,-0.07948770280937179,-0.07948770280937179
559,0.03085900487555504,-0.03777555058395832,0.021205135759113647,0.02351354013747975,-0.03986804751558215,-0.027006287578875354,49.5,0.06584024300139557,0.05800568096875458,25966.0,21231.0,70.68,5.4,3.1,5.8,6.3,4.9,4.3,6.5,6.9,-1.1,-5.7,-18.8,-14.3,8.1,-8.0,0.1,0.1,2020,2,61,-0.0033703404,-1,-0.03085900487555504,-0.11034670768492683,-0.048628697933816745
560,0.024410457908638605,0.03085900487555504,-0.03777555058395832,0.021205135759113647,0.02351354013747975,-0.03986804751558215,51.44,0.09774320264961878,0.08586500871367342,28504.0,23054.0,73.44,-24.5,-31.5,-26.9,6.3,4.9,-28.2,6.5,-24.4,-1.1,-31.5,-44.6,-14.3,8.1,-45.8,-0.4,-0.2,2020,3,62,0.029384194,1,0.024410457908638605,-0.08593624977628822,-0.02421824002517814
561,-0.036440083894339836,0.024410457908638605,0.03085900487555504,-0.03777555058395832,0.021205135759113647,0.02351354013747975,52.96,0.05539573393207964,0.04918886093519559,30083.0,24188.0,75.61,-24.5,-31.5,-26.9,6.3,4.9,-28.2,6.5,-24.4,-1.1,-31.5,-44.6,-14.3,8.1,-45.8,-0.4,-0.2,2020,3,63,-0.004425469,-1,0.036440083894339836,-0.049496165881948384,-0.060658323919517976
562,-0.013083831843281546,-0.036440083894339836,0.024410457908638605,0.03085900487555504,-0.03777555058395832,0.021205135759113647,56.42,0.15779676229099482,0.17653381842235816,34830.0,28458.0,80.31,-24.5,-31.5,-26.9,6.3,4.9,-28.2,6.5,-24.4,-1.1,-31.5,-44.6,-14.3,8.1,-45.8,-0.4,-0.2,2020,3,64,0.034128346,1,-0.013083831843281546,-0.06257999772522993,-0.07374215576279952
563,-0.04634386044208816,-0.013083831843281546,-0.036440083894339836,0.024410457908638605,0.03085900487555504,-0.03777555058395832,56.14,-0.013092161929371238,-0.053587743341063976,34374.0,26933.0,79.91,-24.5,-31.5,-26.9,6.3,4.9,-28.2,6.5,-24.4,-1.1,-31.5,-44.6,-14.3,8.1,-45.8,-0.4,-0.2,2020,3,65,-0.005252206,-1,0.04634386044208816,-0.01623613728314177,-0.12008601620488768
