,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-07,16440.786,16450.357,15559.901,15909.719,AL8888.XSGE,2005,1,1,-727,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.005360119811041342,,,,,,0.5,1,0.005360119811041342,0.005360119811041342,0.005360119811041342
1,1,2005-01-14,15925.63,16058.516,15794.602,15994.997,AL8888.XSGE,2005,1,2,-726,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.009537169653736077,0.005360119811041342,,,,,0.043420177,1,0.009537169653736077,0.014897289464777419,0.014897289464777419
2,2,2005-01-21,15997.829,16159.515,15987.625,16147.544,AL8888.XSGE,2005,1,3,-725,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.007400258516093938,0.009537169653736077,0.005360119811041342,,,,0.023090577,1,0.007400258516093938,0.022297547980871357,0.022297547980871357
3,3,2005-01-28,16185.943,16386.587,16085.503,16267.04,AL8888.XSGE,2005,1,4,-724,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.0012900318681210443,0.007400258516093938,0.009537169653736077,0.005360119811041342,,,0.017422216,1,-0.0012900318681210443,0.021007516112750313,0.021007516112750313
4,4,2005-02-04,16316.531,16344.558,16156.429,16246.055,AL8888.XSGE,2005,2,5,-723,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.012210102698778202,-0.0012900318681210443,0.007400258516093938,0.009537169653736077,0.005360119811041342,,0.0152504565,1,0.012210102698778202,0.033217618811528515,0.033217618811528515
5,5,2005-02-18,16532.415,16542.56,16322.666,16444.421,AL8888.XSGE,2005,2,7,-721,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,-0.0019458879093401382,0.012210102698778202,-0.0012900318681210443,0.007400258516093938,0.009537169653736077,0.005360119811041342,0.021165118,1,-0.0019458879093401382,0.03127173090218838,0.03127173090218838
6,6,2005-02-25,16424.594,16574.853,16363.043,16412.422,AL8888.XSGE,2005,2,8,-720,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.003861648207680757,-0.0019458879093401382,0.012210102698778202,-0.0012900318681210443,0.007400258516093938,0.009537169653736077,0.020847602,1,0.003861648207680757,0.035133379109869134,0.035133379109869134
7,7,2005-03-04,16449.501,16567.787,16405.168,16475.801,AL8888.XSGE,2005,3,9,-719,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.025782236626917143,0.003861648207680757,-0.0019458879093401382,0.012210102698778202,-0.0012900318681210443,0.007400258516093938,0.016805941,1,0.025782236626917143,0.06091561573678628,0.06091561573678628
8,8,2005-03-11,16536.776,17119.949,16511.841,16900.584,AL8888.XSGE,2005,3,10,-718,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.007506486166395043,0.025782236626917143,0.003861648207680757,-0.0019458879093401382,0.012210102698778202,-0.0012900318681210443,0.015623126,1,-0.007506486166395043,0.053409129570391234,0.053409129570391234
9,9,2005-03-18,16878.097,17145.29,16532.745,16773.72,AL8888.XSGE,2005,3,11,-717,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.0028604269058980503,-0.007506486166395043,0.025782236626917143,0.003861648207680757,-0.0019458879093401382,0.012210102698778202,0.013111534,1,-0.0028604269058980503,0.050548702664493184,0.050548702664493184
