,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2023-06-21,2700.485,2732.856,2697.775,2722.767,AO8888.XSGE,2023,6,25,233,54,2023-06-15,90.05,60.55,,,,,2907864.0,1213395.0,,,,,,90.05,,,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0,0.02877771032188936,,,,,,0.5,1,0.02877771032188936,0.02877771032188936,0.02877771032188936
1,1,2023-06-30,2710.04,2825.932,2699.854,2801.122,AO8888.XSGE,2023,6,26,234,54,2023-06-22,91.34,61.03,,,,,2871697.0,1134062.0,,,,,,91.34,,,2023-05,4.0,6.0,1.3,-0.1,6.1,4.5,3.9,5.9,3.9,-1.2,-2.0,1.9,17.3,7.1,-4.6,-2.6,2023.0,5.0,0.005732702824082558,0.02877771032188936,,,,,0.0650359,1,0.005732702824082558,0.03451041314597192,0.03451041314597192
2,2,2023-07-07,2801.989,2833.161,2798.866,2817.18,AO8888.XSGE,2023,7,27,235,55,2023-06-29,90.3,60.34,1580.7,6.4,266.8,3.5,2948823.0,1070991.0,,217.849867,124.380432,-12.384722,-2.785412,90.3,1.5,-2.3,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0,-0.01418581702269639,0.005732702824082558,0.02877771032188936,,,,0.031778343,1,-0.01418581702269639,0.02032459612327553,0.02032459612327553
3,3,2023-07-14,2816.821,2821.355,2769.291,2777.216,AO8888.XSGE,2023,7,28,236,55,2023-07-06,83.84,56.02,1580.7,6.4,266.8,3.5,2991515.0,1106262.0,,217.849867,124.380432,-12.384722,-2.785412,83.84,1.5,-2.3,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0,0.028262115730285364,-0.01418581702269639,0.005732702824082558,0.02877771032188936,,,0.010351993,1,0.028262115730285364,0.04858671185356089,0.04858671185356089
4,4,2023-07-21,2778.422,2895.185,2729.97,2855.706,AO8888.XSGE,2023,7,29,237,55,2023-07-13,84.62,56.54,1580.7,6.4,266.8,3.5,3207866.0,1204803.0,,217.849867,124.380432,-12.384722,-2.785412,84.62,1.5,-2.3,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0,0.004656641825173891,0.028262115730285364,-0.01418581702269639,0.005732702824082558,0.02877771032188936,,0.01292626,1,0.004656641825173891,0.053243353678734784,0.053243353678734784
5,5,2023-07-28,2855.553,2896.003,2845.676,2869.004,AO8888.XSGE,2023,7,30,238,55,2023-07-20,85.13,56.88,1580.7,6.4,266.8,3.5,2860482.0,915646.0,,217.849867,124.380432,-12.384722,-2.785412,85.13,1.5,-2.3,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0,-0.003375735969695426,0.004656641825173891,0.028262115730285364,-0.01418581702269639,0.005732702824082558,0.02877771032188936,0.01005055,1,-0.003375735969695426,0.04986761770903936,0.04986761770903936
6,6,2023-08-04,2865.89,2926.82,2857.645,2859.319,AO8888.XSGE,2023,8,31,239,56,2023-07-27,81.9,54.72,1580.7,6.4,266.8,3.5,3040065.0,937232.0,,217.849867,124.380432,-12.384722,-2.785412,81.9,1.5,-2.3,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,0.01012129111861948,-0.003375735969695426,0.004656641825173891,0.028262115730285364,-0.01418581702269639,0.005732702824082558,0.015521044,1,0.01012129111861948,0.05998890882765884,0.05998890882765884
7,7,2023-08-11,2853.819,2893.966,2838.451,2888.259,AO8888.XSGE,2023,8,32,240,56,2023-08-03,79.42,54.1,1831.4,6.6,251.3,8.7,2711725.0,623546.0,,-80.358001,108.722961,-25.940925,-4.857908,79.42,0.9,-2.2,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,-0.0019928960664538087,0.01012129111861948,-0.003375735969695426,0.004656641825173891,0.028262115730285364,-0.01418581702269639,0.013744062,1,-0.0019928960664538087,0.05799601276120503,0.05799601276120503
8,8,2023-08-18,2888.845,2905.349,2856.946,2882.503,AO8888.XSGE,2023,8,33,241,56,2023-08-10,78.3,54.81,1831.4,6.6,251.3,8.7,3243138.0,1269900.0,,-80.358001,108.722961,-25.940925,-4.857908,78.3,0.9,-2.2,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,0.025894509043008718,-0.0019928960664538087,0.01012129111861948,-0.003375735969695426,0.004656641825173891,0.028262115730285364,0.015065623,1,0.025894509043008718,0.08389052180421375,0.08389052180421375
9,9,2023-08-25,2880.375,2969.855,2875.381,2957.144,AO8888.XSGE,2023,8,34,242,56,2023-08-17,79.93,55.95,1831.4,6.6,251.3,8.7,3116638.0,1268814.0,,-80.358001,108.722961,-25.940925,-4.857908,79.93,0.9,-2.2,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,0.015451056830509513,0.025894509043008718,-0.0019928960664538087,0.01012129111861948,-0.003375735969695426,0.004656641825173891,0.01839494,1,0.015451056830509513,0.09934157863472326,0.09934157863472326
