,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2017-12-22,7876.359,8139.954,7769.264,7928.303,AP8888.XZCE,2017,12,51,-53,-12,,,,,,,,,,,,,,,,,,2017-11,7.2,4.1,6.6,4.4,8.9,10.7,10.1,11.9,-12.8,-1.1,7.3,10.5,1.8,4.1,5.8,6.4,2017.0,11.0,-0.0158972228987716,,,,,,0.5,1,-0.0158972228987716,-0.0158972228987716,-0.0158972228987716
1,1,2017-12-29,7916.173,7953.921,7714.827,7802.265,AP8888.XZCE,2017,12,52,-52,-12,,,,,,,,,,,,,,,,,,2017-11,7.2,4.1,6.6,4.4,8.9,10.7,10.1,11.9,-12.8,-1.1,7.3,10.5,1.8,4.1,5.8,6.4,2017.0,11.0,0.0028249489090665936,-0.0158972228987716,,,,,0.023798477,1,0.0028249489090665936,-0.013072273989705008,-0.013072273989705008
2,2,2018-01-05,7800.285,7853.567,7789.838,7824.306,AP8888.XZCE,2018,1,1,-51,-11,,,,,,,,,,,,,,,,,,2017-12,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.9,6.3,2017.0,12.0,-0.023165121609507566,0.0028249489090665936,-0.0158972228987716,,,,0.009549906,1,-0.023165121609507566,-0.036237395599212574,-0.036237395599212574
3,3,2018-01-12,7824.857,7829.75,7633.267,7643.055,AP8888.XZCE,2018,1,2,-50,-11,,,,,,,,,,,,,,,,,,2017-12,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.9,6.3,2017.0,12.0,-0.013453259200673084,-0.023165121609507566,0.0028249489090665936,-0.0158972228987716,,,0.007684074,1,-0.013453259200673084,-0.04969065479988566,-0.04969065479988566
4,4,2018-01-19,7640.241,7690.463,7520.103,7540.231,AP8888.XZCE,2018,1,3,-49,-11,,,,,,,,,,,,,,,,,,2017-12,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.9,6.3,2017.0,12.0,0.003140619962438862,-0.013453259200673084,-0.023165121609507566,0.0028249489090665936,-0.0158972228987716,,-0.0034482076,-1,-0.003140619962438862,-0.05283127476232452,-0.046550034837446796
5,5,2018-01-26,7558.402,7611.048,7534.143,7563.912,AP8888.XZCE,2018,1,4,-48,-11,,,,,,,,,,,,,,,,,,2017-12,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.9,6.3,2017.0,12.0,-0.034754238283047245,0.003140619962438862,-0.013453259200673084,-0.023165121609507566,0.0028249489090665936,-0.0158972228987716,-0.0034029782,-1,0.034754238283047245,-0.018077036479277275,-0.08130427312049404
6,6,2018-02-02,7565.432,7570.341,7294.507,7301.034,AP8888.XZCE,2018,2,5,-47,-10,,,,,,,,,,,,,,,,,,2018-01,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.3,4.3,2018.0,1.0,-0.09228925656283749,-0.034754238283047245,0.003140619962438862,-0.013453259200673084,-0.023165121609507566,0.0028249489090665936,-0.006524592,-1,0.09228925656283749,0.07421222008356021,-0.17359352968333153
7,7,2018-02-09,7293.378,7314.461,6558.575,6627.227,AP8888.XZCE,2018,2,6,-46,-10,,,,,,,,,,,,,,,,,,2018-01,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.3,4.3,2018.0,1.0,-0.03079885448317976,-0.09228925656283749,-0.034754238283047245,0.003140619962438862,-0.013453259200673084,-0.023165121609507566,-0.022855898,-1,0.03079885448317976,0.10501107456673997,-0.2043923841665113
8,8,2018-02-14,6630.524,6792.589,6364.918,6423.116,AP8888.XZCE,2018,2,7,-45,-10,,,,,,,,,,,,,,,,,,2018-01,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.3,4.3,2018.0,1.0,0.03756774749202729,-0.03079885448317976,-0.09228925656283749,-0.034754238283047245,0.003140619962438862,-0.013453259200673084,-0.025862353,-1,-0.03756774749202729,0.06744332707471268,-0.166824636674484
9,9,2018-02-23,6366.711,6664.418,6272.136,6664.418,AP8888.XZCE,2018,2,8,-44,-10,,,,,,,,,,,,,,,,,,2018-01,7.2,4.8,6.6,5.7,8.5,10.5,10.7,11.8,-6.8,-0.8,6.8,11.5,0.4,3.2,4.3,4.3,2018.0,1.0,0.016711136666397453,0.03756774749202729,-0.03079885448317976,-0.09228925656283749,-0.034754238283047245,0.003140619962438862,0.042415548,1,0.016711136666397453,0.08415446374111013,-0.15011350000808654
