,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-07,2568.502,2588.015,2513.468,2579.32,B8888.XDCE,2005,1,1,-727,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.005925980490982252,,,,,,0.5,1,-0.005925980490982252,-0.005925980490982252,-0.005925980490982252
1,1,2005-01-14,2585.092,2599.843,2559.677,2564.035,B8888.XDCE,2005,1,2,-726,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.0073271230696928535,-0.005925980490982252,,,,,0.03300248,1,-0.0073271230696928535,-0.013253103560675106,-0.013253103560675106
2,2,2005-01-21,2543.438,2575.408,2538.526,2545.248,B8888.XDCE,2005,1,3,-725,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.009268644941475168,-0.0073271230696928535,-0.005925980490982252,,,,0.009462368,1,-0.009268644941475168,-0.022521748502150274,-0.022521748502150274
3,3,2005-01-28,2540.771,2552.232,2512.956,2521.657,B8888.XDCE,2005,1,4,-724,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.0141470469615812,-0.009268644941475168,-0.0073271230696928535,-0.005925980490982252,,,0.0027854417,1,-0.0141470469615812,-0.036668795463731474,-0.036668795463731474
4,4,2005-02-04,2525.851,2525.851,2469.547,2485.983,B8888.XDCE,2005,2,5,-723,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.023438615630114956,-0.0141470469615812,-0.009268644941475168,-0.0073271230696928535,-0.005925980490982252,,0.000100662466,1,0.023438615630114956,-0.013230179833616518,-0.013230179833616518
5,5,2005-02-18,2533.125,2567.238,2509.804,2544.251,B8888.XDCE,2005,2,7,-721,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.03308557213891228,0.023438615630114956,-0.0141470469615812,-0.009268644941475168,-0.0073271230696928535,-0.005925980490982252,0.015881777,1,0.03308557213891228,0.01985539230529576,0.01985539230529576
6,6,2005-02-25,2547.368,2640.182,2529.952,2628.429,B8888.XDCE,2005,2,8,-720,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.06540522875071009,0.03308557213891228,0.023438615630114956,-0.0141470469615812,-0.009268644941475168,-0.0073271230696928535,0.04324305,1,0.06540522875071009,0.08526062105600585,0.08526062105600585
7,7,2005-03-04,2694.263,2821.94,2694.093,2800.342,B8888.XDCE,2005,3,9,-719,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.032487817559426535,0.06540522875071009,0.03308557213891228,0.023438615630114956,-0.0141470469615812,-0.009268644941475168,0.072007015,1,0.032487817559426535,0.11774843861543238,0.11774843861543238
8,8,2005-03-11,2819.525,2896.106,2773.835,2891.319,B8888.XDCE,2005,3,10,-718,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.03743447194861593,0.032487817559426535,0.06540522875071009,0.03308557213891228,0.023438615630114956,-0.0141470469615812,0.05678687,1,0.03743447194861593,0.15518291056404832,0.15518291056404832
9,9,2005-03-18,2950.98,3156.892,2943.273,2999.554,B8888.XDCE,2005,3,11,-717,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.0025470453274052396,0.03743447194861593,0.032487817559426535,0.06540522875071009,0.03308557213891228,0.023438615630114956,0.04906569,1,0.0025470453274052396,0.15772995589145355,0.15772995589145355
10,10,2005-03-25,2965.354,3013.916,2908.75,3007.194,B8888.XDCE,2005,3,12,-716,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.00023177753081449204,0.0025470453274052396,0.03743447194861593,0.032487817559426535,0.06540522875071009,0.03308557213891228,0.04110669,1,0.00023177753081449204,0.15796173342226805,0.15796173342226805
11,11,2005-04-01,3005.967,3077.94,2969.429,3007.891,B8888.XDCE,2005,4,13,-715,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,0.003783049319273868,0.00023177753081449204,0.0025470453274052396,0.03743447194861593,0.032487817559426535,0.06540522875071009,0.016692206,1,0.003783049319273868,0.16174478274154191,0.16174478274154191
12,12,2005-04-08,2987.622,3048.609,2926.647,3019.27,B8888.XDCE,2005,4,14,-714,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-0.0076137609422144426,0.003783049319273868,0.00023177753081449204,0.0025470453274052396,0.03743447194861593,0.032487817559426535,0.0122833615,1,-0.0076137609422144426,0.15413102179932747,0.15413102179932747
13,13,2005-04-15,3034.745,3049.422,2979.784,2996.282,B8888.XDCE,2005,4,15,-713,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,0.006811107899723723,-0.0076137609422144426,0.003783049319273868,0.00023177753081449204,0.0025470453274052396,0.03743447194861593,0.008965122,1,0.006811107899723723,0.1609421296990512,0.1609421296990512
14,14,2005-04-22,2985.065,3055.051,2974.613,3016.69,B8888.XDCE,2005,4,16,-712,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,0.0029568832064281736,0.006811107899723723,-0.0076137609422144426,0.003783049319273868,0.00023177753081449204,0.0025470453274052396,0.0111137545,1,0.0029568832064281736,0.16389901290547937,0.16389901290547937
15,15,2005-04-29,3044.489,3047.619,3004.041,3025.61,B8888.XDCE,2005,4,17,-711,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-0.010842441689444593,0.0029568832064281736,0.006811107899723723,-0.0076137609422144426,0.003783049319273868,0.00023177753081449204,0.010732073,1,-0.010842441689444593,0.15305657121603478,0.15305657121603478
