,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2023-08-04,10758.711,11428.727,10728.05,11329.432,BR8888.XSGE,2023,8,31,239,56,2023-07-27,81.9,54.72,,,,,3040065.0,937232.0,,,,,,81.9,,,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,-0.0011823187605521923,,,,,,0.5,1,-0.0011823187605521923,-0.0011823187605521923,-0.0011823187605521923
1,1,2023-08-11,11372.148,11471.283,11155.154,11316.037,BR8888.XSGE,2023,8,32,240,56,2023-08-03,79.42,54.1,1831.4,6.6,251.3,8.7,2711725.0,623546.0,,-80.358001,108.722961,-25.940925,-4.857908,79.42,0.9,-2.2,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,-0.005149417592042238,-0.0011823187605521923,,,,,0.037381135,1,-0.005149417592042238,-0.00633173635259443,-0.00633173635259443
2,2,2023-08-18,11315.404,11430.629,11210.213,11257.766,BR8888.XSGE,2023,8,33,241,56,2023-08-10,78.3,54.81,1831.4,6.6,251.3,8.7,3243138.0,1269900.0,,-80.358001,108.722961,-25.940925,-4.857908,78.3,0.9,-2.2,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,0.05276881754337426,-0.005149417592042238,-0.0011823187605521923,,,,0.012813151,1,0.05276881754337426,0.04643708119077983,0.04643708119077983
3,3,2023-08-25,11258.246,11876.787,11251.988,11851.825,BR8888.XSGE,2023,8,34,242,56,2023-08-17,79.93,55.95,1831.4,6.6,251.3,8.7,3116638.0,1268814.0,,-80.358001,108.722961,-25.940925,-4.857908,79.93,0.9,-2.2,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,0.11896800703689081,0.05276881754337426,-0.005149417592042238,-0.0011823187605521923,,,0.01295705,1,0.11896800703689081,0.16540508822767064,0.16540508822767064
4,4,2023-09-01,11868.003,13261.813,11765.551,13261.813,BR8888.XSGE,2023,9,35,243,57,2023-08-24,81.44,57.01,1831.4,6.6,251.3,8.7,2536286.0,1005584.0,,-80.358001,108.722961,-25.940925,-4.857908,81.44,0.9,-2.2,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,0.015610686110564265,0.11896800703689081,0.05276881754337426,-0.005149417592042238,-0.0011823187605521923,,0.08871177,1,0.015610686110564265,0.1810157743382349,0.1810157743382349
5,5,2023-09-08,13823.828,14508.863,13369.491,13468.839,BR8888.XSGE,2023,9,36,244,57,2023-08-31,81.32,56.92,2083.9,7.6,249.3,14.0,2183508.0,965547.0,,-99.00284,101.057922,-45.382582,-30.504382,81.32,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,0.02332792009764173,0.015610686110564265,0.11896800703689081,0.05276881754337426,-0.005149417592042238,-0.0011823187605521923,0.06099361,1,0.02332792009764173,0.20434369443587663,0.20434369443587663
6,6,2023-09-15,13554.997,14145.509,13241.562,13783.039,BR8888.XSGE,2023,9,37,245,57,2023-09-07,78.5,55.28,2083.9,7.6,249.3,14.0,1564787.0,805230.0,,-99.00284,101.057922,-45.382582,-30.504382,78.5,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.023617142779614908,0.02332792009764173,0.015610686110564265,0.11896800703689081,0.05276881754337426,-0.005149417592042238,0.124876246,1,-0.023617142779614908,0.18072655165626172,0.18072655165626172
7,7,2023-09-22,13801.885,13969.181,13089.741,13457.523,BR8888.XSGE,2023,9,38,246,57,2023-09-14,83.61,61.54,2083.9,7.6,249.3,14.0,1754905.0,951055.0,,-99.00284,101.057922,-45.382582,-30.504382,83.61,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.05658091760274153,-0.023617142779614908,0.02332792009764173,0.015610686110564265,0.11896800703689081,0.05276881754337426,0.00894352,1,-0.05658091760274153,0.12414563405352019,0.12414563405352019
8,8,2023-09-28,13494.249,13536.007,12599.586,12696.084,BR8888.XSGE,2023,9,39,247,57,2023-09-21,82.32,64.09,2083.9,7.6,249.3,14.0,1657442.0,935897.0,,-99.00284,101.057922,-45.382582,-30.504382,82.32,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,0.029393078999792266,-0.05658091760274153,-0.023617142779614908,0.02332792009764173,0.015610686110564265,0.11896800703689081,-0.025819303,-1,-0.029393078999792266,0.09475255505372793,0.15353871305331246
9,9,2023-10-13,12077.624,13178.666,12011.11,13069.261,BR8888.XSGE,2023,10,41,249,58,2023-09-21,82.32,64.09,2083.9,7.6,249.3,14.0,1657442.0,935897.0,,-99.00284,101.057922,-45.382582,-30.504382,82.32,0.6,-0.8,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,-0.03001569866880771,0.029393078999792266,-0.05658091760274153,-0.023617142779614908,0.02332792009764173,0.015610686110564265,-0.018288419,-1,0.03001569866880771,0.12476825372253564,0.12352301438450475
