,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-07,1153.651,1166.537,1144.339,1160.797,C8888.XDCE,2005,1,1,-727,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.0010225732837009227,,,,,,0.5,1,-0.0010225732837009227,-0.0010225732837009227,-0.0010225732837009227
1,1,2005-01-14,1160.75,1161.796,1152.511,1159.61,C8888.XDCE,2005,1,2,-726,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.00016212347254673798,-0.0010225732837009227,,,,,0.0375286,1,-0.00016212347254673798,-0.0011846967562476607,-0.0011846967562476607
2,2,2005-01-21,1154.803,1163.937,1154.638,1159.422,C8888.XDCE,2005,1,3,-725,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.0014196729059824387,-0.00016212347254673798,-0.0010225732837009227,,,,0.015304936,1,-0.0014196729059824387,-0.0026043696622300994,-0.0026043696622300994
3,3,2005-01-28,1159.068,1164.114,1154.419,1157.776,C8888.XDCE,2005,1,4,-724,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.002002978123574861,-0.0014196729059824387,-0.00016212347254673798,-0.0010225732837009227,,,0.009289918,1,-0.002002978123574861,-0.0046073477858049605,-0.0046073477858049605
4,4,2005-02-04,1157.96,1158.129,1145.704,1155.457,C8888.XDCE,2005,2,5,-723,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.00058678081486363,-0.002002978123574861,-0.0014196729059824387,-0.00016212347254673798,-0.0010225732837009227,,0.008969745,1,0.00058678081486363,-0.0040205669709413305,-0.0040205669709413305
5,5,2005-02-18,1162.446,1166.491,1152.916,1156.135,C8888.XDCE,2005,2,7,-721,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.006520864777902258,0.00058678081486363,-0.002002978123574861,-0.0014196729059824387,-0.00016212347254673798,-0.0010225732837009227,0.015192863,1,0.006520864777902258,0.002500297806960927,0.002500297806960927
6,6,2005-02-25,1158.554,1174.487,1153.689,1163.674,C8888.XDCE,2005,2,8,-720,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.02308464398104637,0.006520864777902258,0.00058678081486363,-0.002002978123574861,-0.0014196729059824387,-0.00016212347254673798,0.01931944,1,0.02308464398104637,0.025584941788007298,0.025584941788007298
7,7,2005-03-04,1174.742,1204.901,1172.744,1190.537,C8888.XDCE,2005,3,9,-719,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.03103305483155916,0.02308464398104637,0.006520864777902258,0.00058678081486363,-0.002002978123574861,-0.0014196729059824387,0.03021114,1,0.03103305483155916,0.05661799661956646,0.05661799661956646
8,8,2005-03-11,1193.979,1249.563,1184.193,1227.483,C8888.XDCE,2005,3,10,-718,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.029621591500656352,0.03103305483155916,0.02308464398104637,0.006520864777902258,0.00058678081486363,-0.002002978123574861,0.035652373,1,0.029621591500656352,0.08623958812022281,0.08623958812022281
9,9,2005-03-18,1247.531,1304.989,1228.589,1263.843,C8888.XDCE,2005,3,11,-717,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.03627824025610771,0.029621591500656352,0.03103305483155916,0.02308464398104637,0.006520864777902258,0.00058678081486363,0.037487432,1,0.03627824025610771,0.12251782837633052,0.12251782837633052
10,10,2005-03-25,1259.528,1325.714,1255.996,1309.693,C8888.XDCE,2005,3,12,-716,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.0031724992040118583,0.03627824025610771,0.029621591500656352,0.03103305483155916,0.02308464398104637,0.006520864777902258,0.041796103,1,-0.0031724992040118583,0.11934532917231866,0.11934532917231866
11,11,2005-04-01,1321.172,1324.564,1282.535,1305.538,C8888.XDCE,2005,4,13,-715,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-7.966064564957076e-05,-0.0031724992040118583,0.03627824025610771,0.029621591500656352,0.03103305483155916,0.02308464398104637,0.04021094,1,-7.966064564957076e-05,0.11926566852666909,0.11926566852666909
12,12,2005-04-08,1302.674,1316.813,1299.3,1305.434,C8888.XDCE,2005,4,14,-714,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-0.0015741891202466496,-7.966064564957076e-05,-0.0031724992040118583,0.03627824025610771,0.029621591500656352,0.03103305483155916,0.019832047,1,-0.0015741891202466496,0.11769147940642244,0.11769147940642244
13,13,2005-04-15,1305.633,1316.491,1296.678,1303.379,C8888.XDCE,2005,4,15,-713,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-0.000881554789512351,-0.0015741891202466496,-7.966064564957076e-05,-0.0031724992040118583,0.03627824025610771,0.029621591500656352,0.008564278,1,-0.000881554789512351,0.11680992461691009,0.11680992461691009
