,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-07,12458.421,12709.623,12379.459,12653.803,CF8888.XZCE,2005,1,1,-727,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.011391120914400199,,,,,,0.5,1,0.011391120914400199,0.011391120914400199,0.011391120914400199
1,1,2005-01-14,12731.639,12829.658,12596.061,12797.944,CF8888.XZCE,2005,1,2,-726,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.012067797765016097,0.011391120914400199,,,,,0.048987113,1,0.012067797765016097,0.023458918679416296,0.023458918679416296
2,2,2005-01-21,12776.274,13016.611,12731.727,12952.387,CF8888.XZCE,2005,1,3,-725,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.0008863231155772366,0.012067797765016097,0.011391120914400199,,,,0.027235445,1,-0.0008863231155772366,0.02257259556383906,0.02257259556383906
3,3,2005-01-28,12896.807,13158.566,12855.397,12940.907,CF8888.XZCE,2005,1,4,-724,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.019719406066359912,-0.0008863231155772366,0.012067797765016097,0.011391120914400199,,,0.017512038,1,0.019719406066359912,0.04229200163019897,0.04229200163019897
4,4,2005-02-04,12913.102,13277.55,12903.026,13196.094,CF8888.XZCE,2005,2,5,-723,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.023195121222992165,0.019719406066359912,-0.0008863231155772366,0.012067797765016097,0.011391120914400199,,0.019179909,1,0.023195121222992165,0.06548712285319114,0.06548712285319114
5,5,2005-02-18,13413.103,13527.535,13298.864,13502.179,CF8888.XZCE,2005,2,7,-721,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.016278039270550382,0.023195121222992165,0.019719406066359912,-0.0008863231155772366,0.012067797765016097,0.011391120914400199,0.036654335,1,0.016278039270550382,0.08176516212374152,0.08176516212374152
6,6,2005-02-25,13583.594,13778.79,13381.502,13721.968,CF8888.XZCE,2005,2,8,-720,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.023475058388126246,0.016278039270550382,0.023195121222992165,0.019719406066359912,-0.0008863231155772366,0.012067797765016097,0.03498828,1,0.023475058388126246,0.10524022051186777,0.10524022051186777
7,7,2005-03-04,13931.327,14052.293,13764.685,14044.092,CF8888.XZCE,2005,3,9,-719,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.012195234836114732,0.023475058388126246,0.016278039270550382,0.023195121222992165,0.019719406066359912,-0.0008863231155772366,0.035123806,1,-0.012195234836114732,0.09304498567575303,0.09304498567575303
8,8,2005-03-11,14138.285,14375.354,13825.835,13872.821,CF8888.XZCE,2005,3,10,-718,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.007416588161845317,-0.012195234836114732,0.023475058388126246,0.016278039270550382,0.023195121222992165,0.019719406066359912,0.027956437,1,0.007416588161845317,0.10046157383759835,0.10046157383759835
9,9,2005-03-18,13914.43,14546.823,13762.52,13975.71,CF8888.XZCE,2005,3,11,-717,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.018771425566214583,0.007416588161845317,-0.012195234836114732,0.023475058388126246,0.016278039270550382,0.023195121222992165,0.014383282,1,0.018771425566214583,0.11923299940381293,0.11923299940381293
