,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-07,29465.239,29531.877,28310.14,28709.159,CU8888.XSGE,2005,1,1,-727,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.004806271057957501,,,,,,0.5,1,0.004806271057957501,0.004806271057957501,0.004806271057957501
1,1,2005-01-14,28647.318,29079.896,28202.232,28847.143,CU8888.XSGE,2005,1,2,-726,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.02939192279803926,0.004806271057957501,,,,,0.04290894,1,0.02939192279803926,0.03419819385599676,0.03419819385599676
2,2,2005-01-21,28998.373,29703.226,28806.144,29695.016,CU8888.XSGE,2005,1,3,-725,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.008399860771248546,0.02939192279803926,0.004806271057957501,,,,0.03583988,1,0.008399860771248546,0.04259805462724531,0.04259805462724531
3,3,2005-01-28,29941.019,30314.647,29298.356,29944.45,CU8888.XSGE,2005,1,4,-724,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.018048085705364536,0.008399860771248546,0.02939192279803926,0.004806271057957501,,,0.03417893,1,-0.018048085705364536,0.02454996892188077,0.02454996892188077
4,4,2005-02-04,30151.054,30208.486,29003.732,29404.01,CU8888.XSGE,2005,2,5,-723,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.04904817404156803,-0.018048085705364536,0.008399860771248546,0.02939192279803926,0.004806271057957501,,0.034488805,1,0.04904817404156803,0.0735981429634488,0.0735981429634488
5,5,2005-02-18,30071.33,30859.052,29932.418,30846.223,CU8888.XSGE,2005,2,7,-721,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,-0.011687460082227985,0.04904817404156803,-0.018048085705364536,0.008399860771248546,0.02939192279803926,0.004806271057957501,0.016148278,1,-0.011687460082227985,0.06191068288122081,0.06191068288122081
6,6,2005-02-25,30619.3,30976.87,30378.482,30485.709,CU8888.XSGE,2005,2,8,-720,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.006909893419241087,-0.011687460082227985,0.04904817404156803,-0.018048085705364536,0.008399860771248546,0.02939192279803926,0.05700213,1,0.006909893419241087,0.0688205763004619,0.0688205763004619
7,7,2005-03-04,30764.114,31242.924,30340.561,30696.362,CU8888.XSGE,2005,3,9,-719,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.01510527534174888,0.006909893419241087,-0.011687460082227985,0.04904817404156803,-0.018048085705364536,0.008399860771248546,0.013565552,1,0.01510527534174888,0.08392585164221078,0.08392585164221078
8,8,2005-03-11,31032.368,31361.693,30857.206,31160.039,CU8888.XSGE,2005,3,10,-718,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.013536921439668115,0.01510527534174888,0.006909893419241087,-0.011687460082227985,0.04904817404156803,-0.018048085705364536,0.02012348,1,0.013536921439668115,0.0974627730818789,0.0974627730818789
9,9,2005-03-18,31028.144,32079.416,30980.69,31581.85,CU8888.XSGE,2005,3,11,-717,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.006393957288759244,0.013536921439668115,0.01510527534174888,0.006909893419241087,-0.011687460082227985,0.04904817404156803,0.021750784,1,0.006393957288759244,0.10385673037063814,0.10385673037063814
