,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2023-08-25,931.947,989.375,876.16,893.867,EC8888.XINE,2023,8,34,242,56,2023-08-17,79.93,55.95,,,,,3116638.0,1268814.0,,,,,,79.93,,,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,0.014690104903749779,,,,,,0.5,1,0.014690104903749779,0.014690104903749779,0.014690104903749779
1,1,2023-09-01,902.314,919.875,851.218,906.998,EC8888.XINE,2023,9,35,243,57,2023-08-24,81.44,57.01,,,,,2536286.0,1005584.0,,,,,,81.44,,,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,0.011538062928473813,0.014690104903749779,,,,,0.052032247,1,0.011538062928473813,0.026228167832223592,0.026228167832223592
2,2,2023-09-08,916.786,997.687,894.971,917.463,EC8888.XINE,2023,9,36,244,57,2023-08-31,81.32,56.92,2083.9,7.6,249.3,14.0,2183508.0,965547.0,,-99.00284,101.057922,-45.382582,-30.504382,81.32,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.013764042800636034,0.011538062928473813,0.014690104903749779,,,,0.028576093,1,-0.013764042800636034,0.012464125031587558,0.012464125031587558
3,3,2023-09-15,921.191,945.823,889.832,904.835,EC8888.XINE,2023,9,37,245,57,2023-09-07,78.5,55.28,2083.9,7.6,249.3,14.0,1564787.0,805230.0,,-99.00284,101.057922,-45.382582,-30.504382,78.5,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.006762558919582107,-0.013764042800636034,0.011538062928473813,0.014690104903749779,,,0.010733329,1,-0.006762558919582107,0.005701566112005452,0.005701566112005452
4,4,2023-09-22,904.919,934.905,890.244,898.716,EC8888.XINE,2023,9,38,246,57,2023-09-14,83.61,61.54,2083.9,7.6,249.3,14.0,1754905.0,951055.0,,-99.00284,101.057922,-45.382582,-30.504382,83.61,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.1871113900275504,-0.006762558919582107,-0.013764042800636034,0.011538062928473813,0.014690104903749779,,0.004505545,1,-0.1871113900275504,-0.18140982391554494,-0.18140982391554494
5,5,2023-09-28,896.866,905.595,718.315,730.556,EC8888.XINE,2023,9,39,247,57,2023-09-21,82.32,64.09,2083.9,7.6,249.3,14.0,1657442.0,935897.0,,-99.00284,101.057922,-45.382582,-30.504382,82.32,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,0.08723219027699436,-0.1871113900275504,-0.006762558919582107,-0.013764042800636034,0.011538062928473813,0.014690104903749779,-0.1361126,-1,-0.08723219027699436,-0.2686420141925393,-0.09417763363855058
6,6,2023-10-13,721.089,815.616,701.888,794.284,EC8888.XINE,2023,10,41,249,58,2023-09-21,82.32,64.09,2083.9,7.6,249.3,14.0,1657442.0,935897.0,,-99.00284,101.057922,-45.382582,-30.504382,82.32,0.6,-0.8,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,-0.05653267596980427,0.08723219027699436,-0.1871113900275504,-0.006762558919582107,-0.013764042800636034,0.011538062928473813,-0.1329331,-1,0.05653267596980427,-0.21210933822273503,-0.15071030960835485
7,7,2023-10-20,803.051,834.487,722.478,749.381,EC8888.XINE,2023,10,42,250,58,2023-10-12,88.78,69.11,2083.9,7.6,249.3,14.0,1495457.0,852497.0,,-99.00284,101.057922,-45.382582,-30.504382,88.78,0.6,-0.8,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,0.031420599134485805,-0.05653267596980427,0.08723219027699436,-0.1871113900275504,-0.006762558919582107,-0.013764042800636034,0.09797756,1,0.031420599134485805,-0.18068873908824923,-0.11928971047386905
8,8,2023-10-27,751.813,792.073,743.434,772.927,EC8888.XINE,2023,10,43,251,58,2023-10-19,90.02,70.08,2083.9,7.6,249.3,14.0,1576383.0,940765.0,,-99.00284,101.057922,-45.382582,-30.504382,90.02,0.6,-0.8,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,0.006192046596897205,0.031420599134485805,-0.05653267596980427,0.08723219027699436,-0.1871113900275504,-0.006762558919582107,-0.018278265,-1,-0.006192046596897205,-0.18688078568514643,-0.11309766387697184
9,9,2023-11-03,788.61,811.342,757.549,777.713,EC8888.XINE,2023,11,44,252,59,2023-10-26,88.65,69.01,2083.9,7.6,249.3,14.0,1543839.0,935196.0,,-99.00284,101.057922,-45.382582,-30.504382,88.65,0.6,-0.8,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.03630773820162447,0.006192046596897205,0.031420599134485805,-0.05653267596980427,0.08723219027699436,-0.1871113900275504,0.014888808,1,-0.03630773820162447,-0.2231885238867709,-0.14940540207859632
