,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2018-12-14,5600.261,5772.757,5469.33,5600.926,EG8888.XDCE,2018,12,50,-2,0,,,,,,,,,,,,,,,,,,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,-0.033898680325360586,,,,,,0.5,1,-0.033898680325360586,-0.033898680325360586,-0.033898680325360586
1,1,2018-12-21,5590.811,5630.746,5313.955,5411.062,EG8888.XDCE,2018,12,51,-1,0,,,,,,,,,,,,,,,,,,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,-0.05323391230778718,-0.033898680325360586,,,,,0.0071821455,1,-0.05323391230778718,-0.08713259263314777,-0.08713259263314777
2,2,2018-12-28,5374.21,5378.673,5077.369,5123.01,EG8888.XDCE,2018,12,52,0,0,,,,,,,,,,,,,,,,,,2018-11,5.9,9.5,3.7,3.9,6.7,7.3,12.4,10.7,-9.4,-9.0,0.2,-15.6,-16.7,-2.3,2.7,3.8,2018.0,11.0,0.004204949824419435,-0.05323391230778718,-0.033898680325360586,,,,-0.026304288,-1,-0.004204949824419435,-0.0913375424575672,-0.08292764280872833
3,3,2019-01-04,5096.535,5172.615,5037.459,5144.552,EG8888.XDCE,2019,1,1,1,1,,,,,,,,,,,,,,,,,,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,-0.006554312212219804,0.004204949824419435,-0.05323391230778718,-0.033898680325360586,,,-0.026825827,-1,0.006554312212219804,-0.0847832302453474,-0.08948195502094813
4,4,2019-01-11,5162.812,5191.839,5062.238,5110.833,EG8888.XDCE,2019,1,2,2,1,2019-01-03,69.39,52.2,2887.7,7.6,254.1,9.7,92434.0,80286.0,,-30.804135,-36.355475,22.676448,22.474795,69.39,-1.0,-5.1,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,0.009254655747898521,-0.006554312212219804,0.004204949824419435,-0.05323391230778718,-0.033898680325360586,,-0.021652518,-1,-0.009254655747898521,-0.09403788599324592,-0.08022729927304961
5,5,2019-01-18,5119.261,5240.88,5092.444,5158.132,EG8888.XDCE,2019,1,3,3,1,2019-01-10,72.8,53.36,2887.7,7.6,254.1,9.7,92434.0,80286.0,,-30.804135,-36.355475,22.676448,22.474795,72.8,-1.0,-5.1,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,0.01630939262508213,0.009254655747898521,-0.006554312212219804,0.004204949824419435,-0.05323391230778718,-0.033898680325360586,0.013639253,1,0.01630939262508213,-0.07772849336816379,-0.06391790664796748
6,6,2019-01-25,5220.083,5458.374,5188.971,5242.258,EG8888.XDCE,2019,1,4,4,1,2019-01-17,75.34,53.64,2887.7,7.6,254.1,9.7,92434.0,80286.0,,-30.804135,-36.355475,22.676448,22.474795,75.34,-1.0,-5.1,2018-12,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.9,3.5,2018.0,12.0,0.01597689392624324,0.01630939262508213,0.009254655747898521,-0.006554312212219804,0.004204949824419435,-0.05323391230778718,0.021274155,1,0.01597689392624324,-0.061751599441920546,-0.04794101272172424
7,7,2019-02-01,5261.094,5334.691,5142.03,5326.013,EG8888.XDCE,2019,2,5,5,2,2019-01-24,75.54,54.0,2887.7,7.6,254.1,9.7,92434.0,80286.0,,-30.804135,-36.355475,22.676448,22.474795,75.54,-1.0,-5.1,2019-01,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.1,0.1,2019.0,1.0,-0.03475789488309555,0.01597689392624324,0.01630939262508213,0.009254655747898521,-0.006554312212219804,0.004204949824419435,0.023706589,1,-0.03475789488309555,-0.0965094943250161,-0.0826989076048198
8,8,2019-02-15,5299.672,5303.654,5102.67,5140.892,EG8888.XDCE,2019,2,7,7,2,2019-01-24,75.54,54.0,2887.7,7.6,254.1,9.7,92434.0,80286.0,,-30.804135,-36.355475,22.676448,22.474795,75.54,-1.0,-5.1,2019-01,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.1,0.1,2019.0,1.0,0.0026954466267721244,-0.03475789488309555,0.01597689392624324,0.01630939262508213,0.009254655747898521,-0.006554312212219804,-0.0016613401,-1,-0.0026954466267721244,-0.09920494095178822,-0.08000346097804767
9,9,2019-02-22,5178.064,5193.032,5018.78,5154.749,EG8888.XDCE,2019,2,8,8,2,2019-02-14,83.78,57.75,2887.7,7.6,254.1,9.7,92434.0,80286.0,,-30.804135,-36.355475,22.676448,22.474795,83.78,-1.0,-5.1,2019-01,5.9,9.5,3.8,4.0,6.5,7.2,11.7,10.9,0.3,-14.7,0.4,-17.4,-14.9,-3.8,0.1,0.1,2019.0,1.0,0.028280911446900703,0.0026954466267721244,-0.03475789488309555,0.01597689392624324,0.01630939262508213,0.009254655747898521,-0.0037379512,-1,-0.028280911446900703,-0.12748585239868893,-0.051722549531146966
