,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-07,2002.145,2021.146,1979.271,2003.727,FU8888.XSGE,2005,1,1,-727,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.011880360947374546,,,,,,0.5,1,0.011880360947374546,0.011880360947374546,0.011880360947374546
1,1,2005-01-14,2009.969,2038.317,2002.689,2027.532,FU8888.XSGE,2005,1,2,-726,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.0042825464653578615,0.011880360947374546,,,,,0.04943871,1,-0.0042825464653578615,0.007597814482016685,0.007597814482016685
2,2,2005-01-21,2031.843,2047.632,2003.92,2018.849,FU8888.XSGE,2005,1,3,-725,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.007776708411575184,-0.0042825464653578615,0.011880360947374546,,,,0.019556742,1,0.007776708411575184,0.015374522893591869,0.015374522893591869
3,3,2005-01-28,2029.508,2044.025,2023.413,2034.549,FU8888.XSGE,2005,1,4,-724,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.0021641159785288355,0.007776708411575184,-0.0042825464653578615,0.011880360947374546,,,0.014907636,1,0.0021641159785288355,0.017538638872120704,0.017538638872120704
4,4,2005-02-04,2013.931,2043.639,2013.293,2038.952,FU8888.XSGE,2005,2,5,-723,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.014433885643212907,0.0021641159785288355,0.007776708411575184,-0.0042825464653578615,0.011880360947374546,,0.011988275,1,0.014433885643212907,0.03197252451533361,0.03197252451533361
5,5,2005-02-18,2048.101,2074.649,2042.997,2068.382,FU8888.XSGE,2005,2,7,-721,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.018584091333225583,0.014433885643212907,0.0021641159785288355,0.007776708411575184,-0.0042825464653578615,0.011880360947374546,0.023913933,1,0.018584091333225583,0.050556615848559194,0.050556615848559194
6,6,2005-02-25,2086.099,2127.153,2068.659,2106.821,FU8888.XSGE,2005,2,8,-720,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.05913791442177585,0.018584091333225583,0.014433885643212907,0.0021641159785288355,0.007776708411575184,-0.0042825464653578615,0.031863194,1,0.05913791442177585,0.10969453027033504,0.10969453027033504
7,7,2005-03-04,2124.522,2253.171,2117.412,2231.414,FU8888.XSGE,2005,3,9,-719,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.019811653059450096,0.05913791442177585,0.018584091333225583,0.014433885643212907,0.0021641159785288355,0.007776708411575184,0.06629085,1,0.019811653059450096,0.12950618332978514,0.12950618332978514
8,8,2005-03-11,2239.793,2323.375,2226.243,2275.622,FU8888.XSGE,2005,3,10,-718,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.06180200402351543,0.019811653059450096,0.05913791442177585,0.018584091333225583,0.014433885643212907,0.0021641159785288355,0.04936815,1,0.06180200402351543,0.19130818735330057,0.19130818735330057
9,9,2005-03-18,2307.239,2496.871,2302.549,2416.26,FU8888.XSGE,2005,3,11,-717,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.002404956420252846,0.06180200402351543,0.019811653059450096,0.05913791442177585,0.018584091333225583,0.014433885643212907,0.04637817,1,-0.002404956420252846,0.18890323093304773,0.18890323093304773
