,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-07,3000.001,3000.001,3000.001,3000.001,GN8888.XZCE,2005,1,1,-727,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,0.0,,,,,,0.5,1,0.0,0.0,0.0
1,1,2005-01-14,3000.001,3000.001,3000.001,3000.001,GN8888.XZCE,2005,1,2,-726,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,0.0,0.0,,,,,0.038472496,1,0.0,0.0,0.0
2,2,2005-01-21,3000.001,3000.001,3000.001,3000.001,GN8888.XZCE,2005,1,3,-725,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,-3.333332222466012e-07,0.0,0.0,,,,0.015878476,1,-3.333332222466012e-07,-3.333332222466012e-07,-3.333332222466012e-07
3,3,2005-01-28,3000.0,3000.0,3000.0,3000.0,GN8888.XZCE,2005,1,4,-724,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004,12,3.33333333379926e-07,-3.333332222466012e-07,0.0,0.0,,,0.01014032,1,3.33333333379926e-07,1.1113332476497817e-13,1.1113332476497817e-13
4,4,2005-02-04,3000.0,3000.001,3000.0,3000.001,GN8888.XZCE,2005,2,5,-723,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005,1,0.0,3.33333333379926e-07,-3.333332222466012e-07,0.0,0.0,,0.010140432,1,0.0,1.1113332476497817e-13,1.1113332476497817e-13
5,5,2005-02-18,3000.001,3000.001,3000.001,3000.001,GN8888.XZCE,2005,2,7,-721,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005,1,0.0,0.0,3.33333333379926e-07,-3.333332222466012e-07,0.0,0.0,0.015878636,1,0.0,1.1113332476497817e-13,1.1113332476497817e-13
6,6,2005-02-25,3000.001,3000.001,3000.001,3000.001,GN8888.XZCE,2005,2,8,-720,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005,1,0.0,0.0,0.0,3.33333333379926e-07,-3.333332222466012e-07,0.0,0.015878476,1,0.0,1.1113332476497817e-13,1.1113332476497817e-13
7,7,2005-03-04,3000.001,3000.001,3000.001,3000.001,GN8888.XZCE,2005,3,9,-719,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005,2,0.0,0.0,0.0,0.0,3.33333333379926e-07,-3.333332222466012e-07,0.015878476,1,0.0,1.1113332476497817e-13,1.1113332476497817e-13
8,8,2005-03-11,3000.001,3000.001,3000.001,3000.001,GN8888.XZCE,2005,3,10,-718,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005,2,0.0,0.0,0.0,0.0,0.0,3.33333333379926e-07,0.010140432,1,0.0,1.1113332476497817e-13,1.1113332476497817e-13
9,9,2005-03-18,3000.001,3000.001,3000.001,3000.001,GN8888.XZCE,2005,3,11,-717,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005,2,-3.333332222466012e-07,0.0,0.0,0.0,0.0,0.0,0.010140432,1,-3.333332222466012e-07,-3.3333311111327646e-07,-3.3333311111327646e-07
