,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2014-03-21,3256.342,3337.052,3234.498,3325.214,HC8888.XSGE,2014,3,12,-248,-57,,,,,,,,,,,,,,,,,,2014-02,17.9,15.12,12.5,,,11.0,,12.1,,-3.89,1.33,,,12.53,-2.0,-1.8,2014.0,2.0,0.017619918597720385,,,,,,0.5,1,0.017619918597720385,0.017619918597720385,0.017619918597720385
1,1,2014-03-28,3315.909,3401.863,3268.912,3383.804,HC8888.XSGE,2014,3,13,-247,-57,,,,,,,,,,,,,,,,,,2014-02,17.9,15.12,12.5,,,11.0,,12.1,,-3.89,1.33,,,12.53,-2.0,-1.8,2014.0,2.0,0.01701280570624064,0.017619918597720385,,,,,0.05473665,1,0.01701280570624064,0.03463272430396103,0.03463272430396103
2,2,2014-04-04,3397.58,3441.372,3384.239,3441.372,HC8888.XSGE,2014,4,14,-246,-56,,,,,,,,,,,,,,,,,,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,-0.0017065867915471156,0.01701280570624064,0.017619918597720385,,,,0.032644916,1,-0.0017065867915471156,0.03292613751241391,0.03292613751241391
3,3,2014-04-11,3451.502,3489.175,3431.334,3435.499,HC8888.XSGE,2014,4,15,-245,-56,,,,,,,,,,,,,,,,,,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,-0.022943682999180037,-0.0017065867915471156,0.01701280570624064,0.017619918597720385,,,0.01991054,1,-0.022943682999180037,0.009982454513233874,0.009982454513233874
4,4,2014-04-18,3435.663,3465.698,3348.502,3356.676,HC8888.XSGE,2014,4,16,-244,-56,,,,,,,,,,,,,,,,,,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,0.0067686008420235755,-0.022943682999180037,-0.0017065867915471156,0.01701280570624064,0.017619918597720385,,0.0022389402,1,0.0067686008420235755,0.01675105535525745,0.01675105535525745
5,5,2014-04-25,3343.353,3401.095,3326.222,3379.396,HC8888.XSGE,2014,4,17,-243,-56,,,,,,,,,,,,,,,,,,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,-0.010745411310186803,0.0067686008420235755,-0.022943682999180037,-0.0017065867915471156,0.01701280570624064,0.017619918597720385,0.0014854453,1,-0.010745411310186803,0.006005644045070646,0.006005644045070646
6,6,2014-04-30,3371.122,3376.238,3334.139,3343.083,HC8888.XSGE,2014,4,18,-242,-56,,,,,,,,,,,,,,,,,,2014-03,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,-6.0,-7.4,7.8,15.0,7.3,10.8,-2.3,-2.0,2014.0,3.0,-0.007419498708228334,-0.010745411310186803,0.0067686008420235755,-0.022943682999180037,-0.0017065867915471156,0.01701280570624064,-0.0017971803,-1,0.007419498708228334,0.01342514275329898,-0.0014138546631576876
7,7,2014-05-09,3333.88,3363.53,3231.843,3318.279,HC8888.XSGE,2014,5,19,-241,-55,,,,,,,,,,,,,,,,,,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,-0.013681489711986239,-0.007419498708228334,-0.010745411310186803,0.0067686008420235755,-0.022943682999180037,-0.0017065867915471156,0.005049728,1,-0.013681489711986239,-0.0002563469586872591,-0.015095344375143926
8,8,2014-05-16,3328.953,3345.593,3242.423,3272.88,HC8888.XSGE,2014,5,20,-240,-55,,,,,,,,,,,,,,,,,,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,0.0029921659211458174,-0.013681489711986239,-0.007419498708228334,-0.010745411310186803,0.0067686008420235755,-0.022943682999180037,-0.00025973748,-1,-0.0029921659211458174,-0.0032485128798330765,-0.012103178453998109
9,9,2014-05-23,3262.923,3315.215,3251.97,3282.673,HC8888.XSGE,2014,5,21,-239,-55,,,,,,,,,,,,,,,,,,2014-04,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,-12.51,-9.51,5.39,1.11,8.07,8.36,-2.0,-1.99,2014.0,4.0,-0.00528959174428878,0.0029921659211458174,-0.013681489711986239,-0.007419498708228334,-0.010745411310186803,0.0067686008420235755,0.0033755405,1,-0.00528959174428878,-0.008538104624121856,-0.01739277019828689
