,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2010-04-16,3474.055,3514.659,3432.499,3435.308,IF8888.CCFX,2010,4,15,-453,-104,,,,,,,,,,,,,,,,,,2010-03,26.4,25.8,18.9,17.6,22.3,22.3,19.6,19.2,12.1,15.2,23.5,18.2,51.5,73.2,5.91,5.21,2010.0,3.0,-0.05761055486145639,,,,,,0.5,1,-0.05761055486145639,-0.05761055486145639,-0.05761055486145639
1,1,2010-04-23,3414.444,3416.017,3184.809,3237.398,IF8888.CCFX,2010,4,16,-452,-104,,,,,,,,,,,,,,,,,,2010-03,26.4,25.8,18.9,17.6,22.3,22.3,19.6,19.2,12.1,15.2,23.5,18.2,51.5,73.2,5.91,5.21,2010.0,3.0,-0.034644180295410165,-0.05761055486145639,,,,,-0.014705222,-1,0.034644180295410165,-0.02296637456604622,-0.09225473515686655
2,2,2010-04-30,3258.231,3267.571,3062.854,3125.241,IF8888.CCFX,2010,4,17,-451,-104,,,,,,,,,,,,,,,,,,2010-03,26.4,25.8,18.9,17.6,22.3,22.3,19.6,19.2,12.1,15.2,23.5,18.2,51.5,73.2,5.91,5.21,2010.0,3.0,-0.0656691755931782,-0.034644180295410165,-0.05761055486145639,,,,-0.027900165,-1,0.0656691755931782,0.042702801027131976,-0.15792391075004475
3,3,2010-05-07,3101.05,3113.894,2888.371,2920.009,IF8888.CCFX,2010,5,18,-450,-103,,,,,,,,,,,,,,,,,,2010-04,26.1,24.6,18.9,18.4,23.3,22.8,20.0,19.8,8.5,13.2,22.8,31.1,34.6,61.9,6.81,5.61,2010.0,4.0,-0.01409242231787644,-0.0656691755931782,-0.034644180295410165,-0.05761055486145639,,,-0.028788596,-1,0.01409242231787644,0.056795223345008417,-0.1720163330679212
4,4,2010-05-14,2931.374,2980.12,2801.779,2878.859,IF8888.CCFX,2010,5,19,-449,-103,,,,,,,,,,,,,,,,,,2010-04,26.1,24.6,18.9,18.4,23.3,22.8,20.0,19.8,8.5,13.2,22.8,31.1,34.6,61.9,6.81,5.61,2010.0,4.0,-0.023855979052812226,-0.01409242231787644,-0.0656691755931782,-0.034644180295410165,-0.05761055486145639,,-0.036299855,-1,0.023855979052812226,0.08065120239782064,-0.19587231212073342
5,5,2010-05-21,2850.865,2861.851,2684.442,2810.181,IF8888.CCFX,2010,5,20,-448,-103,,,,,,,,,,,,,,,,,,2010-04,26.1,24.6,18.9,18.4,23.3,22.8,20.0,19.8,8.5,13.2,22.8,31.1,34.6,61.9,6.81,5.61,2010.0,4.0,0.02312413328536489,-0.023855979052812226,-0.01409242231787644,-0.0656691755931782,-0.034644180295410165,-0.05761055486145639,-0.016018149,-1,-0.02312413328536489,0.05752706911245575,-0.17274817883536853
6,6,2010-05-28,2827.574,2956.334,2800.661,2875.164,IF8888.CCFX,2010,5,21,-447,-103,,,,,,,,,,,,,,,,,,2010-04,26.1,24.6,18.9,18.4,23.3,22.8,20.0,19.8,8.5,13.2,22.8,31.1,34.6,61.9,6.81,5.61,2010.0,4.0,-0.036317928299046565,0.02312413328536489,-0.023855979052812226,-0.01409242231787644,-0.0656691755931782,-0.034644180295410165,0.028910004,1,-0.036317928299046565,0.02120914081340919,-0.2090661071344151
7,7,2010-06-04,2858.074,2907.609,2728.239,2770.744,IF8888.CCFX,2010,6,22,-446,-102,,,,,,,,,,,,,,,,,,2010-05,25.9,24.8,19.0,18.9,20.0,21.9,21.1,20.6,26.4,16.2,28.2,31.9,26.6,53.6,7.13,5.9,2010.0,5.0,0.004616088675099439,-0.036317928299046565,0.02312413328536489,-0.023855979052812226,-0.01409242231787644,-0.0656691755931782,0.028839719,1,0.004616088675099439,0.025825229488508628,-0.20445001845931565
8,8,2010-06-11,2710.656,2816.918,2689.683,2783.534,IF8888.CCFX,2010,6,23,-445,-102,,,,,,,,,,,,,,,,,,2010-05,25.9,24.8,19.0,18.9,20.0,21.9,21.1,20.6,26.4,16.2,28.2,31.9,26.6,53.6,7.13,5.9,2010.0,5.0,-0.020080228946368295,0.004616088675099439,-0.036317928299046565,0.02312413328536489,-0.023855979052812226,-0.01409242231787644,-0.0059660403,-1,0.020080228946368295,0.04590545843487692,-0.22453024740568395
9,9,2010-06-18,2807.12,2810.047,2716.806,2727.64,IF8888.CCFX,2010,6,24,-444,-102,,,,,,,,,,,,,,,,,,2010-05,25.9,24.8,19.0,18.9,20.0,21.9,21.1,20.6,26.4,16.2,28.2,31.9,26.6,53.6,7.13,5.9,2010.0,5.0,0.013822571893651547,-0.020080228946368295,0.004616088675099439,-0.036317928299046565,0.02312413328536489,-0.023855979052812226,0.010352372,1,0.013822571893651547,0.05972803032852847,-0.2107076755120324
