,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2022-07-29,6891.741,7103.288,6771.913,7024.024,IM8888.CCFX,2022,7,30,186,43,2022-07-21,81.91,53.86,,,,,943217.0,511756.0,,,,,,81.91,,,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,7.7,2022.0,6.0,-0.0020589337394064655,,,,,,0.5,1,-0.0020589337394064655,-0.0020589337394064655,-0.0020589337394064655
1,1,2022-08-05,7009.742,7074.186,6709.139,7009.562,IM8888.CCFX,2022,8,31,187,44,2022-07-28,76.53,50.32,1692.39372,-0.8,225.15599,1.0,892389.0,435617.0,,-83.450836,-17.771052,413.807517,12.557453,76.53,3.1,8.8,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022.0,7.0,0.017963747235561822,-0.0020589337394064655,,,,,0.036571987,1,0.017963747235561822,0.015904813496155357,0.015904813496155357
2,2,2022-08-12,6990.801,7218.258,6964.109,7135.48,IM8888.CCFX,2022,8,32,188,44,2022-08-04,73.48,48.32,1692.39372,-0.8,225.15599,1.0,808964.0,334735.0,,-83.450836,-17.771052,413.807517,12.557453,73.48,3.1,8.8,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022.0,7.0,-9.599914791991182e-05,0.017963747235561822,-0.0020589337394064655,,,,0.024357935,1,-9.599914791991182e-05,0.015808814348235445,0.015808814348235445
3,3,2022-08-19,7120.726,7277.902,7114.291,7134.795,IM8888.CCFX,2022,8,33,189,44,2022-08-11,78.78,51.8,1692.39372,-0.8,225.15599,1.0,767763.0,355535.0,,-83.450836,-17.771052,413.807517,12.557453,78.78,3.1,8.8,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022.0,7.0,-0.04358163058644293,-9.599914791991182e-05,0.017963747235561822,-0.0020589337394064655,,,0.02283857,1,-0.04358163058644293,-0.027772816238207487,-0.027772816238207487
4,4,2022-08-26,7103.561,7186.732,6780.699,6823.849,IM8888.CCFX,2022,8,34,190,44,2022-08-18,72.05,47.38,1692.39372,-0.8,225.15599,1.0,746740.0,404975.0,,-83.450836,-17.771052,413.807517,12.557453,72.05,3.1,8.8,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,7.2,2022.0,7.0,-0.027275222532034404,-0.04358163058644293,-9.599914791991182e-05,0.017963747235561822,-0.0020589337394064655,,0.022700338,1,-0.027275222532034404,-0.05504803877024189,-0.05504803877024189
5,5,2022-09-02,6729.216,6889.452,6562.366,6637.727,IM8888.CCFX,2022,9,35,191,45,2022-08-25,70.23,46.18,1692.39372,-0.8,225.15599,1.0,824395.0,488867.0,,-83.450836,-17.771052,413.807517,12.557453,70.23,3.1,8.8,2022-08,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022.0,8.0,0.02731085505625641,-0.027275222532034404,-0.04358163058644293,-9.599914791991182e-05,0.017963747235561822,-0.0020589337394064655,-0.019161062,-1,-0.02731085505625641,-0.0823588938264983,-0.02773718371398548
6,6,2022-09-09,6626.351,6861.003,6597.571,6819.009,IM8888.CCFX,2022,9,36,192,45,2022-08-25,70.23,46.18,1692.39372,-0.8,225.15599,1.0,824395.0,488867.0,,-83.450836,-17.771052,413.807517,12.557453,70.23,3.1,8.8,2022-08,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022.0,8.0,-0.07034335927698576,0.02731085505625641,-0.027275222532034404,-0.04358163058644293,-9.599914791991182e-05,0.017963747235561822,0.03332766,1,-0.07034335927698576,-0.15270225310348406,-0.09808054299097124
7,7,2022-09-16,6831.532,6858.756,6327.534,6339.337,IM8888.CCFX,2022,9,37,193,45,2022-09-08,77.64,51.05,1692.39372,-0.8,225.15599,1.0,798212.0,493228.0,,-83.450836,-17.771052,413.807517,12.557453,77.64,3.1,8.8,2022-08,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022.0,8.0,-0.015327470364803197,-0.07034335927698576,0.02731085505625641,-0.027275222532034404,-0.04358163058644293,-9.599914791991182e-05,-0.018008282,-1,0.015327470364803197,-0.13737478273868087,-0.11340801335577444
8,8,2022-09-23,6295.81,6416.024,6158.87,6242.171,IM8888.CCFX,2022,9,38,194,45,2022-09-15,82.35,54.15,1692.39372,-0.8,225.15599,1.0,828912.0,502885.0,,-83.450836,-17.771052,413.807517,12.557453,82.35,3.1,8.8,2022-08,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022.0,8.0,-0.034432892017857375,-0.015327470364803197,-0.07034335927698576,0.02731085505625641,-0.027275222532034404,-0.04358163058644293,0.03181466,1,-0.034432892017857375,-0.17180767475653824,-0.14784090537363181
9,9,2022-09-30,6213.353,6326.707,6018.143,6027.235,IM8888.CCFX,2022,9,39,195,45,2022-09-22,83.05,54.61,1692.39372,-0.8,225.15599,1.0,858857.0,526452.0,,-83.450836,-17.771052,413.807517,12.557453,83.05,3.1,8.8,2022-08,5.8,10.0,-0.2,-2.3,0.8,-1.9,4.5,4.3,8.0,2.9,-10.5,-13.5,39.0,6.1,2.3,6.6,2022.0,8.0,0.050814013390883206,-0.034432892017857375,-0.015327470364803197,-0.07034335927698576,0.02731085505625641,-0.027275222532034404,-0.026009576,-1,-0.050814013390883206,-0.22262168814742145,-0.09702689198274861
