,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2011-04-15,2299.811,2301.205,2227.363,2249.717,J8888.XDCE,2011,4,15,-401,-92,,,,,,,,,,,,,,,,,,2011-03,25.0,29.2,19.7,19.8,20.3,21.8,23.8,24.4,33.7,36.6,21.8,24.1,9.9,10.3,7.31,7.06,2011.0,3.0,0.03628278579039046,,,,,,0.5,1,0.03628278579039046,0.03628278579039046,0.03628278579039046
1,1,2011-04-22,2237.043,2396.139,2236.899,2331.343,J8888.XDCE,2011,4,16,-400,-92,,,,,,,,,,,,,,,,,,2011-03,25.0,29.2,19.7,19.8,20.3,21.8,23.8,24.4,33.7,36.6,21.8,24.1,9.9,10.3,7.31,7.06,2011.0,3.0,-0.00017371961139989178,0.03628278579039046,,,,,0.07196349,1,-0.00017371961139989178,0.03610906617899057,0.03610906617899057
2,2,2011-04-29,2341.676,2360.43,2304.775,2330.938,J8888.XDCE,2011,4,17,-399,-92,,,,,,,,,,,,,,,,,,2011-03,25.0,29.2,19.7,19.8,20.3,21.8,23.8,24.4,33.7,36.6,21.8,24.1,9.9,10.3,7.31,7.06,2011.0,3.0,-0.024562643879845747,-0.00017371961139989178,0.03628278579039046,,,,0.04363744,1,-0.024562643879845747,0.01154642229914482,0.01154642229914482
3,3,2011-05-06,2332.498,2355.941,2256.572,2273.684,J8888.XDCE,2011,5,18,-398,-91,,,,,,,,,,,,,,,,,,2011-04,25.4,29.0,19.2,17.2,19.9,21.6,20.4,23.3,16.0,30.7,23.4,30.9,-1.6,6.9,6.82,7.0,2011.0,4.0,0.06410565408385671,-0.024562643879845747,-0.00017371961139989178,0.03628278579039046,,,0.0024221835,1,0.06410565408385671,0.07565207638300153,0.07565207638300153
4,4,2011-05-13,2282.095,2444.408,2275.435,2419.44,J8888.XDCE,2011,5,19,-397,-91,,,,,,,,,,,,,,,,,,2011-04,25.4,29.0,19.2,17.2,19.9,21.6,20.4,23.3,16.0,30.7,23.4,30.9,-1.6,6.9,6.82,7.0,2011.0,4.0,-0.017509423668286783,0.06410565408385671,-0.024562643879845747,-0.00017371961139989178,0.03628278579039046,,0.007654341,1,-0.017509423668286783,0.05814265271471475,0.05814265271471475
5,5,2011-05-20,2415.405,2423.916,2363.35,2377.077,J8888.XDCE,2011,5,20,-396,-91,,,,,,,,,,,,,,,,,,2011-04,25.4,29.0,19.2,17.2,19.9,21.6,20.4,23.3,16.0,30.7,23.4,30.9,-1.6,6.9,6.82,7.0,2011.0,4.0,-0.0020672447716251208,-0.017509423668286783,0.06410565408385671,-0.024562643879845747,-0.00017371961139989178,0.03628278579039046,0.07022965,1,-0.0020672447716251208,0.05607540794308963,0.05607540794308963
6,6,2011-05-27,2388.358,2389.425,2347.052,2372.163,J8888.XDCE,2011,5,21,-395,-91,,,,,,,,,,,,,,,,,,2011-04,25.4,29.0,19.2,17.2,19.9,21.6,20.4,23.3,16.0,30.7,23.4,30.9,-1.6,6.9,6.82,7.0,2011.0,4.0,-0.01859231427182695,-0.0020672447716251208,-0.017509423668286783,0.06410565408385671,-0.024562643879845747,-0.00017371961139989178,0.006952521,1,-0.01859231427182695,0.03748309367126268,0.03748309367126268
7,7,2011-06-03,2371.441,2383.065,2321.946,2328.059,J8888.XDCE,2011,6,22,-394,-90,,,,,,,,,,,,,,,,,,2011-05,25.8,31.2,18.7,17.8,18.9,20.5,19.7,22.7,16.5,27.0,23.9,26.6,-1.9,5.2,6.79,6.96,2011.0,5.0,-0.006566414339155613,-0.01859231427182695,-0.0020672447716251208,-0.017509423668286783,0.06410565408385671,-0.024562643879845747,0.0030541176,1,-0.006566414339155613,0.030916679332107067,0.030916679332107067
8,8,2011-06-10,2322.997,2342.686,2307.724,2312.772,J8888.XDCE,2011,6,23,-393,-90,,,,,,,,,,,,,,,,,,2011-05,25.8,31.2,18.7,17.8,18.9,20.5,19.7,22.7,16.5,27.0,23.9,26.6,-1.9,5.2,6.79,6.96,2011.0,5.0,-0.0018436750358444831,-0.006566414339155613,-0.01859231427182695,-0.0020672447716251208,-0.017509423668286783,0.06410565408385671,0.0009844,1,-0.0018436750358444831,0.029073004296262583,0.029073004296262583
9,9,2011-06-17,2307.593,2353.812,2296.92,2308.508,J8888.XDCE,2011,6,24,-392,-90,,,,,,,,,,,,,,,,,,2011-05,25.8,31.2,18.7,17.8,18.9,20.5,19.7,22.7,16.5,27.0,23.9,26.6,-1.9,5.2,6.79,6.96,2011.0,5.0,-0.0022040209520607368,-0.0018436750358444831,-0.006566414339155613,-0.01859231427182695,-0.0020672447716251208,-0.017509423668286783,0.0010431632,1,-0.0022040209520607368,0.026868983344201847,0.026868983344201847
