,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2013-11-08,4144.396,4180.483,4068.084,4076.828,JD8888.XDCE,2013,11,45,-267,-61,,,,,,,,,,,,,,,,,,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013.0,10.0,0.019269638061747862,,,,,,0.5,1,0.019269638061747862,0.019269638061747862,0.019269638061747862
1,1,2013-11-15,4078.839,4160.121,4034.42,4155.387,JD8888.XDCE,2013,11,46,-266,-61,,,,,,,,,,,,,,,,,,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013.0,10.0,-0.0020992027938673274,0.019269638061747862,,,,,0.05625941,1,-0.0020992027938673274,0.017170435267880535,0.017170435267880535
2,2,2013-11-22,4145.743,4164.754,4120.862,4146.664,JD8888.XDCE,2013,11,47,-265,-61,,,,,,,,,,,,,,,,,,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013.0,10.0,0.025943023114484376,-0.0020992027938673274,0.019269638061747862,,,,0.025795113,1,0.025943023114484376,0.04311345838236491,0.04311345838236491
3,3,2013-11-29,4151.648,4294.172,4149.698,4254.241,JD8888.XDCE,2013,11,48,-264,-61,,,,,,,,,,,,,,,,,,2013-10,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,-2.84,5.32,-8.33,1.33,25.26,17.23,-1.51,-2.01,2013.0,10.0,-0.009331629308259592,0.025943023114484376,-0.0020992027938673274,0.019269638061747862,,,0.021227831,1,-0.009331629308259592,0.03378182907410532,0.03378182907410532
4,4,2013-12-06,4257.569,4277.703,4194.945,4214.542,JD8888.XDCE,2013,12,49,-263,-60,,,,,,,,,,,,,,,,,,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013.0,11.0,-0.006853651001698435,-0.009331629308259592,0.025943023114484376,-0.0020992027938673274,0.019269638061747862,,0.03139297,1,-0.006853651001698435,0.026928178072406883,0.026928178072406883
5,5,2013-12-13,4226.483,4271.878,4176.761,4185.657,JD8888.XDCE,2013,12,50,-262,-60,,,,,,,,,,,,,,,,,,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013.0,11.0,-0.029070943940222582,-0.006853651001698435,-0.009331629308259592,0.025943023114484376,-0.0020992027938673274,0.019269638061747862,0.012724772,1,-0.029070943940222582,-0.002142765867815699,-0.002142765867815699
6,6,2013-12-20,4193.264,4206.702,4049.921,4063.976,JD8888.XDCE,2013,12,51,-261,-60,,,,,,,,,,,,,,,,,,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013.0,11.0,-0.0014448904225813353,-0.029070943940222582,-0.006853651001698435,-0.009331629308259592,0.025943023114484376,-0.0020992027938673274,-0.006057303,-1,0.0014448904225813353,-0.0006978754452343638,-0.0035876562903970344
7,7,2013-12-27,4055.106,4112.838,4029.827,4058.104,JD8888.XDCE,2013,12,52,-260,-60,,,,,,,,,,,,,,,,,,2013-11,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,-11.73,3.64,-7.84,-1.96,25.64,18.11,-1.42,-1.96,2013.0,11.0,0.011730354865227888,-0.0014448904225813353,-0.029070943940222582,-0.006853651001698435,-0.009331629308259592,0.025943023114484376,-0.0048121214,-1,-0.011730354865227888,-0.012428230310462252,0.008142698574830853
8,8,2014-01-03,4061.823,4123.372,4032.759,4105.707,JD8888.XDCE,2014,1,1,-259,-59,,,,,,,,,,,,,,,,,,2013-12,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,-12.87,2.02,-1.54,8.33,22.91,18.4,-1.36,-1.91,2013.0,12.0,-0.042866429582042787,0.011730354865227888,-0.0014448904225813353,-0.029070943940222582,-0.006853651001698435,-0.009331629308259592,0.017187236,1,-0.042866429582042787,-0.05529465989250504,-0.03472373100721193
60,60,2014-12-31,4377.556,4459.681,4290.066,4309.368,JD8888.XDCE,2014,12,1,-259,-48,,,,,,,,,,,,,,,,,,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,0.001814651243523313,-0.015457752488161391,-0.0006842428260668276,-0.04300782304044348,-0.0014763401599430237,0.024682432483789096,-0.0017976792,-1,-0.001814651243523313,-0.05710931113602835,-0.03290907976368862
