,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2013-03-22,1280.605,1304.482,1257.424,1267.439,JM8888.XDCE,2013,3,12,-300,-69,,,,,,,,,,,,,,,,,,2013-02,21.2,17.0,13.2,,,9.2,,6.5,25.0,39.4,3.5,-15.9,-16.0,12.4,-1.63,-1.63,2013.0,2.0,-0.019827384197582787,,,,,,0.5,1,-0.019827384197582787,-0.019827384197582787,-0.019827384197582787
1,1,2013-03-29,1276.13,1286.366,1233.098,1242.309,JM8888.XDCE,2013,3,13,-299,-69,,,,,,,,,,,,,,,,,,2013-02,21.2,17.0,13.2,,,9.2,,6.5,25.0,39.4,3.5,-15.9,-16.0,12.4,-1.63,-1.63,2013.0,2.0,-0.020170505083678902,-0.019827384197582787,,,,,0.020170717,1,-0.020170505083678902,-0.03999788928126169,-0.03999788928126169
2,2,2013-04-03,1236.856,1243.895,1193.125,1217.251,JM8888.XDCE,2013,4,14,-298,-68,,,,,,,,,,,,,,,,,,2013-03,20.9,18.7,13.4,12.9,7.8,8.4,6.6,7.1,12.5,24.5,-9.0,-12.3,12.4,13.5,-1.92,-1.73,2013.0,3.0,-0.005655366066653511,-0.020170505083678902,-0.019827384197582787,,,,-0.0034853637,-1,0.005655366066653511,-0.03434252321460818,-0.0456532553479152
3,3,2013-04-12,1200.855,1233.207,1198.625,1210.367,JM8888.XDCE,2013,4,15,-297,-68,,,,,,,,,,,,,,,,,,2013-03,20.9,18.7,13.4,12.9,7.8,8.4,6.6,7.1,12.5,24.5,-9.0,-12.3,12.4,13.5,-1.92,-1.73,2013.0,3.0,-0.03768030688212742,-0.005655366066653511,-0.020170505083678902,-0.019827384197582787,,,-0.005696048,-1,0.03768030688212742,0.003337783667519245,-0.08333356223004262
4,4,2013-04-19,1192.38,1196.421,1128.752,1164.76,JM8888.XDCE,2013,4,16,-296,-68,,,,,,,,,,,,,,,,,,2013-03,20.9,18.7,13.4,12.9,7.8,8.4,6.6,7.1,12.5,24.5,-9.0,-12.3,12.4,13.5,-1.92,-1.73,2013.0,3.0,-0.020936501940313823,-0.03768030688212742,-0.005655366066653511,-0.020170505083678902,-0.019827384197582787,,-0.00036519923,-1,0.020936501940313823,0.024274285607833068,-0.10427006417035645
5,5,2013-04-26,1162.667,1165.747,1130.869,1140.374,JM8888.XDCE,2013,4,17,-295,-68,,,,,,,,,,,,,,,,,,2013-03,20.9,18.7,13.4,12.9,7.8,8.4,6.6,7.1,12.5,24.5,-9.0,-12.3,12.4,13.5,-1.92,-1.73,2013.0,3.0,-0.007779903785950948,-0.020936501940313823,-0.03768030688212742,-0.005655366066653511,-0.020170505083678902,-0.019827384197582787,-0.0048368825,-1,0.007779903785950948,0.032054189393784016,-0.1120499679563074
6,6,2013-05-03,1125.567,1140.453,1104.582,1131.502,JM8888.XDCE,2013,5,18,-294,-67,,,,,,,,,,,,,,,,,,2013-04,20.6,18.4,12.9,12.3,10.5,9.1,7.3,6.3,0.9,9.3,-4.0,-1.5,18.3,15.4,-2.62,-1.95,2013.0,4.0,0.01883337369266691,-0.007779903785950948,-0.020936501940313823,-0.03768030688212742,-0.005655366066653511,-0.020170505083678902,-0.014140757,-1,-0.01883337369266691,0.013220815701117106,-0.09321659426364048
7,7,2013-05-10,1148.95,1155.761,1133.418,1152.812,JM8888.XDCE,2013,5,19,-293,-67,,,,,,,,,,,,,,,,,,2013-04,20.6,18.4,12.9,12.3,10.5,9.1,7.3,6.3,0.9,9.3,-4.0,-1.5,18.3,15.4,-2.62,-1.95,2013.0,4.0,0.011585583772549146,0.01883337369266691,-0.007779903785950948,-0.020936501940313823,-0.03768030688212742,-0.005655366066653511,0.024144879,1,0.011585583772549146,0.024806399473666252,-0.08163101049109134
8,8,2013-05-17,1152.993,1189.733,1128.479,1166.168,JM8888.XDCE,2013,5,20,-292,-67,,,,,,,,,,,,,,,,,,2013-04,20.6,18.4,12.9,12.3,10.5,9.1,7.3,6.3,0.9,9.3,-4.0,-1.5,18.3,15.4,-2.62,-1.95,2013.0,4.0,-0.012601957865418956,0.011585583772549146,0.01883337369266691,-0.007779903785950948,-0.020936501940313823,-0.03768030688212742,0.020600034,1,-0.012601957865418956,0.012204441608247296,-0.0942329683565103
9,9,2013-05-24,1164.217,1181.271,1150.368,1151.472,JM8888.XDCE,2013,5,21,-291,-67,,,,,,,,,,,,,,,,,,2013-04,20.6,18.4,12.9,12.3,10.5,9.1,7.3,6.3,0.9,9.3,-4.0,-1.5,18.3,15.4,-2.62,-1.95,2013.0,4.0,-0.04432760848722328,-0.012601957865418956,0.011585583772549146,0.01883337369266691,-0.007779903785950948,-0.020936501940313823,0.017280193,1,-0.04432760848722328,-0.032123166878975984,-0.13856057684373357
