,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2007-08-03,12808.801,12934.324,12244.389,12477.372,L8888.XDCE,2007,8,31,-593,-136,,,,,,,,,,,,,,,,,,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007.0,7.0,0.016270413353068225,,,,,,0.5,1,0.016270413353068225,0.016270413353068225,0.016270413353068225
1,1,2007-08-10,12421.795,12831.105,12420.11,12680.384,L8888.XDCE,2007,8,32,-592,-136,,,,,,,,,,,,,,,,,,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007.0,7.0,-0.016112997839813015,0.016270413353068225,,,,,0.053490978,1,-0.016112997839813015,0.0001574155132552102,0.0001574155132552102
2,2,2007-08-17,12718.32,12757.703,12269.371,12476.065,L8888.XDCE,2007,8,33,-591,-136,,,,,,,,,,,,,,,,,,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007.0,7.0,0.0019102176848229124,-0.016112997839813015,0.016270413353068225,,,,0.023819411,1,0.0019102176848229124,0.0020676331980781226,0.0020676331980781226
3,3,2007-08-24,12501.873,12569.732,12457.122,12499.897,L8888.XDCE,2007,8,34,-590,-136,,,,,,,,,,,,,,,,,,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007.0,7.0,-0.016294774268939993,0.0019102176848229124,-0.016112997839813015,0.016270413353068225,,,0.0072200596,1,-0.016294774268939993,-0.01422714107086187,-0.01422714107086187
4,4,2007-08-31,12501.996,12506.737,12249.905,12296.214,L8888.XDCE,2007,8,35,-589,-136,,,,,,,,,,,,,,,,,,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007.0,7.0,0.010344322244228987,-0.016294774268939993,0.0019102176848229124,-0.016112997839813015,0.016270413353068225,,0.006795803,1,0.010344322244228987,-0.0038828188266328834,-0.0038828188266328834
5,5,2007-09-07,12319.444,12485.876,12283.301,12423.41,L8888.XDCE,2007,9,36,-588,-135,,,,,,,,,,,,,,,,,,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007.0,8.0,-0.001830173841159466,0.010344322244228987,-0.016294774268939993,0.0019102176848229124,-0.016112997839813015,0.016270413353068225,0.0067130984,1,-0.001830173841159466,-0.005712992667792349,-0.005712992667792349
6,6,2007-09-14,12430.293,12473.204,12335.43,12400.673,L8888.XDCE,2007,9,37,-587,-135,,,,,,,,,,,,,,,,,,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007.0,8.0,0.0069408329693074755,-0.001830173841159466,0.010344322244228987,-0.016294774268939993,0.0019102176848229124,-0.016112997839813015,0.0054447153,1,0.0069408329693074755,0.0012278403015151262,0.0012278403015151262
7,7,2007-09-21,12330.072,12515.961,12316.946,12486.744,L8888.XDCE,2007,9,38,-586,-135,,,,,,,,,,,,,,,,,,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007.0,8.0,-0.0015309034925358178,0.0069408329693074755,-0.001830173841159466,0.010344322244228987,-0.016294774268939993,0.0019102176848229124,0.015187617,1,-0.0015309034925358178,-0.00030306319102069157,-0.00030306319102069157
8,8,2007-09-28,12519.117,12522.437,12356.466,12467.628,L8888.XDCE,2007,9,39,-585,-135,,,,,,,,,,,,,,,,,,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007.0,8.0,0.00959180046116237,-0.0015309034925358178,0.0069408329693074755,-0.001830173841159466,0.010344322244228987,-0.016294774268939993,0.011309491,1,0.00959180046116237,0.009288737270141678,0.009288737270141678
9,9,2007-10-12,12470.33,12690.538,12440.211,12587.215,L8888.XDCE,2007,10,41,-583,-134,,,,,,,,,,,,,,,,,,2007-09,26.4,35.6,24.0,20.3,23.2,22.8,24.5,22.8,2.4,22.2,11.7,19.9,19.6,23.6,2.7,2.7,2007.0,9.0,0.005094613860174846,0.00959180046116237,-0.0015309034925358178,0.0069408329693074755,-0.001830173841159466,0.010344322244228987,0.019780934,1,0.005094613860174846,0.014383351130316524,0.014383351130316524
