,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2023-07-28,211182.462,231241.735,201024.827,220822.46,LC8888.GFEX,2023,7,30,238,55,2023-07-20,85.13,56.88,,,,,2860482.0,915646.0,,,,,,85.13,,,2023-06,3.8,6.0,1.5,2.4,-0.2,3.6,3.4,5.5,-0.7,-1.2,-2.9,0.0,0.8,6.1,-5.4,-3.1,2023.0,6.0,0.008372558660926233,,,,,,0.5,1,0.008372558660926233,0.008372558660926233,0.008372558660926233
1,1,2023-08-04,221431.94,226020.083,218247.329,222671.309,LC8888.GFEX,2023,8,31,239,56,2023-07-27,81.9,54.72,,,,,3040065.0,937232.0,,,,,,81.9,,,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,-0.07945079264792043,0.008372558660926233,,,,,0.04620082,1,-0.07945079264792043,-0.0710782339869942,-0.0710782339869942
2,2,2023-08-11,221386.336,222574.452,201246.524,204979.897,LC8888.GFEX,2023,8,32,240,56,2023-08-03,79.42,54.1,1831.4,6.6,251.3,8.7,2711725.0,623546.0,,-80.358001,108.722961,-25.940925,-4.857908,79.42,0.9,-2.2,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,-0.0644611359132452,-0.07945079264792043,0.008372558660926233,,,,0.018081352,1,-0.0644611359132452,-0.1355393699002394,-0.1355393699002394
3,3,2023-08-18,203212.384,203485.613,187195.311,191766.66,LC8888.GFEX,2023,8,33,241,56,2023-08-10,78.3,54.81,1831.4,6.6,251.3,8.7,3243138.0,1269900.0,,-80.358001,108.722961,-25.940925,-4.857908,78.3,0.9,-2.2,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,-0.006460977106239385,-0.0644611359132452,-0.07945079264792043,0.008372558660926233,,,-0.053278465,-1,0.006460977106239385,-0.12907839279400002,-0.1420003470064788
4,4,2023-08-25,193703.287,200450.696,190482.319,190527.66,LC8888.GFEX,2023,8,34,242,56,2023-08-17,79.93,55.95,1831.4,6.6,251.3,8.7,3116638.0,1268814.0,,-80.358001,108.722961,-25.940925,-4.857908,79.93,0.9,-2.2,2023-07,3.4,5.7,1.6,1.4,-1.4,2.8,1.5,4.9,-15.8,-3.2,-1.7,-2.1,-3.8,4.5,-4.4,-3.2,2023.0,7.0,-0.033752537558063844,-0.006460977106239385,-0.0644611359132452,-0.07945079264792043,0.008372558660926233,,0.00017778453,1,-0.033752537558063844,-0.16283093035206386,-0.17575288456454263
5,5,2023-09-01,192080.251,194060.092,178255.922,184096.868,LC8888.GFEX,2023,9,35,243,57,2023-08-24,81.44,57.01,1831.4,6.6,251.3,8.7,2536286.0,1005584.0,,-80.358001,108.722961,-25.940925,-4.857908,81.44,0.9,-2.2,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.05513528345305674,-0.033752537558063844,-0.006460977106239385,-0.0644611359132452,-0.07945079264792043,0.008372558660926233,-0.025903124,-1,0.05513528345305674,-0.10769564689900712,-0.23088816801759937
6,6,2023-09-08,185560.348,190820.625,173262.371,173946.635,LC8888.GFEX,2023,9,36,244,57,2023-08-31,81.32,56.92,2083.9,7.6,249.3,14.0,2183508.0,965547.0,,-99.00284,101.057922,-45.382582,-30.504382,81.32,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.03589286449835605,-0.05513528345305674,-0.033752537558063844,-0.006460977106239385,-0.0644611359132452,-0.07945079264792043,-0.0029748157,-1,0.03589286449835605,-0.07180278240065108,-0.2667810325159554
7,7,2023-09-15,174135.92,178925.991,165176.572,167703.192,LC8888.GFEX,2023,9,37,245,57,2023-09-07,78.5,55.28,2083.9,7.6,249.3,14.0,1564787.0,805230.0,,-99.00284,101.057922,-45.382582,-30.504382,78.5,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.08844937787469198,-0.03589286449835605,-0.05513528345305674,-0.033752537558063844,-0.006460977106239385,-0.0644611359132452,-0.029044123,-1,0.08844937787469198,0.016646595474040904,-0.3552304103906474
8,8,2023-09-22,166977.831,168195.163,151352.561,152869.949,LC8888.GFEX,2023,9,38,246,57,2023-09-14,83.61,61.54,2083.9,7.6,249.3,14.0,1754905.0,951055.0,,-99.00284,101.057922,-45.382582,-30.504382,83.61,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.06158027827954604,-0.08844937787469198,-0.03589286449835605,-0.05513528345305674,-0.033752537558063844,-0.006460977106239385,-0.030396385,-1,0.06158027827954604,0.07822687375358695,-0.41681068867019344
9,9,2023-09-28,152345.22,155707.939,139299.466,143456.175,LC8888.GFEX,2023,9,39,247,57,2023-09-21,82.32,64.09,2083.9,7.6,249.3,14.0,1657442.0,935897.0,,-99.00284,101.057922,-45.382582,-30.504382,82.32,0.6,-0.8,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,0.12088481377675109,-0.06158027827954604,-0.08844937787469198,-0.03589286449835605,-0.05513528345305674,-0.033752537558063844,-0.053213075,-1,-0.12088481377675109,-0.04265794002316414,-0.29592587489344235
