,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2021-01-15,25853.805,26290.606,24068.213,24341.662,LH8888.XDCE,2021,1,2,106,25,2021-01-07,69.54,49.38,,,,,232316.0,175758.0,,,,,,69.54,,,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,-0.004850860224745568,,,,,,0.5,1,-0.004850860224745568,-0.004850860224745568,-0.004850860224745568
1,1,2021-01-22,24412.614,25349.692,24126.908,24223.584,LH8888.XDCE,2021,1,3,107,25,2021-01-14,72.66,51.6,,,,,254422.0,200965.0,,,,,,72.66,,,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,0.0422899848346141,-0.004850860224745568,,,,,0.033994872,1,0.0422899848346141,0.037439124609868535,0.037439124609868535
2,2,2021-01-29,24199.455,25429.789,24160.057,25247.999,LH8888.XDCE,2021,1,4,108,25,2021-01-21,74.89,53.19,,,,,232079.0,179372.0,,,,,,74.89,,,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,0.022179500244752015,0.0422899848346141,-0.004850860224745568,,,,0.05037708,1,0.022179500244752015,0.05961862485462055,0.05961862485462055
3,3,2021-02-05,25275.145,25815.856,24905.569,25807.987,LH8888.XDCE,2021,2,5,109,26,2021-01-28,74.42,52.56,,,,,234244.0,177269.0,,-80.776973,-80.776973,-12.395699,-18.47059,74.42,,,2021-01,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021.0,1.0,0.023697586332479093,0.022179500244752015,0.0422899848346141,-0.004850860224745568,,,0.028987566,1,0.023697586332479093,0.08331621118709964,0.08331621118709964
4,4,2021-02-10,25906.199,27074.022,25890.904,26419.574,LH8888.XDCE,2021,2,6,110,26,2021-02-04,77.77,54.92,,,,,239197.0,181081.0,,-80.776973,-80.776973,-12.395699,-18.47059,77.77,,,2021-01,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021.0,1.0,0.06001853020037351,0.023697586332479093,0.022179500244752015,0.0422899848346141,-0.004850860224745568,,0.03660066,1,0.06001853020037351,0.14333474138747315,0.14333474138747315
5,5,2021-02-19,26648.873,28061.22,26267.19,28005.238,LH8888.XDCE,2021,2,7,111,26,2021-02-10,80.82,54.92,,,,,265685.0,198042.0,,-80.776973,-80.776973,-12.395699,-18.47059,80.82,,,2021-01,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021.0,1.0,0.021053382942148202,0.06001853020037351,0.023697586332479093,0.022179500244752015,0.0422899848346141,-0.004850860224745568,0.043099634,1,0.021053382942148202,0.16438812432962135,0.16438812432962135
6,6,2021-02-26,27992.263,29327.575,27693.16,28594.843,LH8888.XDCE,2021,2,8,112,26,2021-02-10,80.82,54.92,,,,,265685.0,198042.0,,-80.776973,-80.776973,-12.395699,-18.47059,80.82,,,2021-01,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021.0,1.0,-0.017022055340538245,0.021053382942148202,0.06001853020037351,0.023697586332479093,0.022179500244752015,0.0422899848346141,0.037169073,1,-0.017022055340538245,0.1473660689890831,0.1473660689890831
7,7,2021-03-05,28935.087,29099.044,26876.343,28108.1,LH8888.XDCE,2021,3,9,113,27,2021-02-25,82.82,58.48,467.1,9.1,,,305990.0,236481.0,,-71.650224,-78.481727,-4.528374,-22.451834,82.82,14.8,,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,1.0,2021.0,2.0,0.008888398717807444,-0.017022055340538245,0.021053382942148202,0.06001853020037351,0.023697586332479093,0.022179500244752015,0.048462443,1,0.008888398717807444,0.15625446770689055,0.15625446770689055
8,8,2021-03-12,28265.046,28552.996,26905.385,28357.936,LH8888.XDCE,2021,3,10,114,27,2021-03-04,82.86,58.51,467.1,9.1,,,341878.0,235743.0,,-71.650224,-78.481727,-4.528374,-22.451834,82.86,14.8,,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,1.0,2021.0,2.0,-0.007239208100335626,0.008888398717807444,-0.017022055340538245,0.021053382942148202,0.06001853020037351,0.023697586332479093,0.016119052,1,-0.007239208100335626,0.14901525960655493,0.14901525960655493
9,9,2021-03-19,28418.459,28620.528,27752.243,28152.647,LH8888.XDCE,2021,3,11,115,27,2021-03-11,81.35,57.45,467.1,9.1,,,503138.0,339022.0,,-71.650224,-78.481727,-4.528374,-22.451834,81.35,14.8,,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,1.0,2021.0,2.0,-0.041238076121225764,-0.007239208100335626,0.008888398717807444,-0.017022055340538245,0.021053382942148202,0.06001853020037351,0.013999577,1,-0.041238076121225764,0.10777718348532916,0.10777718348532916
10,10,2021-03-26,28103.593,28149.992,26937.594,26991.686,LH8888.XDCE,2021,3,12,116,27,2021-03-18,82.5,58.5,467.1,9.1,,,560424.0,347615.0,,-71.650224,-78.481727,-4.528374,-22.451834,82.5,14.8,,2021-02,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,1.0,2021.0,2.0,0.013592148337825183,-0.041238076121225764,-0.007239208100335626,0.008888398717807444,-0.017022055340538245,0.021053382942148202,0.015208965,1,0.013592148337825183,0.12136933182315435,0.12136933182315435
11,11,2021-04-02,26817.646,27616.607,26103.2,27358.561,LH8888.XDCE,2021,4,13,117,28,2021-03-25,84.35,59.82,467.1,9.1,,,570456.0,327349.0,,-71.650224,-78.481727,-4.528374,-22.451834,84.35,14.8,,2021-03,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021.0,3.0,-0.036584636158312644,0.013592148337825183,-0.041238076121225764,-0.007239208100335626,0.008888398717807444,-0.017022055340538245,0.0008546109,1,-0.036584636158312644,0.0847846956648417,0.0847846956648417
12,12,2021-04-09,26938.144,27166.322,26198.974,26357.658,LH8888.XDCE,2021,4,14,118,28,2021-04-01,82.23,58.43,721.1,2.6,254.0,4.1,497427.0,266469.0,,-86.31058,-81.170259,-42.728601,40.948495,82.23,13.7,11.3,2021-03,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021.0,3.0,0.010560649963665236,-0.036584636158312644,0.013592148337825183,-0.041238076121225764,-0.007239208100335626,0.008888398717807444,0.019641098,1,0.010560649963665236,0.09534534562850694,0.09534534562850694
13,13,2021-04-16,26551.449,27362.644,26485.207,26636.012,LH8888.XDCE,2021,4,15,119,28,2021-04-08,83.63,59.3,721.1,2.6,254.0,4.1,446383.0,194351.0,,-86.31058,-81.170259,-42.728601,40.948495,83.63,13.7,11.3,2021-03,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021.0,3.0,0.026435826804703355,0.010560649963665236,-0.036584636158312644,0.013592148337825183,-0.041238076121225764,-0.007239208100335626,-0.0063016573,-1,-0.026435826804703355,0.06890951882380358,0.1217811724332103
14,14,2021-04-23,26593.085,27595.753,26469.495,27340.157,LH8888.XDCE,2021,4,16,120,28,2021-04-15,82.55,58.54,721.1,2.6,254.0,4.1,427491.0,283910.0,,-86.31058,-81.170259,-42.728601,40.948495,82.55,13.7,11.3,2021-03,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021.0,3.0,-0.01726409252148775,0.026435826804703355,0.010560649963665236,-0.036584636158312644,0.013592148337825183,-0.041238076121225764,-0.005277943,-1,0.01726409252148775,0.08617361134529133,0.10451707991172254
15,15,2021-04-30,27303.553,27303.553,26384.108,26868.154,LH8888.XDCE,2021,4,17,121,28,2021-04-22,84.52,59.94,721.1,2.6,254.0,4.1,449576.0,356635.0,,-86.31058,-81.170259,-42.728601,40.948495,84.52,13.7,11.3,2021-03,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021.0,3.0,-0.012606634605414113,-0.01726409252148775,0.026435826804703355,0.010560649963665236,-0.036584636158312644,0.013592148337825183,0.018204847,1,-0.012606634605414113,0.07356697673987722,0.09191044530630843
16,16,2021-05-07,26552.286,26785.223,26064.658,26529.437,LH8888.XDCE,2021,5,18,122,29,2021-04-29,84.4,59.85,997.6,5.3,257.3,3.9,425741.0,347925.0,,-97.223984,-88.755675,-28.335578,-12.004396,84.4,12.2,7.0,2021-04,19.9,23.8,33.9,21.0,14.9,31.6,10.2,28.2,19.1,32.2,57.7,37.2,6.8,53.4,6.8,3.3,2021.0,4.0,-0.07638386747521264,-0.012606634605414113,-0.01726409252148775,0.026435826804703355,0.010560649963665236,-0.036584636158312644,0.032250475,1,-0.07638386747521264,-0.00281689073533542,0.01552657783109579
17,17,2021-05-14,26300.67,26343.502,24009.238,24503.016,LH8888.XDCE,2021,5,19,123,29,2021-05-08,83.98,59.59,997.6,5.3,257.3,3.9,426729.0,346380.0,,-97.223984,-88.755675,-28.335578,-12.004396,83.98,12.2,7.0,2021-04,19.9,23.8,33.9,21.0,14.9,31.6,10.2,28.2,19.1,32.2,57.7,37.2,6.8,53.4,6.8,3.3,2021.0,4.0,-0.04529217954230602,-0.07638386747521264,-0.012606634605414113,-0.01726409252148775,0.026435826804703355,0.010560649963665236,-0.04216806,-1,0.04529217954230602,0.0424752888069706,-0.029765601711210232
18,18,2021-05-21,24463.624,24557.457,22719.339,23393.221,LH8888.XDCE,2021,5,20,124,29,2021-05-13,79.91,56.36,997.6,5.3,257.3,3.9,430575.0,339472.0,,-97.223984,-88.755675,-28.335578,-12.004396,79.91,12.2,7.0,2021-04,19.9,23.8,33.9,21.0,14.9,31.6,10.2,28.2,19.1,32.2,57.7,37.2,6.8,53.4,6.8,3.3,2021.0,4.0,-0.06971318742297195,-0.04529217954230602,-0.07638386747521264,-0.012606634605414113,-0.01726409252148775,0.026435826804703355,-0.0368703,-1,0.06971318742297195,0.11218847622994255,-0.09947878913418218
19,19,2021-05-28,23354.672,23679.395,21717.654,21762.405,LH8888.XDCE,2021,5,21,125,29,2021-05-20,81.23,57.29,997.6,5.3,257.3,3.9,570204.0,464273.0,,-97.223984,-88.755675,-28.335578,-12.004396,81.23,12.2,7.0,2021-04,19.9,23.8,33.9,21.0,14.9,31.6,10.2,28.2,19.1,32.2,57.7,37.2,6.8,53.4,6.8,3.3,2021.0,4.0,-0.10193818192428628,-0.06971318742297195,-0.04529217954230602,-0.07638386747521264,-0.012606634605414113,-0.01726409252148775,-0.039358966,-1,0.10193818192428628,0.21412665815422882,-0.20141697105846845
20,20,2021-06-04,21638.462,21843.0,19501.193,19543.985,LH8888.XDCE,2021,6,22,126,30,2021-05-27,80.49,56.77,997.6,5.3,257.3,3.9,537319.0,422467.0,,-97.223984,-88.755675,-28.335578,-12.004396,80.49,12.2,7.0,2021-05,15.4,20.4,30.5,19.2,13.8,27.2,5.9,22.6,11.9,27.4,48.8,31.8,-4.0,38.4,9.0,4.4,2021.0,5.0,0.00104078057775836,-0.10193818192428628,-0.06971318742297195,-0.04529217954230602,-0.07638386747521264,-0.012606634605414113,-0.038198106,-1,-0.00104078057775836,0.21308587757647046,-0.2003761904807101
21,21,2021-06-11,19417.834,20271.219,19080.766,19564.326,LH8888.XDCE,2021,6,23,127,30,2021-06-03,79.33,56.29,1235.1,4.4,247.9,8.2,529008.0,381466.0,,-92.773917,-89.306419,-26.85137,-28.395745,79.33,11.9,11.2,2021-05,15.4,20.4,30.5,19.2,13.8,27.2,5.9,22.6,11.9,27.4,48.8,31.8,-4.0,38.4,9.0,4.4,2021.0,5.0,-0.09430306978119263,0.00104078057775836,-0.10193818192428628,-0.06971318742297195,-0.04529217954230602,-0.07638386747521264,-0.06101916,-1,0.09430306978119263,0.3073889473576631,-0.2946792602619027
22,22,2021-06-18,19224.596,19341.082,17709.13,17719.35,LH8888.XDCE,2021,6,24,128,30,2021-06-10,78.64,55.8,1235.1,4.4,247.9,8.2,491195.0,359711.0,,-92.773917,-89.306419,-26.85137,-28.395745,78.64,11.9,11.2,2021-05,15.4,20.4,30.5,19.2,13.8,27.2,5.9,22.6,11.9,27.4,48.8,31.8,-4.0,38.4,9.0,4.4,2021.0,5.0,0.06886652162748641,-0.09430306978119263,0.00104078057775836,-0.10193818192428628,-0.06971318742297195,-0.04529217954230602,0.007959409,1,0.06886652162748641,0.3762554689851495,-0.2258127386344163
23,23,2021-06-25,17561.522,18969.483,16869.738,18939.62,LH8888.XDCE,2021,6,25,129,30,2021-06-17,78.6,55.77,1235.1,4.4,247.9,8.2,537456.0,399462.0,,-92.773917,-89.306419,-26.85137,-28.395745,78.6,11.9,11.2,2021-05,15.4,20.4,30.5,19.2,13.8,27.2,5.9,22.6,11.9,27.4,48.8,31.8,-4.0,38.4,9.0,4.4,2021.0,5.0,-0.02605844256642953,0.06886652162748641,-0.09430306978119263,0.00104078057775836,-0.10193818192428628,-0.06971318742297195,-0.052361935,-1,0.02605844256642953,0.40231391155157903,-0.25187118120084584
24,24,2021-07-02,19488.662,19667.058,18331.961,18446.083,LH8888.XDCE,2021,7,26,130,31,2021-06-24,78.16,55.46,1235.1,4.4,247.9,8.2,491350.0,349674.0,,-92.773917,-89.306419,-26.85137,-28.395745,78.16,11.9,11.2,2021-06,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021.0,6.0,0.02871194930652754,-0.02605844256642953,0.06886652162748641,-0.09430306978119263,0.00104078057775836,-0.10193818192428628,-0.016038353,-1,-0.02871194930652754,0.3736019622450515,-0.2231592318943183
25,25,2021-07-09,18575.628,19013.921,18398.67,18975.706,LH8888.XDCE,2021,7,27,131,31,2021-07-01,78.99,56.05,1483.3,5.6,248.1,12.0,517442.0,352207.0,,935.22232,-63.701746,-38.715852,20.524119,78.99,11.0,6.7,2021-06,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021.0,6.0,-0.02790204485672365,0.02871194930652754,-0.02605844256642953,0.06886652162748641,-0.09430306978119263,0.00104078057775836,0.0071538985,1,-0.02790204485672365,0.34569991738832784,-0.25106127675104195
26,26,2021-07-16,18842.923,18898.586,17955.406,18446.245,LH8888.XDCE,2021,7,28,132,31,2021-07-08,75.19,53.35,1483.3,5.6,248.1,12.0,561930.0,345969.0,,935.22232,-63.701746,-38.715852,20.524119,75.19,11.0,6.7,2021-06,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021.0,6.0,-0.0029754565224520135,-0.02790204485672365,0.02871194930652754,-0.02605844256642953,0.06886652162748641,-0.09430306978119263,0.034729283,1,-0.0029754565224520135,0.3427244608658758,-0.25403673327349396
27,27,2021-07-23,18524.83,18952.885,18236.833,18391.359,LH8888.XDCE,2021,7,29,133,31,2021-07-15,68.19,48.38,1483.3,5.6,248.1,12.0,526730.0,299507.0,,935.22232,-63.701746,-38.715852,20.524119,68.19,11.0,6.7,2021-06,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021.0,6.0,0.010161674294977274,-0.0029754565224520135,-0.02790204485672365,0.02871194930652754,-0.02605844256642953,0.06886652162748641,0.0044907993,1,0.010161674294977274,0.3528861351608531,-0.2438750589785167
28,28,2021-07-30,18587.185,18706.398,18346.117,18578.246,LH8888.XDCE,2021,7,30,134,31,2021-07-22,71.56,50.78,1483.3,5.6,248.1,12.0,516998.0,283966.0,,935.22232,-63.701746,-38.715852,20.524119,71.56,11.0,6.7,2021-06,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021.0,6.0,-0.03672300388314376,0.010161674294977274,-0.0029754565224520135,-0.02790204485672365,0.02871194930652754,-0.02605844256642953,0.004198653,1,-0.03672300388314376,0.31616313127770934,-0.28059806286166045
29,29,2021-08-06,18474.405,18519.144,17657.458,17895.997,LH8888.XDCE,2021,8,31,135,32,2021-07-29,77.04,54.67,1707.5,2.8,223.1,-7.9,531204.0,266649.0,,179486.6137,-41.462729,-72.61195,-43.122193,77.04,10.1,5.2,2021-07,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021.0,7.0,-0.026190549763726367,-0.03672300388314376,0.010161674294977274,-0.0029754565224520135,-0.02790204485672365,0.02871194930652754,0.00478372,1,-0.026190549763726367,0.289972581513983,-0.3067886126253868
30,30,2021-08-13,17979.094,18137.857,17350.766,17427.291,LH8888.XDCE,2021,8,32,136,32,2021-08-05,77.14,54.73,1707.5,2.8,223.1,-7.9,513017.0,294281.0,,179486.6137,-41.462729,-72.61195,-43.122193,77.14,10.1,5.2,2021-07,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021.0,7.0,-0.026936429764098158,-0.026190549763726367,-0.03672300388314376,0.010161674294977274,-0.0029754565224520135,-0.02790204485672365,0.015658462,1,-0.026936429764098158,0.2630361517498848,-0.33372504238948497
31,31,2021-08-20,17472.655,17591.76,16512.423,16957.862,LH8888.XDCE,2021,8,33,137,32,2021-08-12,71.67,51.0,1707.5,2.8,223.1,-7.9,558421.0,374152.0,,179486.6137,-41.462729,-72.61195,-43.122193,71.67,10.1,5.2,2021-07,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021.0,7.0,-0.02618012813171866,-0.026936429764098158,-0.026190549763726367,-0.03672300388314376,0.010161674294977274,-0.0029754565224520135,-0.019202147,-1,0.02618012813171866,0.2892162798816035,-0.35990517052120363
32,32,2021-08-27,16667.559,16801.074,16208.83,16513.903,LH8888.XDCE,2021,8,34,138,32,2021-08-19,77.67,55.28,1707.5,2.8,223.1,-7.9,613455.0,454141.0,,179486.6137,-41.462729,-72.61195,-43.122193,77.67,10.1,5.2,2021-07,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021.0,7.0,-0.05143768859487663,-0.02618012813171866,-0.026936429764098158,-0.026190549763726367,-0.03672300388314376,0.010161674294977274,-0.015759125,-1,0.05143768859487663,0.3406539684764801,-0.41134285911608026
