,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2014-07-11,2760.029,2842.488,2759.755,2825.41,LR8888.XZCE,2014,7,28,-232,-53,,,,,,,,,,,,,,,,,,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.003884391999745107,,,,,,0.5,1,-0.003884391999745107,-0.003884391999745107,-0.003884391999745107
1,1,2014-07-18,2825.874,2836.913,2804.716,2814.435,LR8888.XZCE,2014,7,29,-231,-53,,,,,,,,,,,,,,,,,,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,0.019752099444471094,-0.003884391999745107,,,,,0.03488699,1,0.019752099444471094,0.015867707444725987,0.015867707444725987
2,2,2014-07-25,2807.015,2871.879,2806.482,2870.026,LR8888.XZCE,2014,7,30,-230,-53,,,,,,,,,,,,,,,,,,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.0032268000359578775,0.019752099444471094,-0.003884391999745107,,,,0.026098125,1,-0.0032268000359578775,0.01264090740876811,0.01264090740876811
3,3,2014-08-01,2863.977,2901.419,2856.209,2860.765,LR8888.XZCE,2014,8,31,-229,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.0056680643114690454,-0.0032268000359578775,0.019752099444471094,-0.003884391999745107,,,0.0246185,1,-0.0056680643114690454,0.006972843097299064,0.006972843097299064
4,4,2014-08-08,2864.249,2873.694,2834.636,2844.55,LR8888.XZCE,2014,8,32,-228,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,0.003546079344711739,-0.0056680643114690454,-0.0032268000359578775,0.019752099444471094,-0.003884391999745107,,0.025028776,1,0.003546079344711739,0.010518922442010803,0.010518922442010803
5,5,2014-08-15,2850.703,2873.339,2840.089,2854.637,LR8888.XZCE,2014,8,33,-227,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.00836533681865681,0.003546079344711739,-0.0056680643114690454,-0.0032268000359578775,0.019752099444471094,-0.003884391999745107,0.008393666,1,-0.00836533681865681,0.002153585623353993,0.002153585623353993
6,6,2014-08-22,2873.843,2875.628,2824.916,2830.757,LR8888.XZCE,2014,8,34,-226,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.00010456566918326526,-0.00836533681865681,0.003546079344711739,-0.0056680643114690454,-0.0032268000359578775,0.019752099444471094,0.007974564,1,-0.00010456566918326526,0.0020490199541707277,0.0020490199541707277
7,7,2014-08-29,2831.793,2857.663,2830.461,2830.461,LR8888.XZCE,2014,8,35,-225,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.0025031258159005088,-0.00010456566918326526,-0.00836533681865681,0.003546079344711739,-0.0056680643114690454,-0.0032268000359578775,0.008532449,1,-0.0025031258159005088,-0.00045410586172978107,-0.00045410586172978107
8,8,2014-09-05,2821.681,2844.563,2813.431,2823.376,LR8888.XZCE,2014,9,36,-224,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,0.0013756580774222371,-0.0025031258159005088,-0.00010456566918326526,-0.00836533681865681,0.003546079344711739,-0.0056680643114690454,0.0065569445,1,0.0013756580774222371,0.000921552215692456,0.000921552215692456
9,9,2014-09-12,2834.697,2834.697,2799.208,2827.26,LR8888.XZCE,2014,9,37,-223,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,0.0011721596174387727,0.0013756580774222371,-0.0025031258159005088,-0.00010456566918326526,-0.00836533681865681,0.003546079344711739,0.009738089,1,0.0011721596174387727,0.0020937118331312288,0.0020937118331312288
