,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-07,2173.139,2210.849,2150.724,2201.345,M8888.XDCE,2005,1,1,-727,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.010914690791311465,,,,,,0.5,1,-0.010914690791311465,-0.010914690791311465,-0.010914690791311465
1,1,2005-01-14,2209.382,2217.998,2174.639,2177.318,M8888.XDCE,2005,1,2,-726,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.017821007312666337,-0.010914690791311465,,,,,0.028397623,1,-0.017821007312666337,-0.028735698103977803,-0.028735698103977803
2,2,2005-01-21,2157.473,2172.092,2134.554,2138.516,M8888.XDCE,2005,1,3,-725,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.008302954011099262,-0.017821007312666337,-0.010914690791311465,,,,0.0019669076,1,-0.008302954011099262,-0.037038652115077064,-0.037038652115077064
3,3,2005-01-28,2132.552,2157.86,2112.303,2120.76,M8888.XDCE,2005,1,4,-724,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,-0.010670702955544287,-0.008302954011099262,-0.017821007312666337,-0.010914690791311465,,,-0.0019553886,-1,0.010670702955544287,-0.026367949159532778,-0.04770935507062135
4,4,2005-02-04,2121.222,2122.238,2078.057,2098.13,M8888.XDCE,2005,2,5,-723,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.0436126455462722,-0.010670702955544287,-0.008302954011099262,-0.017821007312666337,-0.010914690791311465,,-0.0018757065,-1,-0.0436126455462722,-0.06998059470580498,-0.004096709524349151
5,5,2005-02-18,2169.241,2200.386,2138.568,2189.635,M8888.XDCE,2005,2,7,-721,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.06268122312622859,0.0436126455462722,-0.010670702955544287,-0.008302954011099262,-0.017821007312666337,-0.010914690791311465,0.021657256,1,0.06268122312622859,-0.007299371579576386,0.05858451360187944
6,6,2005-02-25,2193.336,2361.789,2189.038,2326.884,M8888.XDCE,2005,2,8,-720,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.09777023693488807,0.06268122312622859,0.0436126455462722,-0.010670702955544287,-0.008302954011099262,-0.017821007312666337,0.06877855,1,0.09777023693488807,0.09047086535531168,0.1563547505367675
7,7,2005-03-04,2406.635,2609.595,2406.617,2554.384,M8888.XDCE,2005,3,9,-719,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.024739428370988747,0.09777023693488807,0.06268122312622859,0.0436126455462722,-0.010670702955544287,-0.008302954011099262,0.10398699,1,0.024739428370988747,0.11521029372630043,0.18109417890775625
8,8,2005-03-11,2577.852,2631.608,2498.081,2617.578,M8888.XDCE,2005,3,10,-718,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.05212872357576348,0.024739428370988747,0.09777023693488807,0.06268122312622859,0.0436126455462722,-0.010670702955544287,0.077075504,1,0.05212872357576348,0.1673390173020639,0.23322290248351973
9,9,2005-03-18,2703.667,2911.17,2664.477,2754.029,M8888.XDCE,2005,3,11,-717,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.01886254647282215,0.05212872357576348,0.024739428370988747,0.09777023693488807,0.06268122312622859,0.0436126455462722,0.102191575,1,-0.01886254647282215,0.14847647082924176,0.21436035601069758
10,10,2005-03-25,2710.378,2726.273,2601.546,2702.081,M8888.XDCE,2005,3,12,-716,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.02694256759882474,-0.01886254647282215,0.05212872357576348,0.024739428370988747,0.09777023693488807,0.06268122312622859,0.056213796,1,-0.02694256759882474,0.12153390323041702,0.18741778841187284
11,11,2005-04-01,2708.541,2738.813,2603.051,2629.28,M8888.XDCE,2005,4,13,-715,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-0.0026395058723300835,-0.02694256759882474,-0.01886254647282215,0.05212872357576348,0.024739428370988747,0.09777023693488807,-0.005764226,-1,0.0026395058723300835,0.1241734091027471,0.18477828253954276
12,12,2005-04-08,2575.386,2672.319,2566.698,2622.34,M8888.XDCE,2005,4,14,-714,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-0.024070105325777913,-0.0026395058723300835,-0.02694256759882474,-0.01886254647282215,0.05212872357576348,0.024739428370988747,-0.007949593,-1,0.024070105325777913,0.14824351442852501,0.16070817721376485
13,13,2005-04-15,2595.233,2615.967,2537.434,2559.22,M8888.XDCE,2005,4,15,-713,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,0.023248489774228,-0.024070105325777913,-0.0026395058723300835,-0.02694256759882474,-0.01886254647282215,0.05212872357576348,0.002856024,1,0.023248489774228,0.171492004202753,0.18395666698799285
14,14,2005-04-22,2555.531,2683.188,2529.357,2618.718,M8888.XDCE,2005,4,16,-712,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-0.015701194248483263,0.023248489774228,-0.024070105325777913,-0.0026395058723300835,-0.02694256759882474,-0.01886254647282215,0.0015545631,1,-0.015701194248483263,0.15579080995426975,0.16825547273950958
15,15,2005-04-29,2637.99,2648.201,2562.515,2577.601,M8888.XDCE,2005,4,17,-711,-164,,,,,,,,,,,,,,,,,,2005-03,25.3,25.6,,,,,,,-23.2,-7.9,15.8,2.7,0.7,1.6,5.6,5.6,2005.0,3.0,-0.028929613233390272,-0.015701194248483263,0.023248489774228,-0.024070105325777913,-0.0026395058723300835,-0.02694256759882474,0.02887759,1,-0.028929613233390272,0.12686119672087948,0.1393258595061193
16,16,2005-05-13,2613.512,2615.44,2497.266,2503.032,M8888.XDCE,2005,5,19,-709,-163,,,,,,,,,,,,,,,,,,2005-04,25.7,28.8,,,,,,,-20.0,-7.2,14.6,13.5,6.8,3.6,5.78,5.7,2005.0,4.0,0.006316739058869203,-0.028929613233390272,-0.015701194248483263,0.023248489774228,-0.024070105325777913,-0.0026395058723300835,-0.0057282583,-1,-0.006316739058869203,0.12054445766201027,0.1456425985649885
17,17,2005-05-20,2490.924,2541.928,2464.333,2518.843,M8888.XDCE,2005,5,20,-708,-163,,,,,,,,,,,,,,,,,,2005-04,25.7,28.8,,,,,,,-20.0,-7.2,14.6,13.5,6.8,3.6,5.78,5.7,2005.0,4.0,0.07701115154854832,0.006316739058869203,-0.028929613233390272,-0.015701194248483263,0.023248489774228,-0.024070105325777913,0.0012188986,1,0.07701115154854832,0.1975556092105586,0.22265375011353683
18,18,2005-05-27,2541.399,2723.744,2537.405,2712.822,M8888.XDCE,2005,5,21,-707,-163,,,,,,,,,,,,,,,,,,2005-04,25.7,28.8,,,,,,,-20.0,-7.2,14.6,13.5,6.8,3.6,5.78,5.7,2005.0,4.0,-0.01678952765791486,0.07701115154854832,0.006316739058869203,-0.028929613233390272,-0.015701194248483263,0.023248489774228,0.08507733,1,-0.01678952765791486,0.18076608155264373,0.20586422245562197
19,19,2005-06-03,2690.411,2764.92,2645.7,2667.275,M8888.XDCE,2005,6,22,-706,-162,,,,,,,,,,,,,,,,,,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005.0,5.0,0.01729930359636711,-0.01678952765791486,0.07701115154854832,0.006316739058869203,-0.028929613233390272,-0.015701194248483263,0.013772367,1,0.01729930359636711,0.19806538514901084,0.22316352605198908
20,20,2005-06-10,2716.165,2768.866,2668.237,2713.417,M8888.XDCE,2005,6,23,-705,-162,,,,,,,,,,,,,,,,,,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005.0,5.0,0.016836335882026265,0.01729930359636711,-0.01678952765791486,0.07701115154854832,0.006316739058869203,-0.028929613233390272,0.08174059,1,0.016836335882026265,0.2149017210310371,0.23999986193401535
21,21,2005-06-17,2729.153,2785.841,2688.299,2759.101,M8888.XDCE,2005,6,24,-704,-162,,,,,,,,,,,,,,,,,,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005.0,5.0,0.009214233186824128,0.016836335882026265,0.01729930359636711,-0.01678952765791486,0.07701115154854832,0.006316739058869203,0.022846578,1,0.009214233186824128,0.22411595421786124,0.24921409512083947
22,22,2005-06-24,2866.326,2866.41,2752.734,2784.524,M8888.XDCE,2005,6,25,-703,-162,,,,,,,,,,,,,,,,,,2005-05,26.4,31.7,,,,,,,16.9,-0.8,14.7,15.2,6.1,4.0,5.9,5.7,2005.0,5.0,-0.03922824870606245,0.009214233186824128,0.016836335882026265,0.01729930359636711,-0.01678952765791486,0.07701115154854832,0.024297332,1,-0.03922824870606245,0.18488770551179878,0.20998584641477702
23,23,2005-07-01,2780.918,2786.616,2625.438,2675.292,M8888.XDCE,2005,7,26,-702,-161,,,,,,,,,,,,,,,,,,2005-06,27.1,35.1,,,,,,,13.2,1.3,14.8,16.3,19.6,6.5,5.2,5.6,2005.0,6.0,0.009371313486527866,-0.03922824870606245,0.009214233186824128,0.016836335882026265,0.01729930359636711,-0.01678952765791486,-0.008185777,-1,-0.009371313486527866,0.17551639202527092,0.2193571599013049
24,24,2005-07-08,2683.269,2746.763,2665.382,2700.363,M8888.XDCE,2005,7,27,-701,-161,,,,,,,,,,,,,,,,,,2005-06,27.1,35.1,,,,,,,13.2,1.3,14.8,16.3,19.6,6.5,5.2,5.6,2005.0,6.0,-0.005748856727780582,0.009371313486527866,-0.03922824870606245,0.009214233186824128,0.016836335882026265,0.01729930359636711,-0.008083249,-1,0.005748856727780582,0.1812652487530515,0.2136083031735243
