,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2014-06-20,2868.0,2929.0,2826.0,2908.0,MA8888.XZCE,2014,6,25,-235,-54,,,,,,,,,,,,,,,,,,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,0.027166437414030353,,,,,,0.5,1,0.027166437414030353,0.027166437414030353,0.027166437414030353
1,1,2014-06-27,2910.0,3020.0,2896.0,2987.0,MA8888.XZCE,2014,6,26,-234,-54,,,,,,,,,,,,,,,,,,2014-05,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,-4.97,-1.62,4.88,4.68,12.08,10.79,-1.45,-1.88,2014.0,5.0,-0.009039169735520547,0.027166437414030353,,,,,0.06354861,1,-0.009039169735520547,0.018127267678509806,0.018127267678509806
2,2,2014-07-04,2983.0,3005.0,2911.0,2960.0,MA8888.XZCE,2014,7,27,-233,-53,,,,,,,,,,,,,,,,,,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.013851351351351404,-0.009039169735520547,0.027166437414030353,,,,0.03493702,1,-0.013851351351351404,0.004275916327158402,0.004275916327158402
3,3,2014-07-11,2956.0,3038.0,2915.0,2919.0,MA8888.XZCE,2014,7,28,-232,-53,,,,,,,,,,,,,,,,,,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.018150051387461508,-0.013851351351351404,-0.009039169735520547,0.027166437414030353,,,0.0042588175,1,-0.018150051387461508,-0.013874135060303106,-0.013874135060303106
4,4,2014-07-18,2919.0,2932.0,2825.0,2866.02,MA8888.XZCE,2014,7,29,-231,-53,,,,,,,,,,,,,,,,,,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,0.009057857237562805,-0.018150051387461508,-0.013851351351351404,-0.009039169735520547,0.027166437414030353,,-0.0032623094,-1,-0.009057857237562805,-0.02293199229786591,-0.0048162778227403
5,5,2014-07-25,2866.055,2896.925,2835.199,2891.98,MA8888.XZCE,2014,7,30,-230,-53,,,,,,,,,,,,,,,,,,2014-06,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,-23.49,-8.01,5.17,3.36,11.23,10.9,-1.11,-1.76,2014.0,6.0,-0.0034443530038245074,0.009057857237562805,-0.018150051387461508,-0.013851351351351404,-0.009039169735520547,0.027166437414030353,-0.0009108783,-1,0.0034443530038245074,-0.019487639294041403,-0.008260630826564808
6,6,2014-08-01,2897.008,2947.895,2862.147,2882.019,MA8888.XZCE,2014,8,31,-229,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,0.01836351529951763,-0.0034443530038245074,0.009057857237562805,-0.018150051387461508,-0.013851351351351404,-0.009039169735520547,0.0038201981,1,0.01836351529951763,-0.0011241239945237735,0.010102884472952822
7,7,2014-08-08,2880.086,2987.376,2831.326,2934.943,MA8888.XZCE,2014,8,32,-228,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,0.013933149638680975,0.01836351529951763,-0.0034443530038245074,0.009057857237562805,-0.018150051387461508,-0.013851351351351404,0.016623989,1,0.013933149638680975,0.012809025644157201,0.024036034111633797
8,8,2014-08-15,2931.879,3011.663,2901.104,2975.836,MA8888.XZCE,2014,8,33,-227,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.011072854821300493,0.013933149638680975,0.01836351529951763,-0.0034443530038245074,0.009057857237562805,-0.018150051387461508,0.019966625,1,-0.011072854821300493,0.0017361708228567085,0.012963179290333304
9,9,2014-08-22,2974.946,2996.816,2939.914,2942.885,MA8888.XZCE,2014,8,34,-226,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.0397096726511571,-0.011072854821300493,0.013933149638680975,0.01836351529951763,-0.0034443530038245074,0.009057857237562805,0.01582006,1,-0.0397096726511571,-0.03797350182830039,-0.026746493360823798
10,10,2014-08-29,2941.5,2944.469,2793.157,2826.024,MA8888.XZCE,2014,8,35,-225,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,0.011655244258364394,-0.0397096726511571,-0.011072854821300493,0.013933149638680975,0.01836351529951763,-0.0034443530038245074,-0.011622614,-1,-0.011655244258364394,-0.04962874608666479,-0.015091249102459403
11,11,2014-09-05,2825.023,2960.571,2825.023,2858.962,MA8888.XZCE,2014,9,36,-224,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.012550708963602886,0.011655244258364394,-0.0397096726511571,-0.011072854821300493,0.013933149638680975,0.01836351529951763,-0.003895465,-1,0.012550708963602886,-0.0370780371230619,-0.02764195806606229
12,12,2014-09-12,2861.983,2877.944,2815.115,2823.08,MA8888.XZCE,2014,9,37,-223,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,0.0365069356872636,-0.012550708963602886,0.011655244258364394,-0.0397096726511571,-0.011072854821300493,0.013933149638680975,-0.011939723,-1,-0.0365069356872636,-0.0735849728103255,0.008864977621201309
13,13,2014-09-19,2811.186,2929.06,2811.16,2926.142,MA8888.XZCE,2014,9,38,-222,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.017602700074022315,0.0365069356872636,-0.012550708963602886,0.011655244258364394,-0.0397096726511571,-0.011072854821300493,0.0135315,1,-0.017602700074022315,-0.09118767288434781,-0.008737722452821006
14,14,2014-09-26,2927.525,2942.447,2845.613,2874.634,MA8888.XZCE,2014,9,39,-221,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,0.0012867725073870684,-0.017602700074022315,0.0365069356872636,-0.012550708963602886,0.011655244258364394,-0.0397096726511571,0.04209057,1,0.0012867725073870684,-0.08990090037696075,-0.007450949945433938
15,15,2014-09-30,2861.96,2899.768,2848.959,2878.333,MA8888.XZCE,2014,9,40,-220,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.042795604261216535,0.0012867725073870684,-0.017602700074022315,0.0365069356872636,-0.012550708963602886,0.011655244258364394,0.034193814,1,-0.042795604261216535,-0.13269650463817728,-0.05024655420665047
16,16,2014-10-10,2872.461,2874.567,2737.525,2755.153,MA8888.XZCE,2014,10,41,-219,-50,,,,,,,,,,,,,,,,,,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,-0.0025435973973132464,-0.042795604261216535,0.0012867725073870684,-0.017602700074022315,0.0365069356872636,-0.012550708963602886,0.006620004,1,-0.0025435973973132464,-0.13524010203549053,-0.05279015160396372
17,17,2014-10-17,2754.845,2806.889,2741.529,2748.145,MA8888.XZCE,2014,10,42,-218,-50,,,,,,,,,,,,,,,,,,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,0.016197835267061977,-0.0025435973973132464,-0.042795604261216535,0.0012867725073870684,-0.017602700074022315,0.0365069356872636,-0.013601225,-1,-0.016197835267061977,-0.1514379373025525,-0.03659231633690174
18,18,2014-10-24,2747.184,2793.764,2700.097,2792.659,MA8888.XZCE,2014,10,43,-217,-50,,,,,,,,,,,,,,,,,,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,-0.0070051517209942515,0.016197835267061977,-0.0025435973973132464,-0.042795604261216535,0.0012867725073870684,-0.017602700074022315,-0.012288835,-1,0.0070051517209942515,-0.14443278558155825,-0.043597468057895994
19,19,2014-10-31,2781.223,2831.074,2754.32,2773.096,MA8888.XZCE,2014,10,44,-216,-50,,,,,,,,,,,,,,,,,,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,-0.05980391591203482,-0.0070051517209942515,0.016197835267061977,-0.0025435973973132464,-0.042795604261216535,0.0012867725073870684,0.009750431,1,-0.05980391591203482,-0.20423670149359308,-0.10340138396993082
