,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2011-10-28,3197.644,3222.006,3135.722,3144.782,ME8888.XZCE,2011,10,43,-373,-86,,,,,,,,,,,,,,,,,,2011-09,24.9,31.5,18.6,16.8,14.7,18.5,20.2,21.0,30.4,26.9,20.3,15.2,2.5,4.5,6.52,7.02,2011,9,-0.0003660031124574914,,,,,,0.5,1,-0.0003660031124574914,-0.0003660031124574914,-0.0003660031124574914
1,1,2011-11-04,3141.305,3200.347,3099.733,3143.631,ME8888.XZCE,2011,11,44,-372,-85,,,,,,,,,,,,,,,,,,2011-10,24.9,31.6,18.8,15.7,15.8,18.2,20.6,20.9,26.1,26.9,18.9,9.4,1.3,4.2,5.0,6.82,2011,10,-0.05259809436921814,-0.0003660031124574914,,,,,0.03813464,1,-0.05259809436921814,-0.05296409748167563,-0.05296409748167563
2,2,2011-11-11,3144.083,3146.471,2904.045,2978.282,ME8888.XZCE,2011,11,45,-371,-85,,,,,,,,,,,,,,,,,,2011-10,24.9,31.6,18.8,15.7,15.8,18.2,20.6,20.9,26.1,26.9,18.9,9.4,1.3,4.2,5.0,6.82,2011,10,-0.036086576086482136,-0.05259809436921814,-0.0003660031124574914,,,,0.0083187735,1,-0.036086576086482136,-0.08905067356815777,-0.08905067356815777
3,3,2011-11-18,3001.659,3008.876,2833.517,2870.806,ME8888.XZCE,2011,11,46,-370,-85,,,,,,,,,,,,,,,,,,2011-10,24.9,31.6,18.8,15.7,15.8,18.2,20.6,20.9,26.1,26.9,18.9,9.4,1.3,4.2,5.0,6.82,2011,10,-0.03971741733854539,-0.036086576086482136,-0.05259809436921814,-0.0003660031124574914,,,-0.027537001,-1,0.03971741733854539,-0.04933325622961238,-0.12876809090670316
4,4,2011-11-25,2855.409,2881.16,2754.929,2756.785,ME8888.XZCE,2011,11,47,-369,-85,,,,,,,,,,,,,,,,,,2011-10,24.9,31.6,18.8,15.7,15.8,18.2,20.6,20.9,26.1,26.9,18.9,9.4,1.3,4.2,5.0,6.82,2011,10,0.010979456141846367,-0.03971741733854539,-0.036086576086482136,-0.05259809436921814,-0.0003660031124574914,,-0.031916853,-1,-0.010979456141846367,-0.06031271237145874,-0.11778863476485679
5,5,2011-12-02,2758.919,2850.429,2722.822,2787.053,ME8888.XZCE,2011,12,48,-368,-84,,,,,,,,,,,,,,,,,,2011-11,24.5,31.5,18.4,13.6,14.2,18.1,18.2,20.6,43.4,28.6,17.3,-1.5,-1.3,3.9,2.72,6.44,2011,11,-0.0021079613484207282,0.010979456141846367,-0.03971741733854539,-0.036086576086482136,-0.05259809436921814,-0.0003660031124574914,-0.014321238,-1,0.0021079613484207282,-0.058204751023038015,-0.11989659611327752
6,6,2011-12-09,2789.871,2805.041,2779.654,2781.178,ME8888.XZCE,2011,12,49,-367,-84,,,,,,,,,,,,,,,,,,2011-11,24.5,31.5,18.4,13.6,14.2,18.1,18.2,20.6,43.4,28.6,17.3,-1.5,-1.3,3.9,2.72,6.44,2011,11,-0.02734344943042122,-0.0021079613484207282,0.010979456141846367,-0.03971741733854539,-0.036086576086482136,-0.05259809436921814,0.0052815527,1,-0.02734344943042122,-0.08554820045345923,-0.14724004554369874
7,7,2011-12-16,2783.565,2785.538,2671.564,2705.131,ME8888.XZCE,2011,12,50,-366,-84,,,,,,,,,,,,,,,,,,2011-11,24.5,31.5,18.4,13.6,14.2,18.1,18.2,20.6,43.4,28.6,17.3,-1.5,-1.3,3.9,2.72,6.44,2011,11,-4.214213655462373e-05,-0.02734344943042122,-0.0021079613484207282,0.010979456141846367,-0.03971741733854539,-0.036086576086482136,0.00949542,1,-4.214213655462373e-05,-0.08559034259001386,-0.14728218768025336
8,8,2011-12-23,2703.685,2712.769,2682.524,2705.017,ME8888.XZCE,2011,12,51,-365,-84,,,,,,,,,,,,,,,,,,2011-11,24.5,31.5,18.4,13.6,14.2,18.1,18.2,20.6,43.4,28.6,17.3,-1.5,-1.3,3.9,2.72,6.44,2011,11,0.008449115107224792,-4.214213655462373e-05,-0.02734344943042122,-0.0021079613484207282,0.010979456141846367,-0.03971741733854539,0.004532533,1,0.008449115107224792,-0.07714122748278907,-0.13883307257302857
9,9,2011-12-30,2708.89,2731.358,2665.787,2727.872,ME8888.XZCE,2011,12,52,-364,-84,,,,,,,,,,,,,,,,,,2011-11,24.5,31.5,18.4,13.6,14.2,18.1,18.2,20.6,43.4,28.6,17.3,-1.5,-1.3,3.9,2.72,6.44,2011,11,0.03693575065105703,0.008449115107224792,-4.214213655462373e-05,-0.02734344943042122,-0.0021079613484207282,0.010979456141846367,0.013266354,1,0.03693575065105703,-0.040205476831732034,-0.10189732192197154
