,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2007-11-02,8379.324,8700.216,8378.534,8572.198,P8888.XDCE,2007,11,44,-580,-133,,,,,,,,,,,,,,,,,,2007-10,26.9,36.5,23.8,21.0,23.4,23.0,21.6,22.7,4.6,20.1,11.7,10.6,24.3,23.7,3.2,2.8,2007.0,10.0,0.03736474589131045,,,,,,0.5,1,0.03736474589131045,0.03736474589131045,0.03736474589131045
1,1,2007-11-09,8578.922,8943.842,8578.38,8892.496,P8888.XDCE,2007,11,45,-579,-133,,,,,,,,,,,,,,,,,,2007-10,26.9,36.5,23.8,21.0,23.4,23.0,21.6,22.7,4.6,20.1,11.7,10.6,24.3,23.7,3.2,2.8,2007.0,10.0,-0.024995119480514583,0.03736474589131045,,,,,0.07296221,1,-0.024995119480514583,0.012369626410795864,0.012369626410795864
2,2,2007-11-16,8884.423,8957.917,8653.66,8670.227,P8888.XDCE,2007,11,46,-578,-133,,,,,,,,,,,,,,,,,,2007-10,26.9,36.5,23.8,21.0,23.4,23.0,21.6,22.7,4.6,20.1,11.7,10.6,24.3,23.7,3.2,2.8,2007.0,10.0,0.00651724574223933,-0.024995119480514583,0.03736474589131045,,,,0.04551526,1,0.00651724574223933,0.018886872153035195,0.018886872153035195
3,3,2007-11-23,8757.203,8790.629,8417.071,8726.733,P8888.XDCE,2007,11,47,-577,-133,,,,,,,,,,,,,,,,,,2007-10,26.9,36.5,23.8,21.0,23.4,23.0,21.6,22.7,4.6,20.1,11.7,10.6,24.3,23.7,3.2,2.8,2007.0,10.0,-0.02448006602241637,0.00651724574223933,-0.024995119480514583,0.03736474589131045,,,0.0037328727,1,-0.02448006602241637,-0.0055931938693811745,-0.0055931938693811745
4,4,2007-11-30,8769.336,8868.556,8467.717,8513.102,P8888.XDCE,2007,11,48,-576,-133,,,,,,,,,,,,,,,,,,2007-10,26.9,36.5,23.8,21.0,23.4,23.0,21.6,22.7,4.6,20.1,11.7,10.6,24.3,23.7,3.2,2.8,2007.0,10.0,0.006411059094557858,-0.02448006602241637,0.00651724574223933,-0.024995119480514583,0.03736474589131045,,0.0118257515,1,0.006411059094557858,0.0008178652251766838,0.0008178652251766838
5,5,2007-12-07,8560.902,8642.933,8469.735,8567.68,P8888.XDCE,2007,12,49,-575,-132,,,,,,,,,,,,,,,,,,2007-11,26.8,37.2,23.6,19.1,24.4,23.3,17.9,21.3,9.3,19.6,11.4,6.5,21.7,23.5,4.55,2.9,2007.0,11.0,0.013133193583326985,0.006411059094557858,-0.02448006602241637,0.00651724574223933,-0.024995119480514583,0.03736474589131045,0.0015121294,1,0.013133193583326985,0.013951058808503669,0.013951058808503669
6,6,2007-12-14,8549.271,8831.806,8504.414,8680.201,P8888.XDCE,2007,12,50,-574,-132,,,,,,,,,,,,,,,,,,2007-11,26.8,37.2,23.6,19.1,24.4,23.3,17.9,21.3,9.3,19.6,11.4,6.5,21.7,23.5,4.55,2.9,2007.0,11.0,0.012541875470395203,0.013133193583326985,0.006411059094557858,-0.02448006602241637,0.00651724574223933,-0.024995119480514583,0.005352503,1,0.012541875470395203,0.026492934278898872,0.026492934278898872
7,7,2007-12-21,8729.369,8813.501,8615.786,8789.067,P8888.XDCE,2007,12,51,-573,-132,,,,,,,,,,,,,,,,,,2007-11,26.8,37.2,23.6,19.1,24.4,23.3,17.9,21.3,9.3,19.6,11.4,6.5,21.7,23.5,4.55,2.9,2007.0,11.0,0.05758665851563105,0.012541875470395203,0.013133193583326985,0.006411059094557858,-0.02448006602241637,0.00651724574223933,0.0206189,1,0.05758665851563105,0.08407959279452992,0.08407959279452992
8,8,2007-12-28,8783.298,9480.277,8741.664,9295.2,P8888.XDCE,2007,12,52,-572,-132,,,,,,,,,,,,,,,,,,2007-11,26.8,37.2,23.6,19.1,24.4,23.3,17.9,21.3,9.3,19.6,11.4,6.5,21.7,23.5,4.55,2.9,2007.0,11.0,0.014719640244427179,0.05758665851563105,0.012541875470395203,0.013133193583326985,0.006411059094557858,-0.02448006602241637,0.06281751,1,0.014719640244427179,0.0987992330389571,0.0987992330389571
9,9,2008-01-04,9298.819,9533.375,9242.83,9432.022,P8888.XDCE,2008,1,1,-571,-131,,,,,,,,,,,,,,,,,,2007-12,25.8,34.7,23.7,18.5,26.6,24.2,21.7,21.6,18.2,19.8,11.7,7.4,23.8,22.9,5.43,3.1,2007.0,12.0,0.042596062647012545,0.014719640244427179,0.05758665851563105,0.012541875470395203,0.013133193583326985,0.006411059094557858,0.028854912,1,0.042596062647012545,0.14139529568596965,0.14139529568596965
