,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2020-04-03,2435.695,2886.925,2415.492,2881.165,PG8888.XDCE,2020,4,14,66,16,2020-03-26,80.83,56.61,,,,,25078.0,17809.0,,,,,,80.83,,,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020.0,3.0,0.04986455131865064,,,,,,0.5,1,0.04986455131865064,0.04986455131865064,0.04986455131865064
1,1,2020-04-10,2929.695,3062.814,2897.037,3024.833,PG8888.XDCE,2020,4,15,67,16,2020-04-02,81.91,57.37,660.4,-2.0,230.5,-1.8,22796.0,15509.0,,4550.510867,4422.020362,12.462433,134.961645,81.91,-7.2,-3.6,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020.0,3.0,0.05492832166271655,0.04986455131865064,,,,,0.08450021,1,0.05492832166271655,0.10479287298136719,0.10479287298136719
2,2,2020-04-17,3080.677,3340.372,3078.631,3190.982,PG8888.XDCE,2020,4,16,68,16,2020-04-09,82.48,57.77,660.4,-2.0,230.5,-1.8,20948.0,14424.0,,4550.510867,4422.020362,12.462433,134.961645,82.48,-7.2,-3.6,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020.0,3.0,0.066081851918939,0.05492832166271655,0.04986455131865064,,,,0.06661098,1,0.066081851918939,0.1708747249003062,0.1708747249003062
3,3,2020-04-24,3094.399,3424.431,3068.091,3401.848,PG8888.XDCE,2020,4,17,69,16,2020-04-16,77.69,54.57,660.4,-2.0,230.5,-1.8,24562.0,14757.0,,4550.510867,4422.020362,12.462433,134.961645,77.69,-7.2,-3.6,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020.0,3.0,-0.0017558103713040119,0.066081851918939,0.05492832166271655,0.04986455131865064,,,0.07055297,1,-0.0017558103713040119,0.16911891452900218,0.16911891452900218
4,4,2020-04-30,3381.419,3658.922,3271.255,3395.875,PG8888.XDCE,2020,4,18,70,16,2020-04-23,77.39,54.37,660.4,-2.0,230.5,-1.8,34590.0,22265.0,,4550.510867,4422.020362,12.462433,134.961645,77.39,-7.2,-3.6,2020-03,-16.1,-25.2,-15.0,-1.6,-5.4,-17.2,-2.2,-13.5,-16.2,-21.3,-29.4,-21.7,-43.0,-44.6,-1.5,-0.6,2020.0,3.0,0.017484153568667837,-0.0017558103713040119,0.066081851918939,0.05492832166271655,0.04986455131865064,,0.062657915,1,0.017484153568667837,0.18660306809767002,0.18660306809767002
5,5,2020-05-08,3498.994,3525.761,3357.797,3455.249,PG8888.XDCE,2020,5,19,71,17,2020-04-30,77.3,54.31,896.5,-1.6,235.4,-0.9,24603.0,18012.0,,75188.54283,8034.919292,-14.277697,-29.67736,77.3,-6.1,-3.2,2020-04,-10.3,-18.8,-7.3,8.9,7.5,-9.0,14.3,-4.2,-5.8,-16.4,-19.9,11.4,5.1,-32.3,-3.1,-1.2,2020.0,4.0,-0.051222068221421835,0.017484153568667837,-0.0017558103713040119,0.066081851918939,0.05492832166271655,0.04986455131865064,0.07139484,1,-0.051222068221421835,0.1353809998762482,0.1353809998762482
6,6,2020-05-15,3455.601,3507.813,3207.668,3278.264,PG8888.XDCE,2020,5,20,72,17,2020-05-08,73.14,51.39,896.5,-1.6,235.4,-0.9,23339.0,18331.0,,75188.54283,8034.919292,-14.277697,-29.67736,73.14,-6.1,-3.2,2020-04,-10.3,-18.8,-7.3,8.9,7.5,-9.0,14.3,-4.2,-5.8,-16.4,-19.9,11.4,5.1,-32.3,-3.1,-1.2,2020.0,4.0,0.020017911919235187,-0.051222068221421835,0.017484153568667837,-0.0017558103713040119,0.066081851918939,0.05492832166271655,-0.004465996,-1,-0.020017911919235187,0.115363087957013,0.15539891179548337
7,7,2020-05-22,3277.023,3437.19,3172.902,3343.888,PG8888.XDCE,2020,5,21,73,17,2020-05-14,69.96,49.15,896.5,-1.6,235.4,-0.9,42538.0,36782.0,,75188.54283,8034.919292,-14.277697,-29.67736,69.96,-6.1,-3.2,2020-04,-10.3,-18.8,-7.3,8.9,7.5,-9.0,14.3,-4.2,-5.8,-16.4,-19.9,11.4,5.1,-32.3,-3.1,-1.2,2020.0,4.0,0.028802400080385482,0.020017911919235187,-0.051222068221421835,0.017484153568667837,-0.0017558103713040119,0.066081851918939,-0.01705506,-1,-0.028802400080385482,0.08656068787662752,0.18420131187586886
8,8,2020-05-29,3369.913,3487.882,3361.478,3440.2,PG8888.XDCE,2020,5,22,74,17,2020-05-21,69.19,48.61,896.5,-1.6,235.4,-0.9,50859.0,45394.0,,75188.54283,8034.919292,-14.277697,-29.67736,69.19,-6.1,-3.2,2020-04,-10.3,-18.8,-7.3,8.9,7.5,-9.0,14.3,-4.2,-5.8,-16.4,-19.9,11.4,5.1,-32.3,-3.1,-1.2,2020.0,4.0,0.04477239695366553,0.028802400080385482,0.020017911919235187,-0.051222068221421835,0.017484153568667837,-0.0017558103713040119,0.03650236,1,0.04477239695366553,0.13133308483029305,0.22897370882953438
9,9,2020-06-05,3438.136,3620.928,3417.359,3594.226,PG8888.XDCE,2020,6,23,75,18,2020-05-28,66.28,46.56,1118.5,-3.3,216.7,-11.0,58700.0,53466.0,,1245.44545,4708.879188,-29.00385,-29.848617,66.28,-5.8,-4.6,2020-05,-6.3,-14.8,-4.7,3.6,7.3,-4.9,16.4,1.0,-9.8,-18.9,-14.8,17.1,19.0,-23.6,-3.7,-1.7,2020.0,5.0,-0.06804914326478084,0.04477239695366553,0.028802400080385482,0.020017911919235187,-0.051222068221421835,0.017484153568667837,0.049262356,1,-0.06804914326478084,0.0632839415655122,0.16092456556475354
