,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2021-02-05,10510.41,10756.499,10126.699,10288.297,PK8888.XZCE,2021,2,5,109,26,2021-01-28,74.42,52.56,,,,,234244.0,177269.0,,-80.776973,-80.776973,-12.395699,-18.47059,74.42,,,2021-01,,,,,,,,,,,,,,,0.3,0.3,2021.0,1.0,0.006209190889415295,,,,,,0.5,1,0.006209190889415295,0.006209190889415295,0.006209190889415295
1,1,2021-02-10,10291.438,10464.947,10285.69,10352.179,PK8888.XZCE,2021,2,6,110,26,2021-02-04,77.77,54.92,,,,,239197.0,181081.0,,-80.776973,-80.776973,-12.395699,-18.47059,77.77,,,2021-01,,,,,,,,,,,,,,,0.3,0.3,2021.0,1.0,0.0010854719571598004,0.006209190889415295,,,,,0.04420392,1,0.0010854719571598004,0.007294662846575095,0.007294662846575095
2,2,2021-02-19,10398.537,10493.199,10213.062,10363.416,PK8888.XZCE,2021,2,7,111,26,2021-02-10,80.82,54.92,,,,,265685.0,198042.0,,-80.776973,-80.776973,-12.395699,-18.47059,80.82,,,2021-01,,,,,,,,,,,,,,,0.3,0.3,2021.0,1.0,0.038259295969591545,0.0010854719571598004,0.006209190889415295,,,,0.01940998,1,0.038259295969591545,0.04555395881616664,0.04555395881616664
3,3,2021-02-26,10407.111,10946.467,10401.357,10759.913,PK8888.XZCE,2021,2,8,112,26,2021-02-10,80.82,54.92,,,,,265685.0,198042.0,,-80.776973,-80.776973,-12.395699,-18.47059,80.82,,,2021-01,,,,,,,,,,,,,,,0.3,0.3,2021.0,1.0,-0.003239431396889536,0.038259295969591545,0.0010854719571598004,0.006209190889415295,,,0.018771969,1,-0.003239431396889536,0.042314527419277104,0.042314527419277104
4,4,2021-03-05,10827.798,11192.614,10555.016,10725.057,PK8888.XZCE,2021,3,9,113,27,2021-02-25,82.82,58.48,467.1,9.1,,,305990.0,236481.0,,-71.650224,-78.481727,-4.528374,-22.451834,82.82,14.8,,2021-02,35.0,37.3,59.5,,,62.4,,59.2,,59.0,85.4,,,89.9,1.7,1.0,2021.0,2.0,0.00484817936165749,-0.003239431396889536,0.038259295969591545,0.0010854719571598004,0.006209190889415295,,0.04341412,1,0.00484817936165749,0.04716270678093459,0.04716270678093459
5,5,2021-03-12,11137.896,11208.709,10664.662,10777.054,PK8888.XZCE,2021,3,10,114,27,2021-03-04,82.86,58.51,467.1,9.1,,,341878.0,235743.0,,-71.650224,-78.481727,-4.528374,-22.451834,82.86,14.8,,2021-02,35.0,37.3,59.5,,,62.4,,59.2,,59.0,85.4,,,89.9,1.7,1.0,2021.0,2.0,-0.03190268880530811,0.00484817936165749,-0.003239431396889536,0.038259295969591545,0.0010854719571598004,0.006209190889415295,0.032718666,1,-0.03190268880530811,0.015260017975626483,0.015260017975626483
6,6,2021-03-19,10788.113,10857.38,10379.779,10433.237,PK8888.XZCE,2021,3,11,115,27,2021-03-11,81.35,57.45,467.1,9.1,,,503138.0,339022.0,,-71.650224,-78.481727,-4.528374,-22.451834,81.35,14.8,,2021-02,35.0,37.3,59.5,,,62.4,,59.2,,59.0,85.4,,,89.9,1.7,1.0,2021.0,2.0,0.0018275248611721029,-0.03190268880530811,0.00484817936165749,-0.003239431396889536,0.038259295969591545,0.0010854719571598004,0.0097704055,1,0.0018275248611721029,0.017087542836798586,0.017087542836798586
7,7,2021-03-26,10472.918,10603.39,10407.821,10452.304,PK8888.XZCE,2021,3,12,116,27,2021-03-18,82.5,58.5,467.1,9.1,,,560424.0,347615.0,,-71.650224,-78.481727,-4.528374,-22.451834,82.5,14.8,,2021-02,35.0,37.3,59.5,,,62.4,,59.2,,59.0,85.4,,,89.9,1.7,1.0,2021.0,2.0,0.0012967475879002155,0.0018275248611721029,-0.03190268880530811,0.00484817936165749,-0.003239431396889536,0.038259295969591545,-0.004713348,-1,-0.0012967475879002155,0.01579079524889837,0.0183842904246988
8,8,2021-04-02,10403.001,10522.61,10270.472,10465.858,PK8888.XZCE,2021,4,13,117,28,2021-03-25,84.35,59.82,467.1,9.1,,,570456.0,327349.0,,-71.650224,-78.481727,-4.528374,-22.451834,84.35,14.8,,2021-03,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021.0,3.0,-0.006919738448582069,0.0012967475879002155,0.0018275248611721029,-0.03190268880530811,0.00484817936165749,-0.003239431396889536,0.0072714193,1,-0.006919738448582069,0.008871056800316302,0.011464551976116732
9,9,2021-04-09,10431.567,10668.674,10331.256,10393.437,PK8888.XZCE,2021,4,14,118,28,2021-04-01,82.23,58.43,721.1,2.6,254.0,4.1,497427.0,266469.0,,-86.31058,-81.170259,-42.728601,40.948495,82.23,13.7,11.3,2021-03,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021.0,3.0,0.001478914049317881,-0.006919738448582069,0.0012967475879002155,0.0018275248611721029,-0.03190268880530811,0.00484817936165749,0.008900939,1,0.001478914049317881,0.010349970849634182,0.012943466025434613
