,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2012-01-20,2219.0,2219.0,2204.0,2204.0,PM8888.XZCE,2012,1,3,-361,-83,,,,,,,,,,,,,,,,,,2011-12,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,32.7,28.9,15.3,-11.0,-6.5,3.0,1.69,6.03,2011.0,12.0,0.0009074410163338875,,,,,,0.5,1,0.0009074410163338875,0.0009074410163338875,0.0009074410163338875
1,1,2012-02-03,2220.0,2220.0,2198.0,2206.0,PM8888.XZCE,2012,2,5,-359,-82,,,,,,,,,,,,,,,,,,2012-01,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,-1.54,-1.54,-29.81,-29.81,-25.71,-25.71,0.73,0.73,2012.0,1.0,-0.0027198549410698547,0.0009074410163338875,,,,,0.039310113,1,-0.0027198549410698547,-0.0018124139247359672,-0.0018124139247359672
2,2,2012-02-10,2222.0,2225.0,2200.0,2200.0,PM8888.XZCE,2012,2,6,-358,-82,,,,,,,,,,,,,,,,,,2012-01,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,-1.54,-1.54,-29.81,-29.81,-25.71,-25.71,0.73,0.73,2012.0,1.0,0.0,-0.0027198549410698547,0.0009074410163338875,,,,0.015001049,1,0.0,-0.0018124139247359672,-0.0018124139247359672
3,3,2012-02-17,2206.0,2208.0,2191.0,2200.0,PM8888.XZCE,2012,2,7,-357,-82,,,,,,,,,,,,,,,,,,2012-01,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,-1.54,-1.54,-29.81,-29.81,-25.71,-25.71,0.73,0.73,2012.0,1.0,0.00045454545454548523,0.0,-0.0027198549410698547,0.0009074410163338875,,,0.014561739,1,0.00045454545454548523,-0.001357868470190482,-0.001357868470190482
4,4,2012-02-24,2209.0,2209.0,2200.0,2201.0,PM8888.XZCE,2012,2,8,-356,-82,,,,,,,,,,,,,,,,,,2012-01,23.8,31.8,17.8,13.9,11.7,17.4,12.7,19.8,-1.54,-1.54,-29.81,-29.81,-25.71,-25.71,0.73,0.73,2012.0,1.0,0.01862789641072249,0.00045454545454548523,0.0,-0.0027198549410698547,0.0009074410163338875,,0.009400648,1,0.01862789641072249,0.017270027940532007,0.017270027940532007
5,5,2012-03-02,2200.0,2242.0,2200.0,2242.0,PM8888.XZCE,2012,3,9,-355,-81,,,,,,,,,,,,,,,,,,2012-02,21.5,24.66,12.2,25.4,20.9,8.6,25.9,11.6,-5.83,-3.9,-11.9,10.99,32.79,-1.8,0.03,0.38,2012.0,2.0,-0.001784121320249743,0.01862789641072249,0.00045454545454548523,0.0,-0.0027198549410698547,0.0009074410163338875,0.023684012,1,-0.001784121320249743,0.015485906620282264,0.015485906620282264
6,6,2012-03-09,2249.0,2252.0,2213.0,2238.0,PM8888.XZCE,2012,3,10,-354,-81,,,,,,,,,,,,,,,,,,2012-02,21.5,24.66,12.2,25.4,20.9,8.6,25.9,11.6,-5.83,-3.9,-11.9,10.99,32.79,-1.8,0.03,0.38,2012.0,2.0,0.004915102770330693,-0.001784121320249743,0.01862789641072249,0.00045454545454548523,0.0,-0.0027198549410698547,0.015789602,1,0.004915102770330693,0.020401009390612956,0.020401009390612956
7,7,2012-03-16,2237.0,2268.0,2140.0,2249.0,PM8888.XZCE,2012,3,11,-353,-81,,,,,,,,,,,,,,,,,,2012-02,21.5,24.66,12.2,25.4,20.9,8.6,25.9,11.6,-5.83,-3.9,-11.9,10.99,32.79,-1.8,0.03,0.38,2012.0,2.0,0.011116051578479391,0.004915102770330693,-0.001784121320249743,0.01862789641072249,0.00045454545454548523,0.0,0.02351001,1,0.011116051578479391,0.03151706096909235,0.03151706096909235
8,8,2012-03-23,2260.0,2296.0,2248.0,2274.0,PM8888.XZCE,2012,3,12,-352,-81,,,,,,,,,,,,,,,,,,2012-02,21.5,24.66,12.2,25.4,20.9,8.6,25.9,11.6,-5.83,-3.9,-11.9,10.99,32.79,-1.8,0.03,0.38,2012.0,2.0,0.0021987686895339476,0.011116051578479391,0.004915102770330693,-0.001784121320249743,0.01862789641072249,0.00045454545454548523,0.014669146,1,0.0021987686895339476,0.033715829658626295,0.033715829658626295
9,9,2012-03-30,2278.0,2292.0,2265.0,2279.0,PM8888.XZCE,2012,3,13,-351,-81,,,,,,,,,,,,,,,,,,2012-02,21.5,24.66,12.2,25.4,20.9,8.6,25.9,11.6,-5.83,-3.9,-11.9,10.99,32.79,-1.8,0.03,0.38,2012.0,2.0,0.007020623080298272,0.0021987686895339476,0.011116051578479391,0.004915102770330693,-0.001784121320249743,0.01862789641072249,0.016093835,1,0.007020623080298272,0.04073645273892457,0.04073645273892457
10,10,2012-04-06,2292.0,2295.0,2287.0,2295.0,PM8888.XZCE,2012,4,14,-350,-80,,,,,,,,,,,,,,,,,,2012-03,20.9,24.82,12.8,13.6,9.8,8.8,13.5,12.1,17.6,3.3,-3.2,-5.5,5.1,0.0,-0.32,0.15,2012.0,3.0,-0.006100217864923763,0.007020623080298272,0.0021987686895339476,0.011116051578479391,0.004915102770330693,-0.001784121320249743,0.01678144,1,-0.006100217864923763,0.034636234874000804,0.034636234874000804
11,11,2012-04-13,2296.0,2300.0,2280.0,2281.0,PM8888.XZCE,2012,4,15,-349,-80,,,,,,,,,,,,,,,,,,2012-03,20.9,24.82,12.8,13.6,9.8,8.8,13.5,12.1,17.6,3.3,-3.2,-5.5,5.1,0.0,-0.32,0.15,2012.0,3.0,0.003068829460762812,-0.006100217864923763,0.007020623080298272,0.0021987686895339476,0.011116051578479391,0.004915102770330693,0.011731615,1,0.003068829460762812,0.037705064334763616,0.037705064334763616
12,12,2012-04-20,2280.0,2295.0,2280.0,2288.0,PM8888.XZCE,2012,4,16,-348,-80,,,,,,,,,,,,,,,,,,2012-03,20.9,24.82,12.8,13.6,9.8,8.8,13.5,12.1,17.6,3.3,-3.2,-5.5,5.1,0.0,-0.32,0.15,2012.0,3.0,-0.0030594405594405183,0.003068829460762812,-0.006100217864923763,0.007020623080298272,0.0021987686895339476,0.011116051578479391,0.0114432145,1,-0.0030594405594405183,0.0346456237753231,0.0346456237753231
13,13,2012-04-27,2281.0,2373.0,2280.0,2281.0,PM8888.XZCE,2012,4,17,-347,-80,,,,,,,,,,,,,,,,,,2012-03,20.9,24.82,12.8,13.6,9.8,8.8,13.5,12.1,17.6,3.3,-3.2,-5.5,5.1,0.0,-0.32,0.15,2012.0,3.0,-0.002630425252082458,-0.0030594405594405183,0.003068829460762812,-0.006100217864923763,0.007020623080298272,0.0021987686895339476,0.0081513375,1,-0.002630425252082458,0.03201519852324064,0.03201519852324064
