,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2023-09-22,9443.057,9558.366,9128.04,9209.198,PX8888.XZCE,2023,9,38,246,57,2023-09-14,83.61,61.54,,,,,1754905.0,951055.0,,,,,,83.61,,,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.023199957260121917,,,,,,0.5,1,-0.023199957260121917,-0.023199957260121917,-0.023199957260121917
1,1,2023-09-28,9243.026,9288.053,8881.357,8995.545,PX8888.XZCE,2023,9,39,247,57,2023-09-21,82.32,64.09,,,,,1657442.0,935897.0,,,,,,82.32,,,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.06662664685686093,-0.023199957260121917,,,,,0.017057652,1,-0.06662664685686093,-0.08982660411698284,-0.08982660411698284
2,2,2023-10-13,8737.832,8813.043,8285.055,8396.202,PX8888.XZCE,2023,10,41,249,58,2023-09-21,82.32,64.09,,,,,1657442.0,935897.0,,,,,,82.32,,,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,0.0007261616621421219,-0.06662664685686093,-0.023199957260121917,,,,-0.014526217,-1,-0.0007261616621421219,-0.09055276577912497,-0.08910044245484072
3,3,2023-10-20,8491.591,8521.558,8273.94,8402.299,PX8888.XZCE,2023,10,42,250,58,2023-10-12,88.78,69.11,,,,,1495457.0,852497.0,,,,,,88.78,,,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,0.017114363580729375,0.0007261616621421219,-0.06662664685686093,-0.023199957260121917,,,-0.029679263,-1,-0.017114363580729375,-0.10766712935985434,-0.07198607887411135
4,4,2023-10-27,8398.192,8587.455,8227.475,8546.099,PX8888.XZCE,2023,10,43,251,58,2023-10-19,90.02,70.08,,,,,1576383.0,940765.0,,,,,,90.02,,,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,0.01144767922768053,0.017114363580729375,0.0007261616621421219,-0.06662664685686093,-0.023199957260121917,,0.024515456,1,0.01144767922768053,-0.09621945013217381,-0.06053839964643082
5,5,2023-11-03,8544.991,8686.882,8493.245,8643.932,PX8888.XZCE,2023,11,44,252,59,2023-10-26,88.65,69.01,,,,,1543839.0,935196.0,,,,,,88.65,,,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.02084549022366211,0.01144767922768053,0.017114363580729375,0.0007261616621421219,-0.06662664685686093,-0.023199957260121917,0.019286817,1,-0.02084549022366211,-0.11706494035583592,-0.08138388987009293
6,6,2023-11-10,8658.704,8690.499,8346.664,8463.745,PX8888.XZCE,2023,11,45,253,59,2023-11-02,87.14,67.83,2665.7,9.7,309.5,21.4,1537390.0,936580.0,,3807.580459,367.621813,-74.074714,1.982344,87.14,0.9,1.3,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.023801638636324673,-0.02084549022366211,0.01144767922768053,0.017114363580729375,0.0007261616621421219,-0.06662664685686093,0.009186384,1,0.023801638636324673,-0.09326330171951125,-0.057582251233768256
7,7,2023-11-17,8488.779,8831.806,8372.296,8665.196,PX8888.XZCE,2023,11,46,254,59,2023-11-09,85.34,66.43,2665.7,9.7,309.5,21.4,1469105.0,865339.0,,3807.580459,367.621813,-74.074714,1.982344,85.34,0.9,1.3,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.03044997481880385,0.023801638636324673,-0.02084549022366211,0.01144767922768053,0.017114363580729375,0.0007261616621421219,0.018978734,1,-0.03044997481880385,-0.1237132765383151,-0.0880322260525721
8,8,2023-11-24,8688.749,8764.867,8318.005,8401.341,PX8888.XZCE,2023,11,47,255,59,2023-11-16,84.68,65.92,2665.7,9.7,309.5,21.4,1076631.0,643401.0,,3807.580459,367.621813,-74.074714,1.982344,84.68,0.9,1.3,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.010620328349962294,-0.03044997481880385,0.023801638636324673,-0.02084549022366211,0.01144767922768053,0.017114363580729375,0.029255027,1,-0.010620328349962294,-0.1343336048882774,-0.0986525544025344
9,9,2023-12-01,8393.974,8476.385,8201.842,8312.116,PX8888.XZCE,2023,12,48,256,60,2023-11-23,88.83,69.15,2665.7,9.7,309.5,21.4,1140839.0,714974.0,,3807.580459,367.621813,-74.074714,1.982344,88.83,0.9,1.3,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.00234621364764398,-0.010620328349962294,-0.03044997481880385,0.023801638636324673,-0.02084549022366211,0.01144767922768053,0.021955464,1,0.00234621364764398,-0.1319873912406334,-0.09630634075489042
10,10,2023-12-08,8314.162,8393.693,8104.729,8331.618,PX8888.XZCE,2023,12,49,257,60,2023-11-30,84.73,65.96,2957.5,9.5,291.8,7.6,1162928.0,707524.0,,7807.79768,448.931626,-65.226739,18.633425,84.73,1.1,4.4,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.011301166232057347,0.00234621364764398,-0.010620328349962294,-0.03044997481880385,0.023801638636324673,-0.02084549022366211,-0.00342804,-1,0.011301166232057347,-0.12068622500857606,-0.10760750698694777
11,11,2023-12-15,8334.899,8419.213,8087.456,8237.461,PX8888.XZCE,2023,12,50,258,60,2023-12-07,85.04,66.21,2957.5,9.5,291.8,7.6,1041965.0,518578.0,,7807.79768,448.931626,-65.226739,18.633425,85.04,1.1,4.4,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.0432164716773773,-0.011301166232057347,0.00234621364764398,-0.010620328349962294,-0.03044997481880385,0.023801638636324673,0.0029223245,1,0.0432164716773773,-0.07746975333119877,-0.06439103530957047
12,12,2023-12-22,8252.511,8663.338,8192.41,8593.455,PX8888.XZCE,2023,12,51,259,60,2023-12-14,84.36,65.68,2957.5,9.5,291.8,7.6,876962.0,499627.0,,7807.79768,448.931626,-65.226739,18.633425,84.36,1.1,4.4,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.0013493990484618745,0.0432164716773773,-0.011301166232057347,0.00234621364764398,-0.010620328349962294,-0.03044997481880385,0.0114528285,1,-0.0013493990484618745,-0.07881915237966064,-0.06574043435803234
13,13,2023-12-29,8601.75,8713.644,8489.109,8581.859,PX8888.XZCE,2023,12,52,260,60,2023-12-21,83.11,64.7,2957.5,9.5,291.8,7.6,776336.0,468457.0,,7807.79768,448.931626,-65.226739,18.633425,83.11,1.1,4.4,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.0036388386245918003,-0.0013493990484618745,0.0432164716773773,-0.011301166232057347,0.00234621364764398,-0.010620328349962294,0.009636383,1,-0.0036388386245918003,-0.08245799100425244,-0.06937927298262414
14,14,2024-01-05,8596.419,8733.246,8445.914,8550.631,PX8888.XZCE,2024,1,1,261,61,2023-12-21,83.11,64.7,2957.5,9.5,291.8,7.6,776336.0,468457.0,,7807.79768,448.931626,-65.226739,18.633425,83.11,1.1,4.4,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.0230449659212284,-0.0036388386245918003,-0.0013493990484618745,0.0432164716773773,-0.011301166232057347,0.00234621364764398,0.013253944,1,-0.0230449659212284,-0.10550295692548084,-0.09242423890385254
15,15,2024-01-12,8538.401,8636.852,8243.428,8353.582,PX8888.XZCE,2024,1,2,262,61,2024-01-04,85.19,66.32,2957.5,9.5,291.8,7.6,669884.0,475649.0,,7807.79768,448.931626,-65.226739,18.633425,85.19,1.1,4.4,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.0225541570071377,-0.0230449659212284,-0.0036388386245918003,-0.0013493990484618745,0.0432164716773773,-0.011301166232057347,-0.00039297505,-1,-0.0225541570071377,-0.12805711393261854,-0.06987008189671484
16,16,2024-01-19,8358.143,8551.901,8306.375,8541.99,PX8888.XZCE,2024,1,3,263,61,2024-01-11,88.79,69.12,2957.5,9.5,291.8,7.6,681728.0,479660.0,,7807.79768,448.931626,-65.226739,18.633425,88.79,1.1,4.4,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.013057847176126458,0.0225541570071377,-0.0230449659212284,-0.0036388386245918003,-0.0013493990484618745,0.0432164716773773,0.0023108502,1,0.013057847176126458,-0.11499926675649208,-0.056812234720588384
17,17,2024-01-26,8509.556,8728.886,8489.206,8653.53,PX8888.XZCE,2024,1,4,264,61,2024-01-18,89.62,69.77,2957.5,9.5,291.8,7.6,759411.0,523807.0,,7807.79768,448.931626,-65.226739,18.633425,89.62,1.1,4.4,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.029572209260267268,0.013057847176126458,0.0225541570071377,-0.0230449659212284,-0.0036388386245918003,-0.0013493990484618745,0.0049690916,1,-0.029572209260267268,-0.14457147601675935,-0.08638444398085565
18,18,2024-02-02,8649.158,8698.771,8352.108,8397.626,PX8888.XZCE,2024,2,5,265,62,2024-01-25,87.04,67.76,2957.5,9.5,291.8,7.6,697451.0,457908.0,,7807.79768,448.931626,-65.226739,18.633425,87.04,1.1,4.4,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.0073991149403414,-0.029572209260267268,0.013057847176126458,0.0225541570071377,-0.0230449659212284,-0.0036388386245918003,0.0060580596,1,0.0073991149403414,-0.13717236107641795,-0.07898532904051425
19,19,2024-02-08,8390.917,8530.882,8342.257,8459.761,PX8888.XZCE,2024,2,6,266,62,2024-02-01,88.29,68.73,2957.5,9.5,291.8,7.6,726867.0,504713.0,,7485.931064,7485.931064,-57.349433,-22.440737,88.29,1.1,4.4,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.008657218566812785,0.0073991149403414,-0.029572209260267268,0.013057847176126458,0.0225541570071377,-0.0230449659212284,0.015151094,1,0.008657218566812785,-0.12851514250960516,-0.07032811047370147
20,20,2024-02-23,8533.59,8626.765,8446.613,8532.999,PX8888.XZCE,2024,2,8,268,62,2024-02-01,88.29,68.73,2957.5,9.5,291.8,7.6,726867.0,504713.0,,7485.931064,7485.931064,-57.349433,-22.440737,88.29,1.1,4.4,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.002308332627251053,0.008657218566812785,0.0073991149403414,-0.029572209260267268,0.013057847176126458,0.0225541570071377,0.023651693,1,0.002308332627251053,-0.1262068098823541,-0.06801977784645041
