,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2012-07-27,2770.0,2770.0,2764.0,2765.0,RI8888.XZCE,2012,7,30,-334,-77,,,,,,,,,,,,,,,,,,2012-06,20.4,24.55,11.2,11.6,6.5,8.0,9.6,10.0,4.5,2.7,-9.0,-17.8,13.8,6.7,-2.08,-0.63,2012.0,6.0,0.008318264014466559,,,,,,0.5,1,0.008318264014466559,0.008318264014466559,0.008318264014466559
1,1,2012-08-03,2770.0,2788.0,2770.0,2788.0,RI8888.XZCE,2012,8,31,-333,-76,,,,,,,,,,,,,,,,,,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,0.01685796269727402,0.008318264014466559,,,,,0.04615071,1,0.01685796269727402,0.02517622671174058,0.02517622671174058
2,2,2012-08-10,2815.0,2855.0,2815.0,2835.0,RI8888.XZCE,2012,8,32,-332,-76,,,,,,,,,,,,,,,,,,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,0.0,0.01685796269727402,0.008318264014466559,,,,0.028066829,1,0.0,0.02517622671174058,0.02517622671174058
3,3,2012-08-17,2835.0,2835.0,2835.0,2835.0,RI8888.XZCE,2012,8,33,-331,-76,,,,,,,,,,,,,,,,,,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,0.010582010582010692,0.0,0.01685796269727402,0.008318264014466559,,,0.021699611,1,0.010582010582010692,0.03575823729375127,0.03575823729375127
4,4,2012-08-24,2865.0,2865.0,2865.0,2865.0,RI8888.XZCE,2012,8,34,-330,-76,,,,,,,,,,,,,,,,,,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,0.0,0.010582010582010692,0.0,0.01685796269727402,0.008318264014466559,,0.018535353,1,0.0,0.03575823729375127,0.03575823729375127
5,5,2012-08-31,2865.0,2865.0,2865.0,2865.0,RI8888.XZCE,2012,8,35,-329,-76,,,,,,,,,,,,,,,,,,2012-07,20.4,24.85,11.3,11.3,6.5,7.8,7.9,9.6,21.2,5.1,-16.4,-33.7,12.3,7.4,-2.87,-0.95,2012.0,7.0,0.0,0.0,0.010582010582010692,0.0,0.01685796269727402,0.008318264014466559,0.014861188,1,0.0,0.03575823729375127,0.03575823729375127
6,6,2012-09-07,2865.0,2865.0,2865.0,2865.0,RI8888.XZCE,2012,9,36,-328,-75,,,,,,,,,,,,,,,,,,2012-08,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,15.2,6.9,-16.7,-31.7,8.2,7.6,-3.48,-1.27,2012.0,8.0,-0.012216404886561949,0.0,0.0,0.010582010582010692,0.0,0.01685796269727402,0.013319392,1,-0.012216404886561949,0.023541832407189323,0.023541832407189323
7,7,2012-09-14,2865.0,2865.0,2830.0,2830.0,RI8888.XZCE,2012,9,37,-327,-75,,,,,,,,,,,,,,,,,,2012-08,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,15.2,6.9,-16.7,-31.7,8.2,7.6,-3.48,-1.27,2012.0,8.0,0.0,-0.012216404886561949,0.0,0.0,0.010582010582010692,0.0,0.0061508887,1,0.0,0.023541832407189323,0.023541832407189323
8,8,2012-09-21,2830.0,2830.0,2830.0,2830.0,RI8888.XZCE,2012,9,38,-326,-75,,,,,,,,,,,,,,,,,,2012-08,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,15.2,6.9,-16.7,-31.7,8.2,7.6,-3.48,-1.27,2012.0,8.0,-0.021201413427561877,0.0,-0.012216404886561949,0.0,0.0,0.010582010582010692,0.0061508887,1,-0.021201413427561877,0.0023404189796274455,0.0023404189796274455
9,9,2012-09-28,2768.0,2782.0,2740.0,2770.0,RI8888.XZCE,2012,9,39,-325,-75,,,,,,,,,,,,,,,,,,2012-08,20.2,23.94,11.6,12.7,7.9,8.2,9.2,9.6,15.2,6.9,-16.7,-31.7,8.2,7.6,-3.48,-1.27,2012.0,8.0,-0.01046931407942242,-0.021201413427561877,0.0,-0.012216404886561949,0.0,0.0,0.004802595,1,-0.01046931407942242,-0.008128895099794975,-0.008128895099794975
10,10,2012-10-12,2673.0,2756.0,2673.0,2741.0,RI8888.XZCE,2012,10,41,-323,-74,,,,,,,,,,,,,,,,,,2012-09,20.5,23.48,11.8,11.5,7.2,7.9,6.8,9.1,-4.9,4.5,-16.6,-12.6,6.3,7.3,-3.55,-1.53,2012.0,9.0,0.004377964246625288,-0.01046931407942242,-0.021201413427561877,0.0,-0.012216404886561949,0.0,0.0005460017,1,0.004377964246625288,-0.0037509308531696872,-0.0037509308531696872
11,11,2012-10-19,2747.0,2753.0,2747.0,2753.0,RI8888.XZCE,2012,10,42,-322,-74,,,,,,,,,,,,,,,,,,2012-09,20.5,23.48,11.8,11.5,7.2,7.9,6.8,9.1,-4.9,4.5,-16.6,-12.6,6.3,7.3,-3.55,-1.53,2012.0,9.0,-0.004722121322193962,0.004377964246625288,-0.01046931407942242,-0.021201413427561877,0.0,-0.012216404886561949,0.012929529,1,-0.004722121322193962,-0.008473052175363649,-0.008473052175363649
12,12,2012-10-26,2753.0,2753.0,2740.0,2740.0,RI8888.XZCE,2012,10,43,-321,-74,,,,,,,,,,,,,,,,,,2012-09,20.5,23.48,11.8,11.5,7.2,7.9,6.8,9.1,-4.9,4.5,-16.6,-12.6,6.3,7.3,-3.55,-1.53,2012.0,9.0,0.003284671532846728,-0.004722121322193962,0.004377964246625288,-0.01046931407942242,-0.021201413427561877,0.0,0.015711864,1,0.003284671532846728,-0.005188380642516921,-0.005188380642516921
13,13,2012-11-02,2765.0,2765.0,2725.0,2749.0,RI8888.XZCE,2012,11,44,-320,-73,,,,,,,,,,,,,,,,,,2012-10,20.7,23.11,12.2,14.0,7.1,8.0,6.2,8.9,-7.0,2.9,-16.9,-19.5,3.8,6.9,-2.76,-1.65,2012.0,10.0,0.005820298290287296,0.003284671532846728,-0.004722121322193962,0.004377964246625288,-0.01046931407942242,-0.021201413427561877,0.011100727,1,0.005820298290287296,0.0006319176477703747,0.0006319176477703747
14,14,2012-11-09,2737.0,2849.0,2659.0,2765.0,RI8888.XZCE,2012,11,45,-319,-73,,,,,,,,,,,,,,,,,,2012-10,20.7,23.11,12.2,14.0,7.1,8.0,6.2,8.9,-7.0,2.9,-16.9,-19.5,3.8,6.9,-2.76,-1.65,2012.0,10.0,0.003978300180831784,0.005820298290287296,0.003284671532846728,-0.004722121322193962,0.004377964246625288,-0.01046931407942242,0.011571754,1,0.003978300180831784,0.004610217828602159,0.004610217828602159
15,15,2012-11-16,2750.0,2779.0,2731.0,2776.0,RI8888.XZCE,2012,11,46,-318,-73,,,,,,,,,,,,,,,,,,2012-10,20.7,23.11,12.2,14.0,7.1,8.0,6.2,8.9,-7.0,2.9,-16.9,-19.5,3.8,6.9,-2.76,-1.65,2012.0,10.0,0.016129682997118033,0.003978300180831784,0.005820298290287296,0.003284671532846728,-0.004722121322193962,0.004377964246625288,0.014413081,1,0.016129682997118033,0.020739900825720192,0.020739900825720192
16,16,2012-11-23,2780.0,2846.582,2779.0,2820.776,RI8888.XZCE,2012,11,47,-317,-73,,,,,,,,,,,,,,,,,,2012-10,20.7,23.11,12.2,14.0,7.1,8.0,6.2,8.9,-7.0,2.9,-16.9,-19.5,3.8,6.9,-2.76,-1.65,2012.0,10.0,-0.015529414600804814,0.016129682997118033,0.003978300180831784,0.005820298290287296,0.003284671532846728,-0.004722121322193962,0.018175306,1,-0.015529414600804814,0.005210486224915378,0.005210486224915378
