,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2007-06-08,10339.327,10468.561,8939.129,8946.282,RO8888.XZCE,2007,6,23,-601,-138,,,,,,,,,,,,,,,,,,2007-05,25.9,35.5,24.4,23.8,20.6,21.8,22.9,22.7,37.1,37.3,9.3,11.9,25.7,22.0,2.8,2.8,2007,5,-0.03692986650767305,,,,,,0.5,1,-0.03692986650767305,-0.03692986650767305,-0.03692986650767305
1,1,2007-06-15,8918.944,8991.074,8454.349,8615.897,RO8888.XZCE,2007,6,24,-600,-138,,,,,,,,,,,,,,,,,,2007-05,25.9,35.5,24.4,23.8,20.6,21.8,22.9,22.7,37.1,37.3,9.3,11.9,25.7,22.0,2.8,2.8,2007,5,-0.005074341069769228,-0.03692986650767305,,,,,0.0043841824,1,-0.005074341069769228,-0.042004207577442276,-0.042004207577442276
2,2,2007-06-22,8743.117,8770.212,8526.743,8572.177,RO8888.XZCE,2007,6,25,-599,-138,,,,,,,,,,,,,,,,,,2007-05,25.9,35.5,24.4,23.8,20.6,21.8,22.9,22.7,37.1,37.3,9.3,11.9,25.7,22.0,2.8,2.8,2007,5,0.0016681876727464573,-0.005074341069769228,-0.03692986650767305,,,,0.0025304817,1,0.0016681876727464573,-0.04033601990469582,-0.04033601990469582
3,3,2007-06-29,8537.676,8606.412,8355.576,8586.477,RO8888.XZCE,2007,6,26,-598,-138,,,,,,,,,,,,,,,,,,2007-05,25.9,35.5,24.4,23.8,20.6,21.8,22.9,22.7,37.1,37.3,9.3,11.9,25.7,22.0,2.8,2.8,2007,5,0.030086378848973805,0.0016681876727464573,-0.005074341069769228,-0.03692986650767305,,,-0.0063296948,-1,-0.030086378848973805,-0.07042239875366962,-0.010249641055722014
4,4,2007-07-06,8712.543,8888.677,8588.9,8844.813,RO8888.XZCE,2007,7,27,-597,-137,,,,,,,,,,,,,,,,,,2007-06,26.7,34.7,24.7,26.7,25.5,22.8,25.2,23.7,21.6,33.6,10.0,13.6,27.6,22.9,2.49,2.8,2007,6,0.0061546807151264815,0.030086378848973805,0.0016681876727464573,-0.005074341069769228,-0.03692986650767305,,0.035405107,1,0.0061546807151264815,-0.06426771803854314,-0.004094960340595533
5,5,2007-07-13,8838.972,8961.773,8756.42,8899.25,RO8888.XZCE,2007,7,28,-596,-137,,,,,,,,,,,,,,,,,,2007-06,26.7,34.7,24.7,26.7,25.5,22.8,25.2,23.7,21.6,33.6,10.0,13.6,27.6,22.9,2.49,2.8,2007,6,0.0003394668090008768,0.0061546807151264815,0.030086378848973805,0.0016681876727464573,-0.005074341069769228,-0.03692986650767305,0.024763443,1,0.0003394668090008768,-0.06392825122954227,-0.003755493531594656
6,6,2007-07-20,8817.73,8931.372,8742.514,8902.271,RO8888.XZCE,2007,7,29,-595,-137,,,,,,,,,,,,,,,,,,2007-06,26.7,34.7,24.7,26.7,25.5,22.8,25.2,23.7,21.6,33.6,10.0,13.6,27.6,22.9,2.49,2.8,2007,6,0.014293993072104882,0.0003394668090008768,0.0061546807151264815,0.030086378848973805,0.0016681876727464573,-0.005074341069769228,0.03512411,1,0.014293993072104882,-0.04963425815743738,0.010538499540510227
7,7,2007-07-27,8862.377,9072.01,8861.139,9029.52,RO8888.XZCE,2007,7,30,-594,-137,,,,,,,,,,,,,,,,,,2007-06,26.7,34.7,24.7,26.7,25.5,22.8,25.2,23.7,21.6,33.6,10.0,13.6,27.6,22.9,2.49,2.8,2007,6,0.01412411733957053,0.014293993072104882,0.0003394668090008768,0.0061546807151264815,0.030086378848973805,0.0016681876727464573,0.016513536,1,0.01412411733957053,-0.03551014081786685,0.024662616880080757
8,8,2007-08-03,9064.413,9277.478,9053.587,9157.054,RO8888.XZCE,2007,8,31,-593,-136,,,,,,,,,,,,,,,,,,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007,7,0.008250142458480658,0.01412411733957053,0.014293993072104882,0.0003394668090008768,0.0061546807151264815,0.030086378848973805,0.019531883,1,0.008250142458480658,-0.027259998359386195,0.032912759338561415
9,9,2007-08-10,9111.01,9314.196,9105.992,9232.601,RO8888.XZCE,2007,8,32,-592,-136,,,,,,,,,,,,,,,,,,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007,7,-0.028518507406526172,0.008250142458480658,0.01412411733957053,0.014293993072104882,0.0003394668090008768,0.0061546807151264815,0.022115296,1,-0.028518507406526172,-0.05577850576591237,0.0043942519320352424
10,10,2007-08-17,9227.032,9298.611,8935.711,8969.301,RO8888.XZCE,2007,8,33,-591,-136,,,,,,,,,,,,,,,,,,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007,7,0.02262026884815227,-0.028518507406526172,0.008250142458480658,0.01412411733957053,0.014293993072104882,0.0003394668090008768,-0.00035777176,-1,-0.02262026884815227,-0.07839877461406464,0.027014520780187512
11,11,2007-08-24,9180.313,9275.898,9031.874,9172.189,RO8888.XZCE,2007,8,34,-590,-136,,,,,,,,,,,,,,,,,,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007,7,-5.069673117286122e-05,0.02262026884815227,-0.028518507406526172,0.008250142458480658,0.01412411733957053,0.014293993072104882,0.0154956225,1,-5.069673117286122e-05,-0.0784494713452375,0.02696382404901465
12,12,2007-08-31,9143.663,9198.43,9007.022,9171.724,RO8888.XZCE,2007,8,35,-589,-136,,,,,,,,,,,,,,,,,,2007-07,26.6,35.1,24.5,22.4,23.5,23.0,20.5,22.8,10.4,29.3,10.1,9.6,32.7,24.3,2.4,2.7,2007,7,-0.002861621217559618,-5.069673117286122e-05,0.02262026884815227,-0.028518507406526172,0.008250142458480658,0.01412411733957053,-0.00088391197,-1,0.002861621217559618,-0.07558785012767788,0.024102202831455033
13,13,2007-09-07,9160.566,9207.847,9105.644,9145.478,RO8888.XZCE,2007,9,36,-588,-135,,,,,,,,,,,,,,,,,,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007,8,0.017597549302507787,-0.002861621217559618,-5.069673117286122e-05,0.02262026884815227,-0.028518507406526172,0.008250142458480658,0.013175403,1,0.017597549302507787,-0.057990300825170094,0.04169975213396282
14,14,2007-09-14,9092.063,9357.17,9092.063,9306.416,RO8888.XZCE,2007,9,37,-587,-135,,,,,,,,,,,,,,,,,,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007,8,0.012545108664817839,0.017597549302507787,-0.002861621217559618,-5.069673117286122e-05,0.02262026884815227,-0.028518507406526172,0.012823338,1,0.012545108664817839,-0.045445192160352255,0.05424486079878066
15,15,2007-09-21,9363.386,9457.97,9307.472,9423.166,RO8888.XZCE,2007,9,38,-586,-135,,,,,,,,,,,,,,,,,,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007,8,-0.004318506115672749,0.012545108664817839,0.017597549302507787,-0.002861621217559618,-5.069673117286122e-05,0.02262026884815227,0.018120335,1,-0.004318506115672749,-0.049763698276025004,0.04992635468310791
16,16,2007-09-28,9368.829,9432.45,9323.858,9382.472,RO8888.XZCE,2007,9,39,-585,-135,,,,,,,,,,,,,,,,,,2007-08,26.7,35.7,24.4,21.8,22.4,22.9,19.9,22.4,6.0,25.6,10.6,12.7,21.7,24.0,2.6,2.7,2007,8,0.007800502895185746,-0.004318506115672749,0.012545108664817839,0.017597549302507787,-0.002861621217559618,-5.069673117286122e-05,0.020902408,1,0.007800502895185746,-0.04196319538083926,0.057726857578293655
17,17,2007-10-12,9291.284,9458.834,9291.284,9455.66,RO8888.XZCE,2007,10,41,-583,-134,,,,,,,,,,,,,,,,,,2007-09,26.4,35.6,24.0,20.3,23.2,22.8,24.5,22.8,2.4,22.2,11.7,19.9,19.6,23.6,2.7,2.7,2007,9,0.003230023076125743,0.007800502895185746,-0.004318506115672749,0.012545108664817839,0.017597549302507787,-0.002861621217559618,0.017564181,1,0.003230023076125743,-0.038733172304713515,0.0609568806544194
