,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2005-01-07,12002.966,12100.64,11913.206,11974.624,RU8888.XSGE,2005,1,1,-727,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.01115091379904709,,,,,,0.5,1,0.01115091379904709,0.01115091379904709,0.01115091379904709
1,1,2005-01-14,11962.625,12192.765,11865.255,12108.152,RU8888.XSGE,2005,1,2,-726,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.0018918659098432489,0.01115091379904709,,,,,0.048765395,1,0.0018918659098432489,0.01304277970889034,0.01304277970889034
2,2,2005-01-21,12081.951,12146.356,11893.754,12131.059,RU8888.XSGE,2005,1,3,-725,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.0036789038780538075,0.0018918659098432489,0.01115091379904709,,,,0.022192767,1,0.0036789038780538075,0.016721683586944147,0.016721683586944147
3,3,2005-01-28,12139.507,12237.657,12045.52,12175.688,RU8888.XSGE,2005,1,4,-724,-167,,,,,,,,,,,,,,,,,,2004-12,27.6,36.3,,,,,,,21.0,9.9,59.15,28.4,-1.5,14.56,7.1,6.1,2004.0,12.0,0.0309145569433118,0.0036789038780538075,0.0018918659098432489,0.01115091379904709,,,0.0156012885,1,0.0309145569433118,0.04763624053025595,0.04763624053025595
4,4,2005-02-04,12188.675,12613.122,12155.555,12552.094,RU8888.XSGE,2005,2,5,-723,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.00257144345796001,0.0309145569433118,0.0036789038780538075,0.0018918659098432489,0.01115091379904709,,0.036310297,1,0.00257144345796001,0.050207683988215956,0.050207683988215956
5,5,2005-02-18,12574.979,12729.218,12562.219,12584.371,RU8888.XSGE,2005,2,7,-721,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,0.03638711859337285,0.00257144345796001,0.0309145569433118,0.0036789038780538075,0.0018918659098432489,0.01115091379904709,0.03756341,1,0.03638711859337285,0.0865948025815888,0.0865948025815888
6,6,2005-02-25,12587.584,13096.949,12526.301,13042.28,RU8888.XSGE,2005,2,8,-720,-166,,,,,,,,,,,,,,,,,,2005-01,27.6,36.3,,,,,,,13.7,13.7,52.6,52.6,37.6,37.6,5.8,5.8,2005.0,1.0,-0.005895978310540895,0.03638711859337285,0.00257144345796001,0.0309145569433118,0.0036789038780538075,0.0018918659098432489,0.031122627,1,-0.005895978310540895,0.08069882427104791,0.08069882427104791
7,7,2005-03-04,13100.408,13200.961,12825.479,12965.383,RU8888.XSGE,2005,3,9,-719,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.0013645566814338705,-0.005895978310540895,0.03638711859337285,0.00257144345796001,0.0309145569433118,0.0036789038780538075,0.04400025,1,-0.0013645566814338705,0.07933426758961404,0.07933426758961404
8,8,2005-03-11,12996.528,13149.325,12885.523,12947.691,RU8888.XSGE,2005,3,10,-718,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,0.06060509167232975,-0.0013645566814338705,-0.005895978310540895,0.03638711859337285,0.00257144345796001,0.0309145569433118,0.028445102,1,0.06060509167232975,0.13993935926194379,0.13993935926194379
9,9,2005-03-18,12982.179,14312.19,12948.834,13732.387,RU8888.XSGE,2005,3,11,-717,-165,,,,,,,,,,,,,,,,,,2005-02,24.5,19.8,,,,,,,-1.9,6.3,25.7,4.5,-21.0,1.9,5.38,5.6,2005.0,2.0,-0.05188041962406109,0.06060509167232975,-0.0013645566814338705,-0.005895978310540895,0.03638711859337285,0.00257144345796001,0.012662418,1,-0.05188041962406109,0.0880589396378827,0.0880589396378827
