,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2014-08-08,5892.676,5899.498,5744.208,5804.079,SF8888.XZCE,2014,8,32,-228,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.005220983380825772,,,,,,0.5,1,-0.005220983380825772,-0.005220983380825772,-0.005220983380825772
1,1,2014-08-15,5768.212,5955.679,5710.387,5773.776,SF8888.XZCE,2014,8,33,-227,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.009914482307592065,-0.005220983380825772,,,,,0.033653237,1,-0.009914482307592065,-0.015135465688417837,-0.015135465688417837
2,2,2014-08-22,5775.967,5795.649,5517.966,5716.532,SF8888.XZCE,2014,8,34,-226,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,0.01476122236348898,-0.009914482307592065,-0.005220983380825772,,,,0.008551074,1,0.01476122236348898,-0.0003742433249288579,-0.0003742433249288579
3,3,2014-08-29,5710.325,5810.638,5676.54,5800.915,SF8888.XZCE,2014,8,35,-225,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.008269557474984479,0.01476122236348898,-0.009914482307592065,-0.005220983380825772,,,0.007097129,1,-0.008269557474984479,-0.008643800799913337,-0.008643800799913337
4,4,2014-09-05,5804.374,5829.153,5715.375,5752.944,SF8888.XZCE,2014,9,36,-224,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.004234701398101559,-0.008269557474984479,0.01476122236348898,-0.009914482307592065,-0.005220983380825772,,0.019599967,1,-0.004234701398101559,-0.012878502198014896,-0.012878502198014896
5,5,2014-09-12,5740.941,5786.193,5636.72,5728.582,SF8888.XZCE,2014,9,37,-223,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.0049450282809953006,-0.004234701398101559,-0.008269557474984479,0.01476122236348898,-0.009914482307592065,-0.005220983380825772,0.008314887,1,-0.0049450282809953006,-0.017823530479010197,-0.017823530479010197
6,6,2014-09-19,5722.664,5808.34,5694.333,5700.254,SF8888.XZCE,2014,9,38,-222,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.035111242411303034,-0.0049450282809953006,-0.004234701398101559,-0.008269557474984479,0.01476122236348898,-0.009914482307592065,0.00444197,1,-0.035111242411303034,-0.05293477289031323,-0.05293477289031323
7,7,2014-09-26,5681.019,5685.041,5443.624,5500.111,SF8888.XZCE,2014,9,39,-221,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,0.01302028268156774,-0.035111242411303034,-0.0049450282809953006,-0.004234701398101559,-0.008269557474984479,0.01476122236348898,0.0017027659,1,0.01302028268156774,-0.03991449020874549,-0.03991449020874549
8,8,2014-09-30,5500.044,5586.184,5462.378,5571.724,SF8888.XZCE,2014,9,40,-220,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,0.003935047751826959,0.01302028268156774,-0.035111242411303034,-0.0049450282809953006,-0.004234701398101559,-0.008269557474984479,0.0024699895,1,0.003935047751826959,-0.03597944245691853,-0.03597944245691853
9,9,2014-10-10,5568.354,5645.484,5531.607,5593.649,SF8888.XZCE,2014,10,41,-219,-50,,,,,,,,,,,,,,,,,,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,-0.0010694271306619374,0.003935047751826959,0.01302028268156774,-0.035111242411303034,-0.0049450282809953006,-0.004234701398101559,-0.005852763,-1,0.0010694271306619374,-0.034910015326256594,-0.03704886958758047
10,10,2014-10-17,5601.518,5696.107,5524.752,5587.667,SF8888.XZCE,2014,10,42,-218,-50,,,,,,,,,,,,,,,,,,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,0.005357513251952772,-0.0010694271306619374,0.003935047751826959,0.01302028268156774,-0.035111242411303034,-0.0049450282809953006,0.014763311,1,0.005357513251952772,-0.02955250207430382,-0.031691356335627696
11,11,2014-10-24,5590.496,5621.567,5530.027,5617.603,SF8888.XZCE,2014,10,43,-217,-50,,,,,,,,,,,,,,,,,,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,-0.033715091650299955,0.005357513251952772,-0.0010694271306619374,0.003935047751826959,0.01302028268156774,-0.035111242411303034,0.0128258895,1,-0.033715091650299955,-0.06326759372460378,-0.06540644798592765
12,12,2014-10-31,5617.808,5625.604,5368.81,5428.205,SF8888.XZCE,2014,10,44,-216,-50,,,,,,,,,,,,,,,,,,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,0.014149797216575166,-0.033715091650299955,0.005357513251952772,-0.0010694271306619374,0.003935047751826959,0.01302028268156774,0.00963729,1,0.014149797216575166,-0.04911779650802861,-0.051256650769352485
13,13,2014-11-07,5420.415,5539.833,5334.625,5505.013,SF8888.XZCE,2014,11,45,-215,-49,,,,,,,,,,,,,,,,,,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,-0.0001476835749525396,0.014149797216575166,-0.033715091650299955,0.005357513251952772,-0.0010694271306619374,0.003935047751826959,-0.004528234,-1,0.0001476835749525396,-0.04897011293307607,-0.051404334344305025
14,14,2014-11-14,5508.705,5510.58,5469.187,5504.2,SF8888.XZCE,2014,11,46,-214,-49,,,,,,,,,,,,,,,,,,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,-0.0011463972966098135,-0.0001476835749525396,0.014149797216575166,-0.033715091650299955,0.005357513251952772,-0.0010694271306619374,-0.004822911,-1,0.0011463972966098135,-0.04782371563646626,-0.05255073164091484
15,15,2014-11-21,5505.795,5510.558,5446.909,5497.89,SF8888.XZCE,2014,11,47,-213,-49,,,,,,,,,,,,,,,,,,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,0.0056148813453889,-0.0011463972966098135,-0.0001476835749525396,0.014149797216575166,-0.033715091650299955,0.005357513251952772,0.013211241,1,0.0056148813453889,-0.04220883429107736,-0.04693585029552594
16,16,2014-11-28,5515.196,5540.16,5450.051,5528.76,SF8888.XZCE,2014,11,48,-212,-49,,,,,,,,,,,,,,,,,,2014-10,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,-17.68,-14.02,4.7,-1.4,6.8,9.0,-2.24,-1.67,2014.0,10.0,-0.011897242781383155,0.0056148813453889,-0.0011463972966098135,-0.0001476835749525396,0.014149797216575166,-0.033715091650299955,0.011551492,1,-0.011897242781383155,-0.05410607707246051,-0.05883309307690909
17,17,2014-12-05,5524.234,5536.632,5419.971,5462.983,SF8888.XZCE,2014,12,49,-211,-48,,,,,,,,,,,,,,,,,,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,0.01125447397511592,-0.011897242781383155,0.0056148813453889,-0.0011463972966098135,-0.0001476835749525396,0.014149797216575166,0.010362425,1,0.01125447397511592,-0.04285160309734459,-0.047578619101793174
18,18,2014-12-12,5440.504,5575.226,5411.192,5524.466,SF8888.XZCE,2014,12,50,-210,-48,,,,,,,,,,,,,,,,,,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,-0.005510577854945686,0.01125447397511592,-0.011897242781383155,0.0056148813453889,-0.0011463972966098135,-0.0001476835749525396,0.01033645,1,-0.005510577854945686,-0.04836218095229028,-0.05308919695673886
19,19,2014-12-19,5480.818,5525.31,5463.676,5494.023,SF8888.XZCE,2014,12,51,-209,-48,,,,,,,,,,,,,,,,,,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,-0.005143953711151283,-0.005510577854945686,0.01125447397511592,-0.011897242781383155,0.0056148813453889,-0.0011463972966098135,0.015995724,1,-0.005143953711151283,-0.05350613466344156,-0.05823315066789014
20,20,2014-12-26,5460.704,5532.901,5384.615,5465.762,SF8888.XZCE,2014,12,52,-208,-48,,,,,,,,,,,,,,,,,,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,-0.007563080865943261,-0.005143953711151283,-0.005510577854945686,0.01125447397511592,-0.011897242781383155,0.0056148813453889,0.008857131,1,-0.007563080865943261,-0.061069215529384824,-0.0657962315338334
21,21,2014-12-31,5477.16,5511.0,5380.152,5424.424,SF8888.XZCE,2014,12,1,-259,-48,,,,,,,,,,,,,,,,,,2014-11,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,-9.25,-13.77,6.3,0.0,2.6,8.4,-2.69,-1.76,2014.0,11.0,-0.005307475964268282,-0.007563080865943261,-0.005143953711151283,-0.005510577854945686,0.01125447397511592,-0.011897242781383155,0.5,1,-0.005307475964268282,-0.0663766914936531,-0.07110370749810169
22,22,2015-01-09,5361.224,5434.48,5361.224,5395.634,SF8888.XZCE,2015,1,2,-206,-47,,,,,,,,,,,,,,,,,,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,0.00025983971485099566,-0.005307475964268282,-0.007563080865943261,-0.005143953711151283,-0.005510577854945686,0.01125447397511592,0.009726725,1,0.00025983971485099566,-0.06611685177880211,-0.07084386778325069
23,23,2015-01-16,5386.62,5479.0,5357.775,5397.036,SF8888.XZCE,2015,1,3,-205,-47,,,,,,,,,,,,,,,,,,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,-0.006121137602195015,0.00025983971485099566,-0.005307475964268282,-0.007563080865943261,-0.005143953711151283,-0.005510577854945686,0.012342816,1,-0.006121137602195015,-0.07223798938099713,-0.0769650053854457
24,24,2015-01-23,5376.0,5396.0,5340.0,5364.0,SF8888.XZCE,2015,1,4,-204,-47,,,,,,,,,,,,,,,,,,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,-0.04623415361670391,-0.006121137602195015,0.00025983971485099566,-0.005307475964268282,-0.007563080865943261,-0.005143953711151283,0.013040897,1,-0.04623415361670391,-0.11847214299770104,-0.12319915900214962
25,25,2015-01-30,5340.0,5378.0,5004.0,5116.0,SF8888.XZCE,2015,1,5,-203,-47,,,,,,,,,,,,,,,,,,2014-12,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-3.32,-1.89,2014.0,12.0,0.004691164972634887,-0.04623415361670391,-0.006121137602195015,0.00025983971485099566,-0.005307475964268282,-0.007563080865943261,-0.016741883,-1,-0.004691164972634887,-0.12316330797033592,-0.11850799402951473
26,26,2015-02-06,5240.0,5240.0,5102.0,5140.0,SF8888.XZCE,2015,2,6,-202,-46,,,,,,,,,,,,,,,,,,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015.0,1.0,0.010505836575875449,0.004691164972634887,-0.04623415361670391,-0.006121137602195015,0.00025983971485099566,-0.005307475964268282,0.0013037014,1,0.010505836575875449,-0.11265747139446047,-0.10800215745363928
27,27,2015-02-13,5140.0,5208.0,5070.0,5194.0,SF8888.XZCE,2015,2,7,-201,-46,,,,,,,,,,,,,,,,,,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015.0,1.0,-0.006546014632268005,0.010505836575875449,0.004691164972634887,-0.04623415361670391,-0.006121137602195015,0.00025983971485099566,-0.013038335,-1,0.006546014632268005,-0.10611145676219247,-0.11454817208590728
28,28,2015-02-17,5162.0,5202.0,5160.0,5160.0,SF8888.XZCE,2015,2,8,-200,-46,,,,,,,,,,,,,,,,,,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015.0,1.0,-0.006201550387596955,-0.006546014632268005,0.010505836575875449,0.004691164972634887,-0.04623415361670391,-0.006121137602195015,0.012523525,1,-0.006201550387596955,-0.11231300714978942,-0.12074972247350424
29,29,2015-02-27,5160.0,5198.0,5100.0,5128.0,SF8888.XZCE,2015,2,9,-199,-46,,,,,,,,,,,,,,,,,,2015-01,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,1.6,-12.6,3.0,0.0,3.7,7.1,-4.32,-4.32,2015.0,1.0,-0.001170046801872049,-0.006201550387596955,-0.006546014632268005,0.010505836575875449,0.004691164972634887,-0.04623415361670391,0.0077723833,1,-0.001170046801872049,-0.11348305395166147,-0.12191976927537629
30,30,2015-03-06,5084.0,5196.0,5014.0,5122.0,SF8888.XZCE,2015,3,10,-198,-45,,,,,,,,,,,,,,,,,,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,-0.007418976962124124,-0.001170046801872049,-0.006201550387596955,-0.006546014632268005,0.010505836575875449,0.004691164972634887,0.0055953185,1,-0.007418976962124124,-0.1209020309137856,-0.1293387462375004
31,31,2015-03-13,5100.0,5148.0,5038.0,5084.0,SF8888.XZCE,2015,3,11,-197,-45,,,,,,,,,,,,,,,,,,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,-0.003540519276160503,-0.007418976962124124,-0.001170046801872049,-0.006201550387596955,-0.006546014632268005,0.010505836575875449,0.005310233,1,-0.003540519276160503,-0.1244425501899461,-0.13287926551366092
32,32,2015-03-20,5046.0,5080.0,5028.0,5066.0,SF8888.XZCE,2015,3,12,-196,-45,,,,,,,,,,,,,,,,,,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,-0.03513620213185942,-0.003540519276160503,-0.007418976962124124,-0.001170046801872049,-0.006201550387596955,-0.006546014632268005,0.0061792545,1,-0.03513620213185942,-0.15957875232180552,-0.16801546764552033
33,33,2015-03-27,5030.0,5100.0,4862.0,4888.0,SF8888.XZCE,2015,3,13,-195,-45,,,,,,,,,,,,,,,,,,2015-02,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,-34.8,-32.8,6.1,-7.7,-2.1,4.6,-4.8,-4.56,2015.0,2.0,0.006955810147299513,-0.03513620213185942,-0.003540519276160503,-0.007418976962124124,-0.001170046801872049,-0.006201550387596955,0.0009849004,1,0.006955810147299513,-0.152622942174506,-0.16105965749822082
34,34,2015-04-03,4920.0,4922.0,4900.0,4922.0,SF8888.XZCE,2015,4,14,-194,-44,,,,,,,,,,,,,,,,,,2015-03,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,-9.52,-16.11,-1.6,-7.0,3.5,4.7,-4.56,-4.56,2015.0,3.0,-0.0735473384802926,0.006955810147299513,-0.03513620213185942,-0.003540519276160503,-0.007418976962124124,-0.001170046801872049,-0.007499735,-1,0.0735473384802926,-0.0790756036942134,-0.23460699597851342
