,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2023-09-22,2851.86,3141.368,2830.012,3066.287,SH8888.XZCE,2023,9,38,246,57,2023-09-14,83.61,61.54,,,,,1754905.0,951055.0,,,,,,83.61,,,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.08780847976722328,,,,,,0.5,1,-0.08780847976722328,-0.08780847976722328,-0.08780847976722328
1,1,2023-09-28,3074.729,3090.547,2793.974,2797.041,SH8888.XZCE,2023,9,39,247,57,2023-09-21,82.32,64.09,,,,,1657442.0,935897.0,,,,,,82.32,,,2023-08,3.2,5.9,1.6,1.4,-0.8,2.4,-0.5,4.2,-3.3,-2.4,-1.0,0.0,4.5,4.8,-3.0,-3.2,2023.0,8.0,-0.04159359837771415,-0.08780847976722328,,,,,-0.042579573,-1,0.04159359837771415,-0.04621488138950913,-0.12940207814493743
2,2,2023-10-13,2791.428,2835.423,2624.615,2680.702,SH8888.XZCE,2023,10,41,249,58,2023-09-21,82.32,64.09,,,,,1657442.0,935897.0,,,,,,82.32,,,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,-0.05506132348914572,-0.04159359837771415,-0.08780847976722328,,,,-0.03294935,-1,0.05506132348914572,0.008846442099636587,-0.18446340163408315
3,3,2023-10-20,2704.078,2711.279,2504.426,2533.099,SH8888.XZCE,2023,10,42,250,58,2023-10-12,88.78,69.11,,,,,1495457.0,852497.0,,,,,,88.78,,,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,0.015290361726880697,-0.05506132348914572,-0.04159359837771415,-0.08780847976722328,,,-0.030914249,-1,-0.015290361726880697,-0.00644391962724411,-0.16917303990720245
4,4,2023-10-27,2530.986,2608.621,2519.189,2571.831,SH8888.XZCE,2023,10,43,251,58,2023-10-19,90.02,70.08,,,,,1576383.0,940765.0,,,,,,90.02,,,2023-09,3.1,6.2,1.9,3.7,0.0,2.1,1.6,3.9,-7.2,-3.6,1.6,12.5,3.4,4.6,-2.5,-3.1,2023.0,9.0,0.019051018515602314,0.015290361726880697,-0.05506132348914572,-0.04159359837771415,-0.08780847976722328,,-0.018384604,-1,-0.019051018515602314,-0.025494938142846424,-0.15012202139160014
5,5,2023-11-03,2572.965,2638.449,2555.245,2620.827,SH8888.XZCE,2023,11,44,252,59,2023-10-26,88.65,69.01,,,,,1543839.0,935196.0,,,,,,88.65,,,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.02381996217224569,0.019051018515602314,0.015290361726880697,-0.05506132348914572,-0.04159359837771415,-0.08780847976722328,0.023412779,1,0.02381996217224569,-0.0016749759706007339,-0.12630205921935445
6,6,2023-11-10,2635.846,2752.704,2554.38,2683.255,SH8888.XZCE,2023,11,45,253,59,2023-11-02,87.14,67.83,2665.7,9.7,309.5,21.4,1537390.0,936580.0,,3807.580459,367.621813,-74.074714,1.982344,87.14,0.9,1.3,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.0015402934122921152,0.02381996217224569,0.019051018515602314,0.015290361726880697,-0.05506132348914572,-0.04159359837771415,0.029134365,1,0.0015402934122921152,-0.00013468255830861864,-0.12476176580706233
7,7,2023-11-17,2678.949,2720.066,2623.757,2687.388,SH8888.XZCE,2023,11,46,254,59,2023-11-09,85.34,66.43,2665.7,9.7,309.5,21.4,1469105.0,865339.0,,3807.580459,367.621813,-74.074714,1.982344,85.34,0.9,1.3,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.02792897787740367,0.0015402934122921152,0.02381996217224569,0.019051018515602314,0.015290361726880697,-0.05506132348914572,0.026602726,1,-0.02792897787740367,-0.02806366043571229,-0.152690743684466
8,8,2023-11-24,2691.295,2704.621,2549.148,2612.332,SH8888.XZCE,2023,11,47,255,59,2023-11-16,84.68,65.92,2665.7,9.7,309.5,21.4,1076631.0,643401.0,,3807.580459,367.621813,-74.074714,1.982344,84.68,0.9,1.3,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,0.023978192664638298,-0.02792897787740367,0.0015402934122921152,0.02381996217224569,0.019051018515602314,0.015290361726880697,0.018613784,1,0.023978192664638298,-0.004085467771073992,-0.1287125510198277
9,9,2023-12-01,2609.731,2692.754,2567.669,2674.971,SH8888.XZCE,2023,12,48,256,60,2023-11-23,88.83,69.15,2665.7,9.7,309.5,21.4,1140839.0,714974.0,,3807.580459,367.621813,-74.074714,1.982344,88.83,0.9,1.3,2023-10,2.9,6.2,2.3,5.5,-0.1,1.8,2.7,3.8,-6.3,-3.5,3.7,23.3,8.5,4.9,-2.6,-3.1,2023.0,10.0,-0.011304795453857208,0.023978192664638298,-0.02792897787740367,0.0015402934122921152,0.02381996217224569,0.019051018515602314,0.009030197,1,-0.011304795453857208,-0.0153902632249312,-0.1400173464736849
