,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2022-12-23,18105.272,18143.881,17054.095,17055.489,SI8888.GFEX,2022,12,51,207,48,2022-12-15,90.87,60.71,,,,,1264341.0,688326.0,,,,,,90.87,,,2022-11,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022.0,11.0,0.04653674837467281,,,,,,0.5,1,0.04653674837467281,0.04653674837467281,0.04653674837467281
1,1,2022-12-30,16941.912,18468.949,16825.897,17849.196,SI8888.GFEX,2022,12,52,208,48,2022-12-22,89.78,59.99,,,,,1236148.0,725577.0,,,,,,89.78,,,2022-11,5.3,9.3,-0.4,-0.3,-0.9,-1.0,2.3,4.0,-15.2,1.5,-12.5,-13.2,-9.9,5.6,-1.3,4.6,2022.0,11.0,-0.005416546493186569,0.04653674837467281,,,,,0.08142846,1,-0.005416546493186569,0.04112020188148624,0.04112020188148624
2,2,2023-01-06,17822.138,17992.089,17460.85,17752.515,SI8888.GFEX,2023,1,1,209,49,2022-12-22,89.78,59.99,,,,,1236148.0,725577.0,,,,,,89.78,,,2022-12,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.7,4.1,2022.0,12.0,-0.015207648043108146,-0.005416546493186569,0.04653674837467281,,,,0.054357246,1,-0.015207648043108146,0.025912553838378094,0.025912553838378094
3,3,2023-01-13,17779.617,17850.922,17250.094,17482.541,SI8888.GFEX,2023,1,2,210,49,2023-01-05,92.29,61.67,,,,,1131888.0,743632.0,,,,,,92.29,,,2022-12,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.7,4.1,2022.0,12.0,0.060783326634268775,-0.015207648043108146,-0.005416546493186569,0.04653674837467281,,,0.006048614,1,0.060783326634268775,0.08669588047264687,0.08669588047264687
4,4,2023-01-20,17332.879,18576.014,17317.555,18545.188,SI8888.GFEX,2023,1,3,211,49,2023-01-12,91.14,60.9,,,,,1273272.0,837268.0,,,,,,91.14,,,2022-12,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.7,4.1,2022.0,12.0,-0.04537236290082358,0.060783326634268775,-0.015207648043108146,-0.005416546493186569,0.04653674837467281,,0.0063297898,1,-0.04537236290082358,0.04132351757182329,0.04132351757182329
5,5,2023-02-03,18590.177,18648.543,17466.667,17703.749,SI8888.GFEX,2023,2,5,213,50,2023-01-12,91.14,60.9,,,,,1273272.0,837268.0,,,,,,91.14,,,2023-01,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.8,-0.8,2023.0,1.0,0.013142301102438969,-0.04537236290082358,0.060783326634268775,-0.015207648043108146,-0.005416546493186569,0.04653674837467281,0.07039527,1,0.013142301102438969,0.054465818674262256,0.054465818674262256
6,6,2023-02-10,17667.671,18077.681,17601.624,17936.417,SI8888.GFEX,2023,2,6,214,50,2023-02-02,91.72,61.29,,,,,1260996.0,794542.0,,-86.413896,-86.413896,89.862257,-18.179657,91.72,,,2023-01,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.8,-0.8,2023.0,1.0,-0.03279601494545992,0.013142301102438969,-0.04537236290082358,0.060783326634268775,-0.015207648043108146,-0.005416546493186569,-0.010739659,-1,0.03279601494545992,0.08726183361972217,0.02166980372880234
7,7,2023-02-17,17927.793,18076.973,17336.979,17348.174,SI8888.GFEX,2023,2,7,215,50,2023-02-09,92.07,61.52,,,,,1299708.0,790823.0,,-86.413896,-86.413896,89.862257,-18.179657,92.07,,,2023-01,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.8,-0.8,2023.0,1.0,0.014537610701852666,-0.03279601494545992,0.013142301102438969,-0.04537236290082358,0.060783326634268775,-0.015207648043108146,0.020752497,1,0.014537610701852666,0.10179944432157484,0.036207414430655005
8,8,2023-02-24,17327.097,17766.906,17237.846,17600.375,SI8888.GFEX,2023,2,8,216,50,2023-02-16,91.04,60.83,,,,,1329484.0,769179.0,,-86.413896,-86.413896,89.862257,-18.179657,91.04,,,2023-01,5.1,9.1,-0.4,-1.2,-3.4,-1.2,-0.5,3.6,-13.7,-1.1,-13.1,-11.7,-16.7,3.4,-0.8,-0.8,2023.0,1.0,-0.00767796140707222,0.014537610701852666,-0.03279601494545992,0.013142301102438969,-0.04537236290082358,0.060783326634268775,-0.0032122806,-1,0.00767796140707222,0.10947740572864706,0.028529453023582785
9,9,2023-03-03,17584.895,17709.494,17389.221,17465.24,SI8888.GFEX,2023,3,9,217,51,2023-02-23,90.71,60.61,,,,,1305779.0,705816.0,,-86.413896,-86.413896,89.862257,-18.179657,90.71,,,2023-02,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023.0,2.0,-0.030500468358865995,-0.00767796140707222,0.014537610701852666,-0.03279601494545992,0.013142301102438969,-0.04537236290082358,-0.00054618646,-1,0.030500468358865995,0.13997787408751305,-0.0019710153352832105
10,10,2023-03-10,17466.664,17490.881,16846.888,16932.542,SI8888.GFEX,2023,3,10,218,51,2023-03-02,93.32,62.36,502.86225,7.6,,,1296266.0,644464.0,,-99.888682,-97.248775,56.727131,-14.997945,93.32,10.4,,2023-02,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023.0,2.0,-0.04922781233910423,-0.030500468358865995,-0.00767796140707222,0.014537610701852666,-0.03279601494545992,0.013142301102438969,0.019961437,1,-0.04922781233910423,0.09075006174840883,-0.05119882767438744
11,11,2023-03-17,16942.222,17033.073,15938.995,16098.99,SI8888.GFEX,2023,3,11,219,51,2023-03-09,93.28,62.33,502.86225,7.6,,,1379885.0,638633.0,,-99.888682,-97.248775,56.727131,-14.997945,93.28,10.4,,2023-02,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023.0,2.0,-0.013606257286947865,-0.04922781233910423,-0.030500468358865995,-0.00767796140707222,0.014537610701852666,-0.03279601494545992,-0.023840643,-1,0.013606257286947865,0.10435631903535669,-0.0648050849613353
12,12,2023-03-24,16146.819,16296.312,15727.335,15879.943,SI8888.GFEX,2023,3,12,220,51,2023-03-16,90.09,62.2,502.86225,7.6,,,1398556.0,589966.0,,-99.888682,-97.248775,56.727131,-14.997945,90.09,10.4,,2023-02,5.5,8.1,-0.8,-1.2,-3.4,-1.3,-0.5,3.9,-13.7,23.2,-11.8,-11.7,-16.7,-14.0,-1.4,-1.1,2023.0,2.0,-0.023763435422910484,-0.013606257286947865,-0.04922781233910423,-0.030500468358865995,-0.00767796140707222,0.014537610701852666,-0.024070818,-1,0.023763435422910484,0.12811975445826718,-0.08856852038424579
