,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
0,0,2014-08-08,6567.849,6694.355,6466.432,6482.803,SM8888.XZCE,2014,8,32,-228,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.01102378091698919,,,,,,0.5,1,-0.01102378091698919,-0.01102378091698919,-0.01102378091698919
1,1,2014-08-15,6448.259,6518.475,6354.236,6411.338,SM8888.XZCE,2014,8,33,-227,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.003027761131919604,-0.01102378091698919,,,,,0.028296923,1,-0.003027761131919604,-0.014051542048908794,-0.014051542048908794
2,2,2014-08-22,6420.784,6477.209,6356.615,6391.926,SM8888.XZCE,2014,8,34,-226,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.004366133149851903,-0.003027761131919604,-0.01102378091698919,,,,0.009075822,1,-0.004366133149851903,-0.018417675198760697,-0.018417675198760697
3,3,2014-08-29,6399.509,6468.38,6358.451,6364.018,SM8888.XZCE,2014,8,35,-225,-52,,,,,,,,,,,,,,,,,,2014-07,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,-15.84,-9.37,4.6,6.97,10.09,10.85,-0.87,-1.63,2014.0,7.0,-0.006220284103533369,-0.004366133149851903,-0.003027761131919604,-0.01102378091698919,,,0.004125719,1,-0.006220284103533369,-0.024637959302294066,-0.024637959302294066
4,4,2014-09-05,6361.916,6379.781,6301.254,6324.432,SM8888.XZCE,2014,9,36,-224,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.006816264290611329,-0.006220284103533369,-0.004366133149851903,-0.003027761131919604,-0.01102378091698919,,0.0056944126,1,-0.006816264290611329,-0.031454223592905395,-0.031454223592905395
5,5,2014-09-12,6311.972,6313.962,6165.853,6281.323,SM8888.XZCE,2014,9,37,-223,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.0256192843450338,-0.006816264290611329,-0.006220284103533369,-0.004366133149851903,-0.003027761131919604,-0.01102378091698919,0.00445719,1,-0.0256192843450338,-0.057073507937939194,-0.057073507937939194
6,6,2014-09-19,6256.89,6345.745,6108.025,6120.4,SM8888.XZCE,2014,9,38,-222,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,-0.012790340500620778,-0.0256192843450338,-0.006816264290611329,-0.006220284103533369,-0.004366133149851903,-0.003027761131919604,-0.0034333207,-1,0.012790340500620778,-0.044283167437318416,-0.06986384843855997
7,7,2014-09-26,6058.762,6128.422,5942.03,6042.118,SM8888.XZCE,2014,9,39,-221,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,0.006284385707131079,-0.012790340500620778,-0.0256192843450338,-0.006816264290611329,-0.006220284103533369,-0.004366133149851903,-0.0052434616,-1,-0.006284385707131079,-0.050567553144449495,-0.06357946273142889
8,8,2014-09-30,6076.483,6117.628,6012.193,6080.089,SM8888.XZCE,2014,9,40,-220,-51,,,,,,,,,,,,,,,,,,2014-08,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,-15.59,-10.38,4.8,4.4,3.19,9.93,-1.2,-1.58,2014.0,8.0,0.010078306419527783,0.006284385707131079,-0.012790340500620778,-0.0256192843450338,-0.006816264290611329,-0.006220284103533369,-0.003988616,-1,-0.010078306419527783,-0.06064585956397728,-0.05350115631190111
9,9,2014-10-10,6117.04,6171.37,6070.707,6141.366,SM8888.XZCE,2014,10,41,-219,-50,,,,,,,,,,,,,,,,,,2014-09,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,-16.14,-13.67,4.39,4.1,4.47,9.3,-1.8,-1.6,2014.0,9.0,0.010678406074479119,0.010078306419527783,0.006284385707131079,-0.012790340500620778,-0.0256192843450338,-0.006816264290611329,0.014829153,1,0.010678406074479119,-0.04996745348949816,-0.04282275023742199
